代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率,发行人企业性质
123044.SZ,红相转债,2024/11/18,207.3,212.0,239.4,185.0,233.074,25.774,12.433188615533044,252,2.071232876712,0.040983606557377,0.9380288534383928,-1366.4906,102.00162231528,131.07237768472,128.50028725973036,3.7,27.027027027027028,199.1891891891892,33.884810810810805,17.011370420624154,-52.8505,3.4746,-33.884810810810805,195.2804128678553,6.0,2020/03/12,0.5,深交所,可转债,A-,0.363974,1.1331,私营
113663.SH,新化转债,2024/11/18,112.061,127.26,127.92,123.0,123.645,11.584,10.337227045983884,357,0.487671232877,4.027322404371585,0.4043835173278337,-0.7557,103.90338476753,19.74161523247,18.99997317377026,20.25,4.938271604938272,120.24691358024693,3.3980864197530862,2.8259240246406567,18.8073,2.1044,-3.3980864197530862,115.72954418114809,6.0,2022/11/28,0.3,上交所,可转债,AA-,6.28916,0.0001,其他
123244.SZ,松原转债,2024/11/18,184.999,185.13,221.999,183.779,203.0,18.001,9.730322866610088,110,0.060273972603,5.701369863013698,0.0985221674876847,-8.9329,85.586585628903,117.413414371097,137.18670222480046,28.7,3.484320557491289,108.22299651567944,94.77700348432056,87.5756600128783,27.6283,5.7408,-94.77700348432056,126.44854999231563,6.0,2024/08/01,0.2,深交所,可转债,A+,4.1,0.0,私营
128090.SZ,汽模转2,2024/11/18,155.7,155.71,175.649,150.201,167.99,12.29,7.893384714193962,328,1.612602739726,1.1065573770491803,1.0714923507351628,-31.1003,108.19266619837,59.79733380163,55.26930419848632,4.2,23.809523809523807,153.57142857142856,14.418571428571427,9.388837209302324,50.4132,2.8765,-14.418571428571427,141.9425493127761,6.0,2019/12/27,0.3,深交所,可转债,AA-,1.860158,0.4264,私营
123242.SZ,赛龙转债,2024/11/18,183.0,184.0,199.8,182.08,193.5,10.5,5.737704918032787,134,0.110136986301,5.635616438356164,0.1550387596899224,-8.1457,86.697412306543,106.802587693457,123.19005245026982,36.81,2.716653083401249,91.98587340396632,101.51412659603368,110.35838747784996,46.1723,1.9846,-101.51412659603368,106.09990651015566,6.0,2024/07/08,0.3,深交所,可转债,A+,2.5,0.0,私营
113686.SH,泰瑞转债,2024/11/18,154.516,154.5,168.7,152.553,162.639,8.123,5.25706075746201,140,0.115068493151,5.619178082191781,0.1844576024200837,-5.3066,96.81983171248,65.81916828752001,67.98108106919585,8.29,12.062726176115802,98.06996381182148,64.56903618817853,65.83976752767528,40.8881,1.7214,-64.56903618817853,101.29119424939088,6.0,2024/07/02,0.3,上交所,可转债,AA-,3.378,0.8052,私营
404004.NQ,汇车退债,2024/11/18,30.579,0.0,0.0,0.0,31.898,1.319,4.313417704960921,75,,1.747945205479452,5.642987021129851,,98.550533465013,-66.65253346501301,-67.63284897760164,1.5,66.66666666666666,,,,,,,0.0,6.0,2020/08/18,0.2,代办转让,可转债,A,28.81556,0.0001,私营
123225.SZ,翔丰转债,2024/11/18,125.7,133.0,137.197,128.9,130.18,4.48,3.5640413683373118,40,0.054794520548,4.8931506849315065,0.3840835765862651,-1.1718,102.11916666341,28.060833336590008,27.47851774885703,27.48,3.6390101892285296,135.98981077147016,-5.80981077147016,-4.272239764516992,54.395,2.3148,5.80981077147016,133.16776391223357,6.0,2023/10/10,0.3,深交所,可转债,AA-,6.622826,0.0001,私营
127106.SZ,伟隆转债,2024/11/18,189.808,190.0,197.935,182.0,196.384,6.576,3.464553654219,98,0.134246575342,5.734246575342466,0.254603226332084,-8.1767,77.410981983139,118.973018016861,153.69010309515863,8.6,11.627906976744184,109.4186046511628,86.96539534883722,79.47953241232732,17.3163,2.6609,-86.96539534883722,141.34765100253532,6.0,2024/08/13,0.5,深交所,可转债,A,2.6971,0.0,私营
110048.SH,福能转债,2024/11/18,181.886,183.0,193.057,182.801,187.749,5.863,3.223447654025049,348,1.901369863014,0.0519125683060109,,-807.9692,108.89168972149,78.85731027851,72.41811609334164,5.26,19.011406844106464,189.3536121673004,-1.60461216730038,-0.8474156626506023,11.2793,1.1341,1.60461216730038,173.8917016088245,6.0,2018/12/07,0.4,上交所,可转债,AA+,4.4658,0.0001,地方国有企业
113689.SH,洛凯转债,2024/11/18,160.245,161.0,168.993,157.49,165.281,5.036,3.1426877593684672,33,0.018082191781,5.912328767123288,0.1210060442519103,-5.353,95.261155066565,70.01984493343501,73.50304002141031,15.45,6.472491909385113,91.9093851132686,73.3716148867314,79.8303838028169,20.296,2.2639,-73.3716148867314,96.48149347868572,6.0,2024/10/17,0.2,上交所,可转债,AA-,4.03431,0.9689,私营
118030.SH,睿创转债,2024/11/18,124.67,124.7,128.67,122.198,127.319,2.649,2.124809497072271,325,0.443835616438,4.114754098360656,0.3927143631351173,-2.5344,103.21687047545,24.10212952455001,23.350959405693928,39.7,2.518891687657431,119.09319899244332,8.225801007556676,6.90702834179357,32.8985,4.2759,-8.225801007556676,115.3815247874324,6.0,2022/12/30,0.3,上交所,可转债,AA,14.69451,0.0001,私营
110068.SH,龙净转债,2024/11/18,117.95,118.501,121.87,117.266,120.199,2.249,1.906740144128868,240,1.183561643836,1.3452054794520547,1.4975166182746944,-5.3025,108.75739486455,11.441605135450004,10.520300849151225,9.92,10.080645161290322,120.46370967741936,-0.2647096774193548,-0.2197422594142259,16.293,1.7839,0.2647096774193548,110.7636954962454,6.0,2020/03/24,0.2,上交所,可转债,AA+,8.49709,0.0001,地方国有企业
127019.SZ,国城转债,2024/11/18,114.81,116.302,119.132,114.855,116.883,2.073,1.805591847400052,127,0.626301369863,1.6547945205479453,1.54000154000154,-2.6764,106.0265090694,10.856490930599987,10.239411846988036,12.58,7.94912559618442,111.68521462639109,5.197785373608904,4.653960142348754,226.408,5.3907,-5.197785373608904,105.3370667455317,6.0,2020/07/15,0.3,深交所,可转债,AA-,8.486524,0.0001,私营
128063.SZ,未来转债,2024/11/18,127.6,127.74,131.399,125.525,129.9,2.3,1.802507836990596,230,2.520547945205,0.3726027397260273,15.396458814472672,-20.4542,118.7682776321,11.13172236790001,9.37263938640413,3.57,28.01120448179272,129.41176470588235,0.4882352941176471,0.3772727272727273,1997.398,1.9264,-0.4882352941176471,108.96155714807276,6.0,2019/04/03,0.5,深交所,可转债,AA-,2.52212,0.0001,私营
113537.SH,文灿转债,2024/11/18,170.05,171.409,177.187,168.69,172.942,2.892,1.7006762716847983,162,1.553424657534,0.558904109589041,8.673428085716598,-59.9454,113.20361339522,59.73838660478,52.77074186335332,19.5,5.128205128205128,137.33333333333331,35.608666666666664,25.928640776699027,63.7184,1.9951,-35.608666666666664,121.31532661759736,6.0,2019/06/06,0.5,上交所,可转债,AA-,1.22415,0.0,私营
123246.SZ,远信转债,2024/11/18,214.499,214.63,223.06,208.22,218.0,3.501,1.632175441377349,95,0.130136986301,5.742465753424658,0.2293577981651376,-9.4635,79.173764222842,138.826235777158,175.34373556676996,23.25,4.301075268817204,89.24731182795699,128.752688172043,144.26506024096386,35.983,2.7489,-128.752688172043,112.72334049542224,6.0,2024/08/16,0.5,深交所,可转债,A,2.86467,0.0,私营
113656.SH,嘉诚转债,2024/11/18,107.257,107.151,109.434,106.701,109.005,1.748,1.6297304604827656,79,0.173150684932,3.7863013698630135,0.7339112884730058,2.4539,104.31100882731,4.693991172689991,4.499995950054546,15.41,6.489292667099287,83.12783906554185,25.877160934458143,31.12935597189696,19.9756,1.7862,-25.877160934458143,79.69229710275593,6.0,2022/09/01,0.3,上交所,可转债,AA-,7.9993,0.1352,私营
123118.SZ,惠城转债,2024/11/18,897.51,897.63,921.87,863.67,911.0,13.49,1.5030473198070216,135,0.665753424658,2.632876712328767,0.1975850713501646,-54.2084,103.66274163597,807.33725836403,778.8114086342972,11.25,8.88888888888889,760.9777777777778,150.0222222222222,19.714402523069733,289.7773,12.7806,-150.0222222222222,734.0899591968014,6.0,2021/07/07,0.5,深交所,可转债,A+,1.239196,0.0,私营
113671.SH,武进转债,2024/11/18,108.004,108.1,113.0,107.8,109.529,1.525,1.4119847413058777,132,0.180821917808,4.641095890410959,0.4565001049950241,1.0373,101.59108916599,7.937910834009997,7.813589655526008,8.02,12.468827930174564,76.80798004987531,32.721019950124685,42.60106818181818,15.1943,1.3064,-32.721019950124685,75.60503650509989,6.0,2023/07/10,0.3,上交所,可转债,AA,3.09946,0.2037,私营
123034.SZ,通光转债,2024/11/18,254.4,254.4,261.2,250.354,257.749,3.349,1.3164308176100628,15,0.102739726027,0.9616438356164384,5.043666512770176,-58.3989,107.64732106691,150.10167893309003,139.43837844305648,7.92,12.626262626262626,101.76767676767676,155.98132323232323,153.27197022332507,53.2884,1.6385,-155.98132323232323,94.538048656521,6.0,2019/11/04,0.5,深交所,可转债,A+,0.777491,0.0,私营
113575.SH,东时转债,2024/11/18,165.495,165.61,169.754,162.859,167.538,2.043,1.23447838303272,224,1.227397260274,1.3890410958904107,1.1937590278026475,-26.3874,96.961222984178,70.57677701582202,72.78866215140319,12.15,8.23045267489712,18.271604938271604,149.2663950617284,816.930945945946,-10.9619,0.9435,-149.2663950617284,18.844239352522543,6.0,2020/04/09,0.4,上交所,可转债,A-,0.98018,0.0,私营
113589.SH,天创转债,2024/11/18,215.833,216.04,222.308,213.05,218.479,2.646,1.2259478393016825,148,0.729863013699,1.5972602739726027,0.8238778097666137,-34.4882,96.576746861498,121.90225313850202,126.22319253859698,12.29,8.136696501220504,28.885272579332792,189.5937274206672,656.3681436619719,-36.326,1.3327,-189.5937274206672,29.909138087616004,6.0,2020/06/24,0.4,上交所,可转债,A-,0.66623,0.0,私营
113039.SH,嘉泽转债,2024/11/18,116.739,116.99,119.0,116.35,118.084,1.345,1.1521428143122692,87,0.42904109589,1.7643835616438357,1.5243386064157718,-4.075,105.48364974005,12.600350259950003,11.9453112316476,3.16,31.645569620253163,102.84810126582278,15.235898734177216,14.81398153846154,10.7737,1.1692,-15.235898734177216,97.50146256721098,6.0,2020/08/24,0.3,上交所,可转债,AA,2.87686,0.1819,私营
127092.SZ,运机转债,2024/11/18,177.39,177.035,183.499,170.02,179.404,2.014,1.1353514854275888,59,0.064657534247,4.841095890410959,0.222960469108827,-7.9428,100.66231918036,78.74168081964,78.22359097305907,17.4,5.747126436781609,173.16091954022988,6.243080459770114,3.6053634251576496,44.7286,2.5416,-6.243080459770114,172.02158757138483,6.0,2023/09/21,0.2,深交所,可转债,AA-,6.202481,0.0001,私营
123213.SZ,天源转债,2024/11/18,171.548,171.4,177.84,167.0,173.272,1.724,1.0049665399771492,114,0.156164383562,4.69041095890411,0.288563645597673,-8.1603,98.109558002918,75.16244199708198,76.61072328431699,7.24,13.812154696132596,174.86187845303868,-1.589878453038674,-0.909219589257504,42.7151,2.8909,1.589878453038674,178.2312366016753,6.0,2023/07/28,0.3,深交所,可转债,AA-,6.238833,0.0001,私营
110093.SH,神马转债,2024/11/18,111.083,112.47,113.834,110.6,112.12,1.037,0.9335361846547175,248,0.271780821918,4.323287671232877,0.3567606136282554,-0.1937,100.97667075944,11.143329240560009,11.035548267487568,8.16,12.254901960784313,93.1372549019608,18.982745098039214,20.38147368421053,216.9317,1.0419,-18.982745098039214,92.23640886699928,6.0,2023/03/16,0.2,上交所,可转债,AAA,29.99849,0.148,地方国有企业
127040.SZ,国泰转债,2024/11/18,112.078,112.19,114.966,112.19,113.109,1.031,0.9198950730741092,135,0.554794520548,2.632876712328767,1.3261544174203643,-0.6206,105.16160949045,7.94739050954999,7.557311596939482,8.12,12.315270935960593,97.04433497536944,16.06466502463054,16.553944162436547,10.835,0.8436,-16.06466502463054,92.28114275312826,6.0,2021/07/07,0.2,深交所,可转债,AA+,39.870545,0.1198,地方国有企业
127027.SZ,能化转债,2024/11/18,116.085,116.498,118.471,115.632,117.114,1.029,0.886419434035405,345,1.413698630137,2.060109289617486,1.280803319842205,-1.627,108.4724892328,8.641510767200003,7.966546013942654,3.0,33.33333333333333,94.66666666666666,22.447333333333333,23.71197183098592,11.0492,0.9104,-22.447333333333333,87.27251244644738,6.0,2020/12/10,0.4,深交所,可转债,AA+,19.463983,0.1781,地方国有企业
127083.SZ,山路转债,2024/11/18,110.117,110.99,112.95,110.6,111.01,0.893,0.8109556199315273,240,0.26301369863,4.345205479452055,0.3603278983875326,0.2708,101.92339446217,9.08660553783001,8.915132375425944,7.81,12.804097311139564,83.61075544174135,27.39924455825864,32.77,5.2494,0.7225,-27.39924455825864,82.03293844650594,6.0,2023/03/24,0.2,深交所,可转债,AAA,48.359207,0.1848,地方国有企业
123092.SZ,天壕转债,2024/11/18,134.96,134.96,139.948,133.95,136.0,1.04,0.7705986959098992,331,1.627397260274,2.0983606557377046,1.3235294117647058,-6.228,106.86760720855,29.13239279145,27.26026487577168,4.98,20.08032128514056,135.5421686746988,0.4578313253012048,0.3377777777777777,32.8465,1.4054,-0.4578313253012048,126.83185505425509,6.0,2020/12/24,0.5,深交所,可转债,A+,3.422911,0.0001,私营
127095.SZ,广泰转债,2024/11/18,126.55,127.188,128.21,122.774,127.505,0.955,0.7546424338206242,32,0.035068493151,4.9150684931506845,0.3137131877181287,-1.2963,99.268515370035,28.23648462996499,28.44455215705624,9.25,10.81081081081081,119.13513513513512,8.369864864864866,7.025521778584392,34.0736,1.9115,-8.369864864864866,120.01301187092903,6.0,2023/10/18,0.2,深交所,可转债,AA-,6.927955,0.109,私营
110077.SH,洪城转债,2024/11/18,183.3,183.3,187.75,183.001,184.642,1.342,0.7321331151118385,365,0.797808219178,2.0054644808743167,0.4332708701162249,-22.1847,107.62410778141,77.01789221858999,71.56193329380925,5.34,18.726591760299623,181.2734082397004,3.3685917602996254,1.858293388429752,10.0216,1.3796,-3.3685917602996254,168.43197307417017,6.0,2020/11/20,0.2,上交所,可转债,AA+,6.68528,0.0001,地方国有企业
113021.SH,中信转债,2024/11/18,116.56,117.001,118.99,116.999,117.364,0.804,0.6897735072065888,260,2.849315068493,0.2904109589041095,,-18.6717,110.38205966721,6.981940332790003,6.325249187992868,5.77,17.33102253032929,116.8110918544194,0.5529081455805893,0.4733353115727003,5.2316,0.5429,-0.5529081455805893,105.82434519394933,6.0,2019/03/01,0.3,上交所,可转债,AAA,113.63014,0.0001,中央企业
113582.SH,火炬转债,2024/11/18,132.647,133.0,135.294,130.8,133.485,0.838,0.6317519431272475,176,0.867945205479,1.520547945205479,1.3484661197887404,-11.1096,108.06212621263,25.42287378737001,23.526164696543468,23.89,4.185851820845542,117.24570950188364,16.239290498116365,13.850647982863263,42.6117,2.3592,-16.239290498116365,108.49842920097966,6.0,2020/05/27,0.4,上交所,可转债,AA,4.1724,0.2569,私营
113532.SH,海环转债,2024/11/18,113.047,113.3,114.545,111.767,113.754,0.707,0.6254035931957505,231,1.265753424658,0.3698630136986301,,-13.676,107.16141358822,6.592586411780005,6.1520151620179,5.3,18.867924528301888,107.16981132075472,6.584188679245283,6.143697183098592,13.3189,1.1141,-6.584188679245283,100.0078365264637,6.0,2019/04/02,0.4,上交所,可转债,AA+,4.58468,0.0001,地方国有企业
110097.SH,天润转债,2024/11/18,121.698,122.3,124.85,118.357,122.432,0.734,0.6031323439990796,26,0.021369863014,5.931506849315069,0.2450339780449555,-1.0528,97.836314319067,24.595685680933,25.139628216901897,8.3,12.048192771084336,111.0843373493976,11.347662650602407,10.2153579175705,99.4244,1.2455,-11.347662650602407,113.54100787885947,6.0,2024/10/24,0.3,上交所,可转债,AA,9.9,0.127,地方国有企业
113619.SH,世运转债,2024/11/18,176.734,179.329,185.998,170.129,177.775,1.041,0.5890207883033259,304,1.245205479452,0.040983606557377,0.7331057170719167,-1049.5908,101.12019550141,76.65480449859001,75.80563320560546,17.59,5.6850483229107445,178.28311540648096,-0.5081154064809551,-0.2850047831632653,32.4149,3.9471,0.5081154064809551,176.30811978008393,6.0,2021/01/20,0.3,上交所,可转债,AA,0.85712,0.0001,地方国有企业
110087.SH,天业转债,2024/11/18,101.018,101.197,102.32,100.355,101.567,0.549,0.5434675008414342,149,0.244931506849,3.5945205479452054,0.5907430563076589,2.7795,103.12573286281,-1.558732862810004,-1.5114877921727006,6.8,14.705882352941176,66.02941176470588,35.53758823529412,53.82084632516704,569.8194,0.8599,-35.53758823529412,64.02806548055857,6.0,2022/06/23,0.2,上交所,可转债,AA+,29.99943,0.0,地方国有企业
127097.SZ,三羊转债,2024/11/18,124.995,124.7,127.787,123.962,125.65,0.655,0.5240209608384335,24,0.032876712329,4.936986301369863,0.3979307600477516,-1.218,88.723348494395,36.92665150560501,41.619993082134194,37.53,2.664535038635758,71.27631228350653,54.37368771649347,76.2857757009346,138.3091,2.6414,-54.37368771649347,80.33546241552114,6.0,2023/10/26,0.3,深交所,可转债,A+,2.097958,0.7181,私营
123161.SZ,强联转债,2024/11/18,125.3,125.288,127.129,123.481,125.951,0.651,0.5195530726256983,39,0.106849315068,3.895890410958904,0.7939595557002326,-2.0598,105.22908197549,20.72191802450999,19.69219690554418,21.89,4.568296025582457,110.68981269986296,15.261187300137047,13.787345852249276,-180.6487,1.7956,-15.261187300137047,105.18937409873524,6.0,2022/10/11,0.3,深交所,可转债,AA,12.098551,0.1317,私营
113610.SH,灵康转债,2024/11/18,109.315,109.299,110.145,108.4,109.866,0.551,0.5040479348671271,354,1.450684931507,2.03551912568306,1.3652995467205504,4.0993,98.831136633502,11.034863366498,11.165371301373234,8.0,12.5,76.25,33.616,44.08655737704918,-70.3708,5.5324,-33.616,77.1517991164665,6.0,2020/12/01,0.4,上交所,可转债,A-,2.53009,0.407,私营
127085.SZ,韵达转债,2024/11/18,107.0,106.822,107.5,106.36,107.5,0.5,0.4672897196261682,222,0.243287671233,4.394520547945205,0.3720930232558139,1.0162,101.33423458526,6.165765414739994,6.084582806566006,11.93,8.382229673093041,68.06370494551551,39.43629505448449,57.94027093596059,12.5408,1.1889,-39.43629505448449,67.16753249687643,6.0,2023/04/11,0.2,深交所,可转债,AA+,24.499545,0.2374,私营
128129.SZ,青农转债,2024/11/18,106.465,106.469,107.3,106.465,106.957,0.492,0.4621237026252759,86,0.37698630137,1.7671232876712328,1.495928270239442,1.4027,105.72028801047,1.2367119895299936,1.1697962735473402,4.12,24.271844660194173,80.33980582524272,26.61719417475728,33.13076737160121,4.3056,0.5217,-26.61719417475728,75.9927988630586,6.0,2020/08/25,0.2,深交所,可转债,AAA,49.996997,0.1383,地方国有企业
113646.SH,永吉转债,2024/11/18,137.374,137.8,138.06,136.608,137.99,0.616,0.4484109074497357,219,0.6,3.402739726027397,0.7246901949416624,-5.9104,100.14375610967,37.846243890330015,37.79191570254627,8.18,12.224938875305623,117.35941320293398,20.63058679706601,17.578979166666667,23.5912,3.4855,-20.63058679706601,117.19094406086654,6.0,2022/04/14,0.3,上交所,可转债,AA-,1.38068,0.3273,私营
113056.SH,重银转债,2024/11/18,114.289,114.293,115.424,113.732,114.794,0.505,0.4418622964589768,241,0.660273972603,3.342465753424657,0.8711256685889506,0.1082,107.36833873607,7.425661263929996,6.916062361906855,10.09,9.910802775024775,93.65708622398414,21.136913776015856,22.568408465608464,5.5613,0.6274,-21.136913776015856,87.22970600691653,6.0,2022/03/23,0.2,上交所,可转债,AAA,129.99318,0.1183,地方国有企业
113593.SH,沪工转债,2024/11/18,118.398,119.0,121.13,116.5,118.911,0.513,0.4332843460193584,122,0.802191780822,1.6684931506849316,2.0183162196937205,-0.7729,104.12259587192,14.788404128080003,14.20287691085905,21.1,4.739336492890995,93.3649289099526,25.546071090047395,27.361527918781725,99.9753,5.056,-25.546071090047395,89.6682685714057,6.0,2020/07/20,0.4,上交所,可转债,A,3.99643,0.3442,私营
113651.SH,松霖转债,2024/11/18,131.993,131.0,133.432,128.219,132.551,0.558,0.4227496912715068,122,0.334246575342,3.668493150684932,0.7544265980641413,-3.5642,106.00219348547,26.548806514529986,25.045525608080084,15.67,6.381620931716656,126.73899170389278,5.812008296107211,4.585809164149043,19.8442,3.1417,-5.812008296107211,119.5626123729838,6.0,2022/07/20,0.3,上交所,可转债,AA,3.07445,0.0001,私营
127024.SZ,盈峰转债,2024/11/18,107.299,107.298,107.9,107.0,107.75,0.451,0.4203207858414337,15,0.07397260274,1.9616438356164383,1.6705336426914152,1.9148,107.21920526937,0.5307947306300065,0.4950556472569211,7.86,12.72264631043257,61.704834605597966,46.04516539440204,74.62164948453608,19.0836,0.885,-46.04516539440204,57.55016972059723,6.0,2020/11/04,0.2,深交所,可转债,AA+,14.760467,0.2044,私营
113065.SH,齐鲁转债,2024/11/18,115.93,116.1,118.384,115.32,116.414,0.484,0.4174933149314241,356,0.38904109589,4.030054644808743,0.3436012850688061,-0.4418,104.67539272437,11.738607275630002,11.214294945651613,5.27,18.9753320683112,100.56925996204932,15.844740037950665,15.75505283018868,5.5832,0.692,-15.844740037950665,96.0772702586052,6.0,2022/11/29,0.2,上交所,可转债,AAA,66.04677,0.1043,其他
113044.SH,大秦转债,2024/11/18,118.635,119.01,120.55,119.01,119.114,0.479,0.4037594301850212,341,1.676712328767,2.07103825136612,1.5111573786456671,-2.8353,107.78595638843,11.32804361157001,10.509758405582035,5.71,17.513134851138354,119.43957968476356,-0.3255796847635727,-0.2725894428152492,10.8553,0.8089,0.3255796847635727,110.8118197275508,6.0,2020/12/11,0.2,上交所,可转债,AAA,106.63803,0.0001,中央企业
123049.SZ,维尔转债,2024/11/18,102.71,102.823,105.474,102.0,103.122,0.412,0.4011293934378346,220,1.506849315068,1.4,2.424312949710052,11.9644,106.13609163073,-3.014091630729993,-2.839836651623331,4.63,21.59827213822894,89.41684665226781,13.70515334773218,15.327260869565215,181.726,0.9179,-13.70515334773218,84.24735194072156,6.0,2020/04/13,0.5,深交所,可转债,A-,9.16942,0.0,私营
111000.SH,起帆转债,2024/11/18,111.679,111.997,113.5,110.994,112.125,0.446,0.3993588767807734,179,0.735616438356,2.512328767123288,1.3377926421404682,2.2646,108.91043026164,3.214569738359998,2.9515719758314285,19.59,5.104645227156713,82.03164880040836,30.093351199591627,36.68504978220287,23.9713,1.4827,-30.093351199591627,75.32028714177363,6.0,2021/05/24,0.4,上交所,可转债,AA-,9.9925,0.1517,私营
113030.SH,东风转债,2024/11/18,128.971,129.74,133.5,125.291,129.478,0.507,0.393111629746222,331,1.627397260274,1.0983606557377048,1.3901975625202736,-11.2307,111.12804950483,18.34995049517001,16.51243819803789,3.1,32.25806451612903,131.61290322580643,-2.134903225806452,-1.6221078431372549,-29.6262,1.391,2.134903225806452,118.43355823507558,6.0,2019/12/23,0.4,上交所,可转债,AA,2.82778,0.0001,地方国有企业
127042.SZ,嘉美转债,2024/11/18,104.997,104.997,105.498,104.701,105.396,0.399,0.38001085745307,102,0.419178082192,2.723287671232877,1.4232039166571786,3.4073,108.10884016444,-2.712840164439996,-2.5093601599218007,4.58,21.834061135371176,70.52401746724891,34.87198253275109,49.44695975232199,31.2926,1.3892,-34.87198253275109,65.2342744219415,6.0,2021/08/09,0.3,深交所,可转债,AA,7.497829,0.0,中外合资
113037.SH,紫银转债,2024/11/18,108.941,108.96,109.803,108.913,109.327,0.386,0.3543202283804995,119,0.652054794521,1.6767123287671233,1.8293742625335003,1.4669,108.12945539983,1.197544600170005,1.1075100635084565,3.75,26.666666666666664,80.0,29.327,36.65875,6.0965,0.5698,-29.327,73.98539066361171,6.0,2020/07/23,0.2,上交所,可转债,AA+,44.99585,0.1433,地方国有企业
