代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率,发行人企业性质
123241.SZ,欧通转债,2024/12/19,200.519,198.55,240.623,197.9,240.623,40.104,20.00009974,168,0.04602739726,5.542465753424658,0.0415587869821256,-12.512,95.038770157743,145.584229842257,153.18404226045843,44.56,2.24416517,254.443447037702,-13.820447037702,-5.4316380314,54.9472,5.8836,13.820447037702,267.7259465956715,6.0,2024/07/05,0.1,深交所,可转债,AA-,6.445265,0.0001,私营
118051.SH,皓元转债,2024/12/19,100.0,119.98,119.998,118.041,119.005,19.005,19.005,22,0.012054794521,5.942465753424657,0.1680601655392631,-0.2602,94.974404160256,24.030595839743995,25.30218120578649,40.73,2.45519273,90.621163761355,28.383836238645,31.3214210241,40.7333,2.879,-28.383836238645,95.41640672832702,6.0,2024/11/28,0.2,上交所,可转债,AA-,8.2235,0.2815,私营
113597.SH,佳力转债,2024/12/19,122.194,120.707,146.633,120.378,140.143,17.949,14.68893726,143,0.979452054795,1.610958904109589,1.783892167286272,-9.0544,114.9811334441,25.161866555900005,21.88347409893369,10.71,9.33706816,97.198879551821,42.944120448179,44.18170317,346.5611,3.1085,-42.944120448179,84.53463332667168,6.0,2020/07/30,0.5,上交所,可转债,AA-,2.97796,0.5238,私营
123038.SZ,联得转债,2024/12/19,169.5,169.3,185.998,168.71,185.0,15.5,9.14454277,361,2.071232876712,1.0163934426229508,1.1351351351351353,-37.7304,109.67842541923,75.32157458077,68.67492334327751,23.78,4.20521447,138.477712363331,46.522287636669,33.595505618,22.6012,3.2475,-46.522287636669,126.25793252776911,6.0,2019/12/25,0.5,深交所,可转债,A+,1.098739,0.0,私营
123131.SZ,奥飞转债,2024/12/19,130.05,132.996,147.0,132.996,140.85,10.8,8.30449827,17,0.083835616438,2.956164383561644,1.2779552715654952,-5.5517,102.43467774847,38.41532225153,37.50226299911779,10.07,9.93048659,143.197616683217,-2.347616683217,-1.6394244105,98.8421,4.4908,2.347616683217,139.79408129231496,6.0,2021/12/03,0.5,深交所,可转债,A+,3.962826,0.0001,私营
128083.SZ,新北转债,2024/12/19,131.369,130.093,137.8,129.9,136.81,5.441,4.14176861,8,0.043835616438,0.0218579234972677,0.0600773195102096,-1224.8428,99.98568368146,36.82431631854,36.82958895981246,5.4,18.51851852,137.962962962963,-1.152962962963,-0.835704698,103.3124,1.8842,1.152962962963,137.98271700826004,6.0,2019/12/12,0.3,深交所,可转债,AA,0.720542,0.0001,地方国有企业
123025.SZ,精测转债,2024/12/19,149.923,149.295,162.178,148.73,156.001,6.078,4.05408109,266,1.821917808219,0.273972602739726,7.692258382959083,-102.9504,111.44207369082,44.55892630918001,39.98393500178607,48.68,2.05423172,149.835661462613,6.165338537387,4.1147337538,182.3868,6.0964,-6.165338537387,134.4516092533512,6.0,2019/03/29,0.5,深交所,可转债,AA-,2.73266,0.0001,私营
117225.SZ,24锦隆EB01,2024/12/19,100.005,100.3701,107.659,100.3701,104.0146,4.0096,4.00939953,18,0.024657534247,2.9534246575342467,0.4807017476392737,1.1195,100.98587948784,3.0287205121600067,2.99915248302086,9.8,10.20408163,84.69387755102,19.32072244898,22.8124192771,9.3898,1.4623,-19.32072244898,83.86704951281652,3.0,2024/11/28,0.5,深交所,可交换债券(私募),AA,11.5,0.1173,私营
113684.SH,湘泵转债,2024/12/19,159.712,158.942,168.5,158.19,166.079,6.367,3.98655079,263,0.144109589041,5.282191780821917,0.1204246172002481,-6.3717,98.112895599558,67.966104400442,69.2733651219934,16.59,6.02772755,163.230861965039,2.848138034961,1.7448526588,31.045,3.3201,-2.848138034961,166.3704459720118,6.0,2024/04/01,0.2,上交所,可转债,AA-,3.77519,0.0001,私营
123177.SZ,测绘转债,2024/12/19,155.528,155.448,160.9,152.8,160.9,5.372,3.45404043,293,0.321095890411,4.2,0.2486016159105034,-6.88,95.685802454141,65.21419754585901,68.15451809281109,13.18,7.58725341,163.125948406677,-2.225948406677,-1.3645581395,164.8359,2.8531,2.225948406677,170.4808281091208,6.0,2023/03/02,0.2,深交所,可转债,A+,1.514175,0.0001,私营
