代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率
404004.NQ,汇车退债,2025/01/02,45.935,0.0,0.0,0.0,53.223,7.288,15.86589746,120,,1.6246575342465754,3.3819965052702776,,99.996397034762,-46.773397034762,-46.775082324718205,0.57,175.43859649,,,,,,,0.0,6.0,2020/08/18,0.2,代办转让,可转债,A,27.101512,0.0
123163.SZ,金沃转债,2025/01/02,149.0,148.035,174.483,143.808,171.3,22.3,14.96644295,81,0.221917808219,0.0382513661202185,0.1503410663020082,-1081.2486,100.08841036507,71.21158963493001,71.1486868211689,26.93,3.71333086,147.716301522466,23.583698477534,15.9655354449,157.8743,4.8333,-23.583698477534,147.58582035989429,6.0,2022/10/14,0.5,深交所,可转债,A,0.95317,0.4338
127106.SZ,伟隆转债,2025/01/02,225.5,224.787,247.51,224.0,247.51,22.01,9.76053215,143,0.195890410959,5.610958904109589,0.2020120399175791,-12.1119,80.143479603488,167.366520396512,208.83360845394077,8.6,11.62790698,106.627906976744,140.882093023256,132.1249727372,16.8747,2.5931,-140.882093023256,133.04626590246446,6.0,2024/08/13,0.5,深交所,可转债,A,2.6971,0.0
113589.SH,天创转债,2025/01/02,238.892,240.0,249.187,238.534,247.983,9.091,3.80548532,193,0.951780821918,1.473972602739726,0.7258562078852179,-42.0206,98.164978728247,149.81802127175305,152.6186051407383,12.29,8.1366965,29.53620829943,218.44679170057,739.5898264463,-49.5262,1.3488,-218.44679170057,30.08833565909076,6.0,2020/06/24,0.4,上交所,可转债,A-,0.66623,0.0
113686.SH,泰瑞转债,2025/01/02,147.401,147.001,158.6,144.831,152.661,5.26,3.56849682,185,0.152054794521,5.495890410958904,0.196513844400338,-4.3113,99.862136459193,52.798863540807005,52.87175441352828,8.29,12.06272618,97.94933655006,54.71166344994,55.8571046798,40.8378,1.7193,-54.71166344994,98.08455939662912,6.0,2024/07/02,0.3,上交所,可转债,AA-,3.378,0.6085
127044.SZ,蒙娜转债,2025/01/02,108.21,108.21,118.495,108.141,111.3,3.09,2.85555864,140,0.575342465753,2.6191780821917807,1.3477088948787062,1.3795,106.75526606346,4.544733936539998,4.257151992706767,20.0,5.0,58.1,53.2,91.5662650602,34.3331,1.3886,-53.2,54.42354475090983,6.0,2021/08/16,0.3,深交所,可转债,AA-,3.371434,0.3599
111012.SH,福新转债,2025/01/02,160.907,161.999,166.16,157.131,164.96,4.053,2.51884629,365,0.598356164384,4.005464480874317,0.3637245392822502,-7.5926,98.494357471199,66.46564252880101,67.48167533174315,13.56,7.37463127,154.424778761062,10.535221238938,6.822234957,43.6376,3.2346,-10.535221238938,156.78540652058953,6.0,2023/01/04,0.4,上交所,可转债,A+,2.01306,0.2697
113684.SH,湘泵转债,2025/01/02,133.376,134.0,138.599,132.825,136.264,2.888,2.1653071,277,0.151780821918,5.243835616438356,0.1467739094698526,-2.7653,98.927463600796,37.33653639920401,37.74132585655778,16.59,6.02772755,119.891500904159,16.372499095841,13.6560965309,30.4138,2.3122,-16.372499095841,121.19132194469232,6.0,2024/04/01,0.2,上交所,可转债,AA-,3.76748,0.2177
113584.SH,家悦转债,2025/01/02,117.147,117.147,120.36,116.895,119.64,2.493,2.12809547,212,1.045479452055,1.421917808219178,1.5045135406218657,-4.7055,108.86699224737,10.773007752629994,9.895568464086272,12.69,7.88022065,96.926713947991,22.713286052009,23.4334634146,41.7743,3.1149,-22.713286052009,89.03223277056462,6.0,2020/06/05,0.4,上交所,可转债,AA,6.44881,0.2436
123034.SZ,通光转债,2025/01/02,261.8,261.799,269.5,260.1,266.648,4.848,1.85179526,60,0.41095890411,0.8383561643835616,4.875341273889172,-68.7322,108.68440722904,157.96359277096002,145.3415414393987,7.92,12.62626263,99.747474747475,166.900525252525,167.3230582278,69.6411,1.5965,-166.900525252525,91.77717143662434,6.0,2019/11/04,0.5,深交所,可转债,A+,0.777361,0.0
