代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率,发行人企业性质
123118.SZ,惠城转债,2025/07/09,2112.493,2112.421,2411.482,2108.0,2381.0,268.507,12.71043265,3,0.020547945205,1.9945205479452053,0.1049979000419992,-78.062,107.40678771279,2273.59321228721,2116.8058934663313,11.25,8.88888889,2101.6,279.4,13.2946326608,-1395.5887,35.8847,-279.4,1956.6733581305507,6.0,2021/07/07,0.5,深交所,可转债,A+,1.238716,0.0,私营
113601.SH,塞力转债,2025/07/09,181.084,185.0,203.3,185.0,194.413,13.329,7.3606724,323,2.212328767123,1.1178082191780825,1.2859222377104411,-36.7131,115.23041753581,79.18258246419,68.71673656791405,12.0,8.33333333,194.0,0.413,0.2128865979,-77.6293,5.2466,-0.413,168.3583242590533,6.0,2020/08/21,0.5,上交所,可转债,BB+,3.92116,0.0001,私营
113651.SH,松霖转债,2025/07/09,134.457,142.001,145.0,141.6,143.895,9.438,7.01934447,355,0.972602739726,3.03013698630137,0.6949511796796275,-6.9227,109.78626618822,34.10873381178,31.068306625259694,15.41,6.48929267,134.847501622323,9.047498377677,6.7094297401,49.4744,2.7394,-9.047498377677,122.82729552996862,6.0,2022/07/20,0.3,上交所,可转债,AA,2.37901,0.0001,私营
113693.SH,志邦转债,2025/07/09,124.827,124.58,136.862,123.917,131.241,6.414,5.13831142,114,0.093698630137,5.69041095890411,0.2285871031156422,-2.3899,100.72253240198,30.51846759802,30.299543578016777,11.52,8.68055556,95.399305555556,35.841694444444,37.5701838035,28.5032,1.3934,-35.841694444444,94.71495928519828,6.0,2025/03/18,0.3,上交所,可转债,AA,6.7,0.3304,私营
127053.SZ,豪美转债,2025/07/09,241.66,245.5,255.5,238.352,248.1,6.44,2.6649011,167,0.732054794521,2.5452054794520547,0.6449012494961709,-24.632,114.42543113865,133.67456886135,116.82242970915766,17.57,5.69151964,244.735344336938,3.364655663062,1.3748139535,66.231,4.092,-3.364655663062,213.88195080549067,6.0,2022/01/24,0.3,深交所,可转债,AA-,2.584519,0.0001,中外合资
127070.SZ,大中转债,2025/07/09,121.2,124.883,130.3,123.8,124.321,3.121,2.57508251,327,0.895890410959,3.106849315068493,0.8043693342235021,-2.1691,109.57665964312,14.74434035688,13.455730814300065,10.76,9.2936803,100.743494423792,23.577505576208,23.403501845,18.1799,2.5089,-23.577505576208,91.93882597982387,6.0,2022/08/17,0.3,深交所,可转债,AA,15.190022,0.1733,私营
123239.SZ,锋工转债,2025/07/09,140.95,141.99,151.8,141.99,143.763,2.813,1.99574317,172,0.188493150685,4.531506849315068,0.2782357073795065,-4.0241,94.919655665028,48.843344334972,51.4575658674326,24.19,4.13393964,135.427862753204,8.335137246796,6.1546694139,50.1203,3.5911,-8.335137246796,142.67631061698083,6.0,2024/01/19,0.2,深交所,可转债,A+,4.380916,0.2277,私营
123236.SZ,家联转债,2025/07/09,130.0,130.0,137.099,129.5,132.544,2.544,1.95692308,200,0.27397260274,4.454794520547945,0.3772332206663448,-2.3188,104.50104453619,28.04295546381,26.835095848346644,15.33,6.52315721,135.942596216569,-3.398596216569,-2.5000230326,-40.0834,2.6554,3.398596216569,130.08730852397403,6.0,2023/12/22,0.2,深交所,可转债,AA-,7.292389,0.0001,私营
128101.SZ,联创转债,2025/07/09,125.999,126.0,136.0,125.552,128.398,2.399,1.90398336,116,0.635616438356,0.684931506849315,7.78828330659356,-20.9202,108.38944740006,20.00855259994,18.459871398817487,11.17,8.95255148,99.194270367055,29.203729632945,29.4409440433,899.429,5.494,-29.203729632945,91.51653850668131,6.0,2020/03/16,0.3,深交所,可转债,AA-,2.983665,0.6149,私营
127061.SZ,美锦转债,2025/07/09,104.98,105.28,107.199,105.28,106.903,1.923,1.83177748,81,0.355068493151,2.780821917808219,1.4966839097125433,4.9849,107.08398542862,-0.18098542862,-0.1690126006195774,5.26,19.01140684,86.311787072243,20.591212927757,23.8567797357,-13.9326,1.4658,-20.591212927757,80.60195623721596,6.0,2022/04/20,0.3,深交所,可转债,A+,27.891139,0.0,私营
