代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率,发行人企业性质
123056.SZ,雪榕转债,2025/05/27,164.1,164.3,185.0,163.666,175.3,11.2,6.82510664,338,2.315068493151,1.0767123287671232,1.426126640045636,-31.4629,109.62624367332,65.67375632668,59.90696581959341,4.1,24.3902439,171.951219512195,3.348780487805,1.9475177305,138.0133,3.5167,-3.348780487805,156.85224062278363,6.0,2020/06/24,0.4,深交所,可转债,A,1.993626,0.0001,私营
113575.SH,东时转债,2025/05/27,143.806,142.555,154.999,142.501,153.333,9.527,6.62489743,49,0.308767123288,0.8684931506849315,5.217402646527493,-34.0418,84.918658886461,68.414341113539,80.56455673070766,12.15,8.23045267,23.621399176955,129.711600823045,549.1275087108,-10.6821,2.373,-129.711600823045,27.81650050377924,6.0,2020/04/09,0.4,上交所,可转债,CCC,0.97908,0.0,私营
127081.SZ,中旗转债,2025/05/27,332.0,334.0,354.77,331.0,345.101,13.101,3.94608434,86,0.235616438356,3.767123287671233,0.2897702411757717,-25.5107,95.143269154481,249.957730845519,262.7171980391706,20.7,4.83091787,343.913043478261,1.187956521739,0.3454235145,-553.1123,5.777,-1.187956521739,361.46860049538634,6.0,2023/03/03,0.3,深交所,可转债,A+,3.207555,0.3063,私营
110079.SH,杭银转债,2025/05/27,137.08,137.08,142.098,137.002,140.997,3.917,2.8574555,60,0.295890410959,0.1123287671232876,0.3497597005124293,-12.8185,100.30993623453,40.68706376547,40.56134944632152,11.35,8.81057269,141.145374449339,-0.148374449339,-0.1051217228,4.6407,0.7659,0.148374449339,140.7092654503673,6.0,2021/03/26,0.2,上交所,可转债,AAA,30.95496,0.0001,地方国有企业
113050.SH,南银转债,2025/05/27,130.032,130.098,132.55,130.001,132.495,2.463,1.89414913,347,1.140821917808,0.1424657534246575,0.905694554511491,-8.852,101.12115631175,31.37384368825,31.025993800472836,8.22,12.16545012,132.725060827251,-0.230060827251,-0.1733363886,4.9451,0.7477,0.230060827251,131.2535038840618,6.0,2021/06/11,0.2,上交所,可转债,AAA,78.24241,0.0001,其他
113653.SH,永22转债,2025/05/27,114.525,114.01,116.799,114.0,116.531,2.006,1.75158262,304,0.832876712329,3.16986301369863,0.8581407522461834,0.9513,109.26504444697,7.26595555303,6.649844504073224,22.45,4.45434298,82.984409799555,33.546590200445,40.425171766,68.0994,1.4053,-33.546590200445,75.94781132389518,6.0,2022/07/28,0.4,上交所,可转债,AA-,7.69964,0.1984,私营
127094.SZ,红墙转债,2025/05/27,141.12,140.124,149.587,137.3,143.352,2.232,1.58163265,222,0.304109589041,4.394520547945206,0.3487917852558737,-3.9314,95.611927236442,47.740072763558,49.93108510981056,10.74,9.31098696,142.458100558659,0.893899441341,0.6274823529,316.9747,1.9956,-0.893899441341,148.99616049613715,6.0,2023/10/18,0.3,深交所,可转债,A+,3.013258,0.0001,私营
113549.SH,白电转债,2025/05/27,123.313,123.36,125.943,122.866,125.19,1.877,1.52214284,194,1.06301369863,0.4712328767123288,7.987858455148176,-25.7486,109.10095272461,16.08904727539,14.74693563492666,7.73,12.93661061,120.569210866753,4.620789133247,3.8324785408,31.3201,1.3192,-4.620789133247,110.51160219571216,6.0,2019/11/15,0.3,上交所,可转债,AA,3.67119,0.0001,私营
128076.SZ,金轮转债,2025/05/27,123.5,123.652,128.952,123.377,125.213,1.713,1.38704453,226,1.238356164384,0.3835616438356164,7.986391189413238,-31.6759,109.01937349173,16.19362650827,14.853897972086967,13.57,7.36919676,117.391304347826,7.821695652174,6.6629259259,25.7778,1.2583,-7.821695652174,107.67930560225707,6.0,2019/10/14,0.4,深交所,可转债,AA-,2.130702,0.0001,地方国有企业
113598.SH,法兰转债,2025/05/27,135.448,136.611,141.498,133.971,137.321,1.873,1.3828185,301,2.061643835616,0.0657534246575342,1.6160515013667247,-12.5932,102.06692006017,35.25407993983,34.54016239448313,7.45,13.42281879,138.120805369128,-0.799805369128,-0.5790621963,27.0625,2.2914,0.799805369128,135.3237711960973,6.0,2020/07/31,0.4,上交所,可转债,AA-,2.5532,0.0001,私营
