代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额
128118.SZ,瀛通转债,2024/11/25,149.2600,148.9000,179.1120,145.0150,179.1120,29.8520,20.0000000000,147,1.208219178082,0.06557377049180328,0.780104221924047500,-659.8731,101.0820325878,78.0299674122,77.19469564922238,9.680,10.33057851,130.681818181818,48.430181818182,37.059617391300,-68.9262,2.8076,-48.430181818182,129.28293469792226,6.0000,2020/07/02,0.4000,深交所,可转债,A+,0.783611
123162.SZ,东杰转债,2024/11/25,109.2790,110.5500,131.1350,107.9000,131.1340,21.8550,19.9992679300,43,0.117808219178,3.8849315068493153,0.762578736254518300,-2.1965,76.517956312202,54.61604368779798,71.37676738902734,8.050,12.42236025,114.161490683230,16.972509316770,14.867105549500,-36.4735,3.0129,-16.972509316770,149.19568711092867,6.0000,2022/10/14,0.5000,深交所,可转债,BBB+,5.624472
123242.SZ,赛龙转债,2024/11/25,201.0000,209.0000,228.5200,197.8460,218.7630,17.7630,8.8373134300,141,0.115890410959,5.616438356164384,0.137134707423101700,-10.1851,86.835143674036,131.927856325964,151.92910467356185,36.810,2.71665308,99.130671013312,119.632328986688,120.681447793900,49.7586,2.1387,-119.632328986688,114.1596211154222,6.0000,2024/07/08,0.3000,深交所,可转债,A+,2.5
110058.SH,永鼎转债,2024/11/25,171.3000,178.0000,193.4700,170.0000,185.7530,14.4530,8.4372446000,224,1.227397260274,0.06830601092896176,0.731565094285960400,-104.8259,101.17667189469,84.57632810530998,83.59271610884915,3.740,26.73796791,178.074866310160,7.678133689840,4.311744744700,124.1438,3.3915,-7.678133689840,176.00387814249282,6.0000,2019/04/15,0.4000,上交所,可转债,AA-,1.42268
127047.SZ,帝欧转债,2024/11/25,85.1400,85.1510,92.4890,84.8020,92.1000,6.9600,8.1747709700,32,0.140273972603,2.915068493150685,1.737242128121606900,9.2177,95.547566306701,-3.447566306701006,-3.6082199055018935,5.100,19.60784314,88.235294117647,3.864705882353,4.380000000000,-9.2336,0.9955,-3.864705882353,92.34698227102707,6.0000,2021/10/25,0.3000,深交所,可转债,A,14.614606
113601.SH,塞力转债,2024/11/25,96.1550,98.5000,104.1960,98.2200,102.9110,6.7560,7.0261556900,97,0.664383561644,1.736986301369863,2.429283555693754800,8.0375,96.577234255444,6.333765744556004,6.5582388990384395,12.500,8.00000000,72.240000000000,30.671000000000,42.457087486200,-23.0871,1.7691,-30.671000000000,74.80023688494462,6.0000,2020/08/21,0.5000,上交所,可转债,BBB+,4.18187
113684.SH,湘泵转债,2024/11/25,149.7410,150.0000,167.6890,148.9700,159.2540,9.5130,6.3529694600,239,0.130958904110,5.347945205479452,0.125585542592336800,-5.5465,95.973818809931,63.28018119006899,65.9348372032488,16.590,6.02772755,159.975889089813,-0.721889089813,-0.451248681200,30.2858,3.2390,0.721889089813,166.6870101382892,6.0000,2024/04/01,0.2000,上交所,可转债,AA-,3.86786
118008.SH,海优转债,2024/11/25,91.6840,94.5500,97.5400,93.2260,97.3430,5.6590,6.1722874200,156,0.341917808219,3.5753424657534247,0.821836187501926200,6.0487,98.023503439676,-0.6805034396760021,-0.6942247683432231,109.700,0.91157703,35.478577939836,61.864422060164,174.371199897200,-9.8661,1.8745,-61.864422060164,36.19395011898308,6.0000,2022/06/23,0.3000,上交所,可转债,A+,6.93942
123190.SZ,道氏转02,2024/11/25,131.6490,131.6480,138.9000,131.6480,138.9000,7.2510,5.5078276300,233,0.319178082192,4.364383561643836,0.359971202303815700,-3.3562,102.25002544038,36.649974559620006,35.84348698376598,12.930,7.73395205,140.835266821346,-1.935266821346,-1.374135090600,79.8385,2.0233,1.935266821346,137.73616800072517,6.0000,2023/04/07,0.3000,深交所,可转债,AA-,17.825291
127093.SZ,章鼓转债,2024/11/25,112.9000,112.9050,118.9000,112.9050,118.7000,5.8000,5.1372896400,40,0.049315068493,4.8931506849315065,0.379106992417860200,-0.0263,89.115171469587,29.584828530413006,33.198419576075935,10.250,9.75609756,94.634146341463,24.065853658537,25.430412371100,22.3047,2.4807,-24.065853658537,106.19308113406873,6.0000,2023/10/17,0.2500,深交所,可转债,A+,2.427756
123213.SZ,天源转债,2024/11/25,191.5530,191.5540,202.3980,191.0530,201.2700,9.7170,5.0727474900,121,0.165753424658,4.671232876712329,0.248422517016942400,-11.1316,98.239765029009,103.030234970991,104.87630435655808,7.240,13.81215470,199.309392265193,1.960607734807,0.983700623700,36.5153,3.5365,-1.960607734807,202.8805669540632,6.0000,2023/07/28,0.3000,深交所,可转债,AA-,6.114093
123018.SZ,溢利转债,2024/11/25,180.2230,180.9810,203.0000,178.0100,189.0000,8.7770,4.8700776300,342,1.868493150685,0.06830601092896176,5.291005291005291000,-611.9365,109.80223204054,79.19776795946,72.12764848916682,7.990,12.51564456,93.491864831039,95.508135168961,102.156626506000,64.1535,1.3970,-95.508135168961,85.14568701710994,6.0000,2018/12/20,0.4000,深交所,可转债,AA-,0.540292
113640.SH,苏利转债,2024/11/25,104.8100,104.9990,109.6940,103.3360,109.3840,4.5740,4.3640874000,284,0.775342465753,3.226775956284153,0.914210487822716300,2.8406,107.10200403513,2.2819959648700063,2.130675317822718,17.200,5.81395349,87.383720930233,22.000279069767,25.176633399900,241.5326,1.1675,-22.000279069767,81.58924916248131,6.0000,2022/02/16,0.4000,上交所,可转债,AA-,9.57153
123202.SZ,祥源转债,2024/11/25,145.1020,146.0000,155.2760,145.1020,151.2500,6.1480,4.2370194800,146,0.160000000000,0.08469945355191257,0.127521793275219800,-5.0012,99.790726460202,51.459273539798005,51.567190023735044,15.180,6.58761528,150.065876152833,1.184123847167,0.789069359100,103.5304,3.1646,-1.184123847167,150.3805829218825,6.0000,2023/07/03,0.2000,深交所,可转债,A+,1.412742
127078.SZ,优彩转债,2024/11/25,111.2000,111.2000,116.8000,110.4130,115.4000,4.2000,3.7769784200,348,0.570410958904,4.051912568306011,0.519930675909878700,1.2279,96.335610043489,19.064389956511008,19.789556476472956,7.150,13.98601399,101.818181818182,13.581818181818,13.339285714300,18.3720,1.3982,-13.581818181818,105.69111647522446,6.0000,2022/12/14,0.4000,深交所,可转债,A+,5.999361
128087.SZ,孚日转债,2024/11/25,124.7310,124.8900,132.0000,123.2650,129.1680,4.4370,3.5572552100,345,1.696438356164,0.0273224043715847,1.347844362812306500,-777.1506,101.6183638256,27.549636174400007,27.110883443942658,3.880,25.77319588,129.896907216495,-0.728907216495,-0.561142857100,13.6902,1.1575,0.728907216495,127.82818215753538,6.0000,2019/12/17,0.4000,深交所,可转债,AA-,1.068383
127075.SZ,百川转2,2024/11/25,112.1690,111.9640,116.8800,111.9500,116.0760,3.9070,3.4831370500,38,0.104109589041,3.8986301369863012,0.861504531513835800,0.9395,96.586377543805,19.489622456194994,20.17843815227031,8.180,12.22493888,111.735941320293,4.340058679707,3.884210065600,39.6607,3.0879,-4.340058679707,115.68499012152846,6.0000,2022/10/19,0.3000,深交所,可转债,A+,9.667804
123031.SZ,晶瑞转债,2024/11/25,319.3970,318.9900,331.9170,318.5000,329.9850,10.5880,3.3149967000,89,0.487671232877,0.7589041095890411,3.333484855372213900,-87.4447,106.8986403283,223.0863596717,208.689613812273,3.830,26.10966057,296.866840731070,33.118159268930,11.155897097600,13586.2633,4.6607,-33.118159268930,277.70871530203965,6.0000,2019/08/29,0.4000,深交所,可转债,A+,0.526497
113588.SH,润达转债,2024/11/25,163.7290,195.0000,196.4000,164.5010,169.1440,5.4150,3.3072943700,162,0.798904109589,1.558904109589041,1.064181998770278600,-23.9562,107.03256328848,62.11143671152,58.030411309606656,13.000,7.69230769,156.923076923077,12.220923076923,7.787843137300,181.7117,2.8868,-12.220923076923,146.61246269523542,6.0000,2020/06/17,0.3000,上交所,可转债,AA,2.34762
123141.SZ,宏丰转债,2024/11/25,123.1000,123.4000,127.2400,122.9000,127.1100,4.0100,3.2575142200,256,0.701369863014,3.3013698630136985,0.786720163637794000,-1.6429,94.260594954439,32.849405045561,34.84956259976803,5.350,18.69158879,127.289719626168,-0.179719626168,-0.141189427300,-178.1364,3.6604,0.179719626168,135.04022512025696,6.0000,2022/03/15,0.5000,深交所,可转债,A,3.20185
113575.SH,东时转债,2024/11/25,175.5570,177.0000,192.7000,176.6000,181.2370,5.6800,3.2354164200,231,1.265753424658,1.36986301369863,1.103527425415340100,-30.8305,97.146686165305,84.090313834695,86.5601464692339,12.150,8.23045267,21.152263374486,160.084736625514,756.820836575900,-12.6901,1.0922,-160.084736625514,21.773530533499894,6.0000,2020/04/09,0.4000,上交所,可转债,BB+,0.98018
111008.SH,沿浦转债,2024/11/25,123.1480,124.8000,129.9900,124.8000,127.0510,3.9030,3.1693572000,24,0.078904109589,3.936986301369863,0.944502601317581100,-1.8116,94.885698012729,32.16530198727101,33.89899917578306,31.500,3.17460317,117.174603174603,9.876396825397,8.428786236800,30.2135,3.6534,-9.876396825397,123.49026842684336,6.0000,2022/11/02,0.4000,上交所,可转债,A+,3.83836
128070.SZ,智能转债,2024/11/25,123.9990,125.0000,134.0000,123.0270,127.7750,3.7760,3.0451858500,147,1.208219178082,0.6,9.391508511054588100,-20.5766,108.75826181539,19.016738184610006,17.48532742909193,8.260,12.10653753,118.159806295400,9.615193704600,8.137448770500,76.8221,3.0099,-9.615193704600,108.64444164799959,6.0000,2019/07/02,0.5000,深交所,可转债,A+,2.288198
128076.SZ,金轮转债,2024/11/25,123.1820,123.4280,130.3820,122.9340,126.8110,3.6290,2.9460473100,43,0.235616438356,0.8849315068493151,7.885751236091506300,-14.9805,107.21405168419,19.59694831581001,18.27833946014356,13.570,7.36919676,124.760501105380,2.050498894620,1.643548139400,23.1367,1.3777,-2.050498894620,116.36581133308428,6.0000,2019/10/14,0.4000,深交所,可转债,AA-,2.133505
113569.SH,科达转债,2024/11/25,119.4310,119.5000,123.5710,116.5580,122.7390,3.3080,2.7698001400,262,1.435616438356,1.284931506849315,1.629473924343525700,-3.7057,106.83748590341,15.901514096590006,14.883834042076113,6.360,15.72327044,119.339622641509,3.399377358491,2.848490118600,-8.0400,6.2598,-3.399377358491,111.70201323288529,6.0000,2020/03/09,0.4000,上交所,可转债,A,5.04437
