代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率,发行人企业性质
128041.SZ,盛路转债,2024/07/04,220.191,224.0,259.9,217.22,235.0,14.809,6.725524658137708,354,1.934246575342,0.0355191256830601,,-1497.5453,109.81382349,125.18617651,113.99855913531674,6.75,14.814814814814817,79.7037037037037,155.29629629629628,194.84200743494424,35.7704,1.5221,-155.29629629629628,72.58075638442894,6.0,2018/07/17,0.5,深交所,可转债,,,0.0,私营
127033.SZ,中装转2,2024/07/04,46.872,52.0,54.5,47.001,49.834,2.962,6.319337770950674,80,0.328767123288,2.783561643835617,3.009993177348798,35.9736,62.11823238,-12.28423238,-19.77556654357588,5.14,19.455252918287936,21.01167315175097,28.822326848249027,137.1729259259259,-2.1902,0.3083,-28.822326848249027,33.82529145905966,6.0,2021/04/16,0.3,深交所,可转债,,,0.0,私营
113537.SH,文灿转债,2024/07/04,230.12,231.0,245.5,216.608,244.477,14.357,6.23891882496089,25,0.239726027397,0.9342465753424656,6.135546493126143,-56.6883,112.0941422,132.3828578,118.09971083395293,18.98,5.268703898840885,145.04741833508956,99.42958166491044,68.54970795495824,29.2843,2.253,-99.42958166491044,129.39785745118942,6.0,2019/06/06,0.5,上交所,可转债,,,0.0,私营
110072.SH,广汇转债,2024/07/04,72.474,77.4,82.0,70.0,76.153,3.679,5.07630322598449,322,1.319178082192,2.1229508196721314,1.9697188554620304,21.1203,108.34435191,-32.19135191,-29.71207205774867,1.5,66.66666666666666,66.0,10.153,15.383333333333333,28.9209,0.2148,-10.153,60.916881070851936,6.0,2020/08/18,0.2,上交所,可转债,,,0.0001,私营
123162.SZ,东杰转债,2024/07/04,88.12,88.666,101.0,88.666,91.0,2.88,3.268270540172492,265,0.506301369863,4.278688524590164,0.7692307692307692,7.1172,71.21025455,19.78974545,27.790583779060512,8.05,12.422360248447204,73.66459627329192,17.335403726708073,23.532883642495783,-94.0915,1.8415,-17.335403726708073,103.4466127649756,6.0,2022/10/14,0.5,深交所,可转债,,,0.3857,地方国有企业
113546.SH,迪贝转债,2024/07/04,126.939,132.0,135.0,129.899,131.031,4.092,3.223595585281119,256,1.397260273973,1.30327868852459,1.526356358419,-8.4248,109.44379257,21.58720743,19.72446944964272,11.93,8.382229673093041,122.0452640402347,8.985735959765298,7.362625686813187,33.0912,2.3792,-8.985735959765298,111.51410342635452,6.0,2019/10/23,0.5,上交所,可转债,,,0.0001,私营
113619.SH,世运转债,2024/07/04,127.661,130.4,135.5,128.0,131.426,3.765,2.949217067076084,167,0.682191780822,2.5464480874316937,1.141326678130659,-5.75,107.17962035,24.24637965,22.62219213953392,17.59,5.6850483229107445,123.30869812393404,8.117301876065946,6.58291101890272,32.8859,2.8114,-8.117301876065946,115.04864238300507,6.0,2021/01/20,0.3,上交所,可转债,,,0.0001,地方国有企业
113602.SH,景20转债,2024/07/04,134.042,133.998,141.22,133.998,137.222,3.18,2.3723907431998925,316,1.294520547945,2.1393442622950816,1.093119179140371,-9.4916,106.29548639,30.92651361,29.09485121177213,22.58,4.428697962798937,138.13108945969884,-0.9090894596988484,-0.658135299775569,20.9943,3.1016,0.9090894596988484,129.95009868330013,6.0,2020/08/24,0.4,上交所,可转债,,,0.0001,中外合资
127096.SZ,泰坦转债,2024/07/04,129.431,129.042,138.122,128.592,132.09,2.659,2.0543764631347976,254,0.346575342466,5.308743169398907,0.3785297902944961,-1.6115,78.97677412,53.11322588,67.25170339231374,13.39,7.468259895444362,56.75877520537714,75.33122479462284,132.72172368421053,19.9949,1.1878,-75.33122479462284,71.86767988160156,6.0,2023/10/25,0.5,深交所,可转债,,,1.5323,私营
111016.SH,神通转债,2024/07/04,108.607,119.99,119.99,109.167,110.427,1.82,1.675766755365676,346,0.18904109589,5.057377049180328,0.1811151258297336,1.6691,100.25661376,10.17038624,10.144354430667736,11.52,8.680555555555555,79.8611111111111,30.56588888888889,38.27380869565217,84.9814,2.5958,-30.56588888888889,79.65670105544078,6.0,2023/07/25,0.2,上交所,可转债,,,0.2109,私营
111017.SH,蓝天转债,2024/07/04,159.528,159.644,162.5,158.6,161.939,2.411,1.511333433629206,325,0.266301369863,5.114754098360656,0.1852549416755691,-6.5685,102.10244217,59.83655783,58.60443350647036,9.28,10.775862068965516,148.8146551724138,13.124344827586206,8.819255611875453,11.802,2.4076,-13.124344827586206,145.75033859095967,6.0,2023/08/15,0.3,上交所,可转债,,,0.1963,私营
113615.SH,金诚转债,2024/07/04,425.059,431.02,443.579,426.1,430.953,5.894,1.3866310323978552,195,0.797260273973,2.469945355191257,0.3480657983585216,-41.7231,109.25543171,321.69756829,294.4453774562821,12.43,8.045052292839902,405.1488334674176,25.80416653258246,6.369058578236696,28.4057,4.144,-25.80416653258246,370.8271773094233,6.0,2020/12/23,0.4,上交所,可转债,,,0.7846,私营
113561.SH,正裕转债,2024/07/04,138.267,138.179,142.08,135.0,139.814,1.547,1.1188497616929565,187,1.121095890411,1.4918032786885245,1.5735191039523937,-12.8298,105.65365763,34.16034237,32.33238028505345,9.88,10.121457489878544,80.36437246963561,59.44962753036437,73.97510327455919,28.6833,1.5292,-59.44962753036437,76.06397570358835,6.0,2019/12/31,0.5,上交所,可转债,,,1.0362,私营
113673.SH,岱美转债,2024/07/04,123.04,123.04,126.106,122.901,124.256,1.216,0.988296488946684,353,0.289315068493,5.038251366120218,0.2414370332217357,-1.1927,104.10697335,20.14902665,19.35415659646588,9.93,10.070493454179251,103.62537764350452,20.63062235649547,19.908851311953352,21.7894,3.6614,-20.63062235649547,99.53740302786792,6.0,2023/07/18,0.3,上交所,可转债,,,0.162,私营
127092.SZ,运机转债,2024/07/04,156.7,156.697,162.3,156.697,158.13,1.43,0.9125717932354818,288,0.157260273973,5.215846994535519,0.1264782141276165,-5.0641,100.24240708,57.88759292,57.74760862815466,17.42,5.740528128587831,154.9942594718714,3.135740528128588,2.023133333333333,35.3651,2.2015,-3.135740528128588,154.61945097564933,6.0,2023/09/21,0.2,深交所,可转债,,,0.0001,私营
113683.SH,伟24转债,2024/07/04,199.14,198.8,207.0,198.178,200.781,1.641,0.8240433865622175,99,0.054246575342,5.7315068493150685,0.0996110189709185,-9.4249,99.68224038,101.09875962,101.42103471450888,18.03,5.546311702717693,108.43039378813089,92.3506062118691,85.17040562659847,11.6945,2.8857,-92.3506062118691,108.77604011986683,6.0,2024/03/28,0.2,上交所,可转债,,,1.4987,私营
123031.SZ,晶瑞转债,2024/07/04,329.6,328.611,337.0,327.3,331.9,2.3,0.6978155339805825,311,1.528767123288,1.1530054644808745,0.5423320277191925,-61.1127,106.3940784,225.5059216,211.9534517251855,3.83,26.109660574412526,181.2010443864229,150.69895561357703,83.16671469740633,-203.7442,2.8459,-150.69895561357703,170.31121196912682,6.0,2019/08/29,0.4,深交所,可转债,,,0.0,中外合资
128090.SZ,汽模转2,2024/07/04,117.841,118.177,120.762,117.979,118.6,0.759,0.644088220568393,191,0.93698630137,1.4808743169398908,1.5177065767284992,-3.95,106.95759322,11.64240678,10.885068025093693,4.2,23.809523809523807,91.9047619047619,26.695238095238093,29.046632124352328,37.571,1.7498,-26.695238095238093,85.92635561247523,6.0,2019/12/27,0.3,深交所,可转债,,,0.3161,私营
123018.SZ,溢利转债,2024/07/04,279.996,278.937,283.6,278.6,281.687,1.691,0.6039371991028443,198,1.079452054795,0.4617486338797814,3.55003958294135,-131.9973,108.69499599,172.99200401,159.15360448232167,7.99,12.515644555694616,75.21902377972465,206.4679762202753,274.48903993344425,37.5111,1.1231,-206.4679762202753,69.20191964186175,6.0,2018/12/20,0.4,深交所,可转债,,,0.0,私营
117210.SZ,23建安E1,2024/07/04,103.0281,103.58,103.58,103.58,103.58,0.5519,0.5356791011384272,309,1.265753424658,2.158469945355191,1.4481560146746475,2.0732,104.83112255,-1.25112255,-1.193464802786279,9.9,10.1010101010101,59.5959595959596,43.9840404040404,73.80372881355933,13.9079,0.7304,-43.9840404040404,56.849491015928834,3.0,2023/08/31,1.5,深交所,可交换债券(私募),,,0.0,地方国有企业
113627.SH,太平转债,2024/07/04,107.594,107.69,108.32,106.326,108.169,0.575,0.5344164172723386,356,0.972602739726,3.030054644808743,0.9244792870415738,1.8797,106.95876965,1.21023035,1.1314924002587383,21.21,4.714757190004715,62.89486091466289,45.27413908533711,71.98384482758621,9.9531,1.3689,-45.27413908533711,58.80290238983961,6.0,2021/07/15,0.3,上交所,可转债,,,0.1876,私营
113669.SH,景23转债,2024/07/04,130.004,129.112,133.661,129.112,130.69,0.686,0.5276760715054921,92,0.12602739726,4.750684931506849,0.3825847425204682,-3.105,101.01315852,29.67684148,29.37918377646232,24.71,4.046944556859571,126.22420072845,4.46579927154998,3.5379897403013785,20.9943,3.1016,-4.46579927154998,124.95817631864108,6.0,2023/04/04,0.3,上交所,可转债,,,0.0001,中外合资
