代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额
113576.SH,起步转债,2024/01/02,107.592,109.96,125.745,109.96,117.943,10.351,9.62060376,268,1.321643835616,1.0410958904109588,1.5261609421500215,0.5168,80.06867315541,37.87432684459,47.30230357517914,2.6,38.46153846,88.461538461538,29.481461538462,33.3268695652,-4.3865,2.9423,-29.481461538462,110.48208366065688,6.0,2020/04/10,0.5,上交所,可转债,null,null
127096.SZ,泰坦转债,2024/01/02,217.0,217.5,242.89,216.0,233.5,16.5,7.60368664,70,0.095890410959,5.811475409836065,0.2141327623126338,-10.8211,68.99821954339,164.50178045661,238.41452945486796,13.81,7.24112962,93.048515568429,140.451484431571,150.9443579767,21.3564,1.9215,-140.451484431571,134.8564009103377,6.0,2023/10/25,0.5,深交所,可转债,null,null
111011.SH,冠盛转债,2024/01/02,136.513,136.25,145.894,136.001,143.956,7.443,5.45222799,365,0.3,5.002739726027397,0.2083970101975604,-3.6323,90.193661000405,53.76233899959499,59.60766910143893,17.61,5.67859171,143.668370244179,0.287629755821,0.2002039526,19.4159,2.0921,-0.287629755821,159.28876669451734,6.0,2023/01/03,0.3,上交所,可转债,null,null
127097.SZ,三羊转债,2024/01/02,242.7,244.488,261.255,244.1,255.0,12.3,5.06798517,69,0.056712328767,5.814207650273224,0.1176470588235294,-12.4952,75.450268169785,179.549731830215,237.97096575743905,37.65,2.6560425,94.68791500664,160.31208499336,169.3057503506,141.8508,3.3346,-160.31208499336,125.497121883735,6.0,2023/10/26,0.3,深交所,可转债,null,null
117205.SZ,23希望E1,2024/01/02,96.9029,102.505,102.505,100.97,100.97,4.0671,4.19708801,287,1.179452054795,2.2185792349726774,1.4855897791423196,4.7459,105.9650161117,-4.9950161116999965,-4.713835089153049,14.45,6.92041522,64.77508650519,36.19491349481,55.8778311966,-11.03,1.7441,-36.19491349481,61.12874690351502,3.0,2023/03/22,1.5,深交所,可交换债券(私募),null,null
113066.SH,平煤转债,2024/01/02,129.616,129.898,135.0,129.51,133.949,4.333,3.34295149,293,0.160547945205,5.202185792349727,0.1493105584961441,-3.5666,95.913154872751,38.03584512724902,39.65654677683325,9.06,11.03752759,134.437086092715,-0.488086092715,-0.3630591133,9.1059,1.1518,0.488086092715,140.16543014467004,6.0,2023/03/16,0.2,上交所,可转债,null,null
128085.SZ,鸿达转债,2024/01/02,73.39,74.728,78.877,74.0,75.48,2.09,2.84779943,18,0.147945205479,1.9535519125683056,3.97456279809221,27.7729,58.692740794796,16.787259205204002,28.601934375319622,3.91,25.57544757,22.506393861893,52.973606138107,235.3713636364,-3.3769,0.2906,-52.973606138107,38.34612859634684,6.0,2019/12/13,0.4,深交所,可转债,null,null
110048.SH,福能转债,2024/01/02,151.291,151.371,159.9,151.001,155.085,3.794,2.50774997,27,0.147945205479,0.9289617486338798,5.803269174968565,-31.9884,106.4174111741,48.66758882590001,45.73273141016307,5.57,17.95332136,154.219030520646,0.865969479354,0.5615192084,13.3402,1.0438,-0.865969479354,144.9189834813234,6.0,2018/12/07,0.4,上交所,可转债,null,null
128106.SZ,华统转债,2024/01/02,234.5,234.5,243.482,230.13,240.318,5.818,2.48102345,268,1.101369863014,0.9398907103825136,0.6241729708136718,-29.1122,100.19000858153,140.12799141847,139.8622411579497,8.82,11.33786848,238.662131519274,1.655868480726,0.6938128266,-36.1124,5.5896,-1.655868480726,238.20951300254836,6.0,2020/04/10,0.3,深交所,可转债,null,null
113595.SH,花王转债,2024/01/02,130.994,130.0,142.99,128.18,134.135,3.141,2.39781975,166,0.682191780822,0.1534246575342465,0.6752433778790249,-3.3996,97.104471831075,37.03052816892499,38.13473001876173,4.48,22.32142857,122.321428571429,11.813571428571,9.657810219,-61.1152,6.559,-11.813571428571,125.96889336283292,6.0,2020/07/21,0.5,上交所,可转债,null,null
