代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率,发行人企业性质
123056.SZ,雪榕转债,2025/05/20,144.145,144.865,172.974,144.865,172.974,28.829,20.0,331,2.267123287671,1.095890410958904,1.445303918507984,-30.1443,109.44547543608,63.52852456392,58.04582081698104,4.1,24.3902439,167.80487804878,5.16912195122,3.0804360465,134.6853,3.4319,-5.16912195122,153.32280971887587,6.0,2020/06/24,0.4,深交所,可转债,A,1.993636,0.0001,私营
117222.SZ,24广州数字科技EB,2025/05/20,102.01,113.0,113.0,113.0,113.0,10.99,10.77345358,25,0.020547945205,1.9342465753424656,0.2654867256637168,-3.455,101.6981987205,11.3018012795,11.113079112208323,14.32,6.98324022,84.497206703911,28.502793296089,33.732231405,31.2176,2.357,-28.502793296089,83.08623728541843,3.0,2024/04/24,0.3,深交所,可交换债券(私募),,30.0,0.3385,地方国有企业
118048.SH,利扬转债,2025/05/20,139.614,147.5,159.99,145.606,152.163,12.549,8.9883536,323,0.17698630137,5.117808219178082,0.1314379974106715,-4.6187,90.745129490449,61.417870509551,67.68172667163948,16.13,6.19962802,154.370737755735,-2.207737755735,-1.430153012,-165.143,4.7563,2.207737755735,170.11462612104447,6.0,2024/07/02,0.2,上交所,可转债,A+,4.85711,0.0001,私营
117227.SZ,25华邦EB,2025/05/20,105.5,111.5,111.5,108.5,111.5,6.0,5.68720379,29,0.007945205479,2.9232876712328766,0.0896860986547085,-2.5841,97.168061414743,14.331938585257,14.749639312123252,14.88,6.72043011,111.827956989247,-0.327956989247,-0.2932692308,57.0544,4.6405,0.327956989247,115.08715452491232,3.0,2025/04/18,0.1,深交所,可交换债券(私募),,6.0,0.0001,私营
113615.SH,金诚转债,2025/05/20,329.835,332.0,355.5,331.978,347.335,17.5,5.30568314,149,0.734794520548,1.5945205479452054,0.5182316783508716,-50.5812,110.43010641267,236.90489358733,214.5292631540461,12.23,8.17661488,322.730989370401,24.604010629599,7.6236901444,14.5882,2.6407,-24.604010629599,292.2490975100365,6.0,2020/12/23,0.4,上交所,可转债,AA,4.95961,0.8556,私营
127076.SZ,中宠转2,2025/05/20,235.6,235.0,256.488,233.01,246.9,11.3,4.79626486,208,0.341917808219,3.432876712328767,0.2430133657351154,-20.0136,104.47422694355,142.42577305645,136.32622822220657,27.81,3.59582884,248.939230492629,-2.039230492629,-0.8191679908,56.015,8.0142,2.039230492629,238.27812636233912,6.0,2022/10/25,0.2,深交所,可转债,AA-,5.589339,0.0001,私营
123089.SZ,九洲转2,2025/05/20,146.0,146.0,154.354,144.834,152.699,6.699,4.58835616,151,1.034246575342,1.589041095890411,1.6372078402609054,-15.3767,112.94404487691,39.75495512309,35.198805892259486,5.5,18.18181818,154.181818181818,-1.482818181818,-0.9617334906,56.1747,2.178,1.482818181818,136.5116844804436,6.0,2020/12/21,0.4,深交所,可转债,AA-,1.730661,0.0001,私营
113654.SH,永02转债,2025/05/20,129.04,129.23,134.7,127.768,134.09,5.05,3.91351519,290,0.794520547945,3.208219178082192,0.7457677679170706,-4.1151,106.77671847689,27.31328152311,25.57980982438741,9.7,10.30927835,118.762886597938,15.327113402062,12.9056423611,34.5255,2.3653,-15.327113402062,111.22545091479113,6.0,2022/08/04,0.3,上交所,可转债,AA-,6.10424,0.1599,私营
123245.SZ,集智转债,2025/05/20,229.721,229.721,241.998,225.365,238.0,8.279,3.60393695,280,0.306849315068,5.235616438356164,0.1680672268907563,-12.3077,82.104603877742,155.895396122258,189.87412247234553,23.54,4.24808836,232.540356839422,5.459643160578,2.347826087,138.3514,5.6566,-5.459643160578,283.2245036900569,6.0,2024/08/14,0.4,深交所,可转债,A,1.543349,0.4714,私营
127104.SZ,姚记转债,2025/05/20,153.611,153.81,160.099,153.81,158.899,5.288,3.4424618,116,0.158904109589,4.684931506849315,0.3146652905304627,-5.8016,93.763524298366,65.135475701634,69.46781937757122,20.6,4.85436893,133.980582524272,24.918417475728,18.5985289855,20.3362,3.1883,-24.918417475728,142.89200787497154,6.0,2024/01/25,0.3,深交所,可转债,A+,5.827539,0.4454,中外合资
113561.SH,正裕转债,2025/05/20,139.739,139.8,144.587,139.417,144.334,4.595,3.28827314,141,0.965753424658,0.0821917808219178,0.8067285335706071,-36.3413,100.80238018207,43.53161981793,43.18511104529761,8.5,11.76470588,143.411764705882,0.922235294118,0.6430680886,22.5718,2.1789,-0.922235294118,142.27021668223568,6.0,2019/12/31,0.5,上交所,可转债,A+,1.37632,0.0001,私营
123161.SZ,强联转债,2025/05/20,147.35,146.876,153.243,145.508,152.17,4.82,3.27112318,222,0.608219178082,3.3945205479452056,0.6571597555365709,-7.7494,108.33200819048,43.83799180952,40.466333581151495,21.89,4.56829603,142.850616719963,9.319383280037,6.5238663256,17.4619,2.3284,-9.319383280037,131.8637207101238,6.0,2022/10/11,0.3,深交所,可转债,AA,7.249997,0.0001,私营
