代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额
113683.SH,伟24转债,2024/05/28,211.244,210.9,253.493,207.317,253.493,42.249,20.000094677245272,62,0.03397260274,5.832876712328767,0.0788976421439645,-12.8602,97.6579766,155.8350234,159.57224266307398,18.28,5.4704595185995615,116.2472647702407,137.24573522975928,118.06362541176472,12.7114,3.1366,-137.24573522975928,119.03509453854556,6.0,2024/03/28,0.2,上交所,可转债,null,null
113027.SH,华钰转债,2024/05/28,207.55,210.7,245.0,210.389,238.317,30.767,14.823897855938329,350,1.721095890411,1.046448087431694,0.7552965168242299,-51.8721,103.31987022,134.99712978,130.65940703617736,7.26,13.774104683195592,213.91184573002755,24.40515426997245,11.408977462974889,80.0941,4.2728,-24.40515426997245,207.03843827382184,6.0,2019/06/13,0.3,上交所,可转债,null,null
123089.SZ,九洲转2,2024/05/28,136.57,137.96,161.122,137.9,148.821,12.251,8.970491323130995,160,0.653424657534,2.5655737704918034,1.007922269034612,-8.4842,107.94651546,40.87448454,37.865496969326635,5.57,17.953321364452425,144.88330341113104,3.9376965888689406,2.717840148698885,49.2596,1.673,-3.9376965888689406,134.21767510857552,6.0,2020/12/21,0.4,深交所,可转债,null,null
123118.SZ,惠城转债,2024/05/28,457.0,457.914,505.55,457.502,496.4,39.4,8.62144420131291,327,1.071780821918,3.109289617486339,0.24174053182917,-37.0733,100.09196658,396.30803342,395.9438973588803,11.29,8.857395925597874,488.0425155004429,8.35748449955713,1.7124500907441016,130.7713,8.2313,-8.35748449955713,487.59409188984966,6.0,2021/07/07,0.5,深交所,可转债,null,null
123232.SZ,金现转债,2024/05/28,121.8,121.778,133.13,120.48,131.934,10.134,8.320197044334975,184,0.150410958904,5.5,0.2273864204829687,-1.6042,83.1571018,48.7768982,58.65632296482945,9.39,10.649627263045792,72.20447284345047,59.72952715654952,82.72275221238938,-50.1168,2.4568,-59.72952715654952,86.82899148783281,6.0,2023/11/27,0.3,深交所,可转债,null,null
127096.SZ,泰坦转债,2024/05/28,140.857,140.866,150.17,140.0,149.11,8.253,5.859133731372953,217,0.295890410959,5.40983606557377,0.3353229159680772,-3.8055,75.41679394,73.69320606,97.71458346350384,13.39,7.468259895444362,67.51306945481703,81.59693054518297,120.86094026548672,23.7829,1.4129,-81.59693054518297,89.51994102073472,6.0,2023/10/25,0.5,深交所,可转债,null,null
123153.SZ,英力转债,2024/05/28,130.603,128.2,145.0,122.9,136.2,5.597,4.285506458504016,313,0.512876712329,4.147540983606556,0.4405286343612334,-2.859,93.67678599,42.52321401,45.393545007553264,15.99,6.253908692933083,137.21075672295183,-1.0107567229518448,-0.7366453965360072,240.2035,3.4256,1.0107567229518448,146.47252814331088,6.0,2022/07/21,0.4,深交所,可转债,null,null
123145.SZ,药石转债,2024/05/28,113.57,117.8,119.22,116.8,118.4,4.83,4.252883684071498,39,0.106849315068,3.895890410958904,0.8445945945945945,-0.9164,103.86471276,14.53528724,13.994442244871616,34.2,2.9239766081871346,91.05263157894736,27.347368421052632,30.034682080924853,31.4111,2.2621,-27.347368421052632,87.66464486292136,6.0,2022/04/20,0.3,深交所,可转债,null,null
123227.SZ,雅创转债,2024/05/28,126.4,127.3,132.3,127.112,130.911,4.511,3.5688291139240502,222,0.181643835616,5.396174863387977,0.2291633247015147,-1.5055,84.27606712,46.63493288,55.33591501558432,53.34,1.8747656542932132,75.3843269591301,55.52667304086989,73.65811340462571,30.3756,3.1718,-55.52667304086989,89.44927016087614,6.0,2023/10/20,0.3,深交所,可转债,null,null
113679.SH,芯能转债,2024/05/28,108.086,108.21,111.8,107.949,111.508,3.422,3.165997446477805,216,0.176712328767,5.412568306010929,0.2690389927180112,1.4381,94.47500725,17.03299275,18.02909917215169,12.95,7.722007722007722,76.91119691119691,34.596803088803085,44.98279116465864,39.8917,2.5427,-34.596803088803085,81.40904049647152,6.0,2023/10/26,0.3,上交所,可转债,null,null
123240.SZ,楚天转债,2024/05/28,114.277,117.2,117.95,116.61,116.997,2.72,2.380181488838524,119,0.09698630137,5.6775956284153,0.2564168312008,-0.2925,98.64982121,18.34717879,18.59828894260598,10.0,10.0,78.1,38.897,49.80409731113957,-55.2213,0.987,-38.897,79.16892199302143,6.0,2024/01/31,0.3,深交所,可转债,null,null
123147.SZ,中辰转债,2024/05/28,119.222,119.4,124.5,118.719,122.0,2.778,2.3301068594722447,364,0.497260273973,4.008196721311475,0.4098360655737704,-0.4619,102.08096012,19.91903988,19.51298249603493,6.5,15.384615384615383,106.0,16.0,15.094339622641508,51.1803,2.1098,-16.0,103.83914872606314,6.0,2022/05/31,0.3,深交所,可转债,null,null
127081.SZ,中旗转债,2024/05/28,139.487,139.58,144.899,138.95,142.6,3.113,2.231749195265509,87,0.119178082192,4.764383561643836,0.3506311360448807,-4.297,85.95444973,56.64555027,65.90182410327205,30.17,3.3145508783559827,87.00696055684455,55.59303944315545,63.89493333333333,53.2514,2.0683,-55.59303944315545,101.22449835948073,6.0,2023/03/03,0.3,深交所,可转债,null,null
123185.SZ,能辉转债,2024/05/28,108.59,108.591,113.75,108.312,110.98,2.39,2.200939313012248,59,0.064657534247,4.841095890410959,0.3604253018561903,1.2525,86.87506709,24.10493291,27.74666393641803,32.8,3.048780487804878,72.71341463414633,38.26658536585366,52.62658280922432,89.6395,4.3471,-38.26658536585366,83.69882990572818,6.0,2023/03/31,0.2,深交所,可转债,null,null
118008.SH,海优转债,2024/05/28,95.496,95.27,97.9,95.27,97.565,2.069,2.166582893524336,341,0.372602739726,4.07103825136612,0.4099830881976118,5.3271,101.91334077,-4.34834077,-4.266704179400241,217.3,0.4601932811780947,16.143580303727564,81.42141969627244,504.35788198403645,-39.1099,1.4852,-81.42141969627244,15.840497604882476,6.0,2022/06/23,0.3,上交所,可转债,null,null
118036.SH,力合转债,2024/05/28,110.475,110.475,113.8,110.201,112.867,2.392,2.165195745643811,336,0.275342465753,5.084699453551913,0.2657995694046975,1.252,97.12397486,15.74302514,16.209205978948955,36.15,2.7662517289073305,66.74965421853389,46.11734578146611,69.09001450476585,31.1633,3.099,-46.11734578146611,68.72623810418655,6.0,2023/06/28,0.3,上交所,可转债,null,null
123013.SZ,横河转债,2024/05/28,318.319,316.068,331.98,315.804,325.0,6.681,2.0988379581489007,308,2.102739726027,0.1612021857923497,3.0769230769230766,-410.3781,109.0850606,215.9149394,197.93263918304132,8.8,11.363636363636363,97.95454545454544,227.04545454545453,231.78654292343387,58.9514,3.5226,-227.04545454545453,89.79648076076282,6.0,2018/07/26,0.5,深交所,可转债,null,null
110044.SH,广电转债,2024/05/28,132.104,131.6,135.767,130.7,134.812,2.708,2.0499000787258526,337,1.841095890411,0.081967213114754,,-242.6389,107.81772542,26.99427458,25.03695424369675,6.82,14.662756598240469,49.266862170087975,85.54513782991202,173.6362619047619,-6.4061,0.7893,-85.54513782991202,45.694584984213606,6.0,2018/06/27,0.4,上交所,可转债,null,null
123018.SZ,溢利转债,2024/05/28,273.5,273.7,281.5,271.287,278.888,5.388,1.9700182815356488,161,0.876712328767,0.5628415300546448,3.585668798944379,-107.5927,108.13914883,170.74885117,157.89735079053145,8.05,12.422360248447204,90.18633540372672,188.70166459627328,209.2353168044077,45.3128,1.3567,-188.70166459627328,83.39841433882931,6.0,2018/12/20,0.4,深交所,可转债,null,null
127079.SZ,华亚转债,2024/05/28,112.466,113.0,118.495,112.501,114.488,2.022,1.7978766916223567,165,0.269589041096,4.55191256830601,0.5240723918663964,1.2116,90.80419075,23.68380925,26.082286571118413,55.69,1.795654516071108,70.03052612677321,44.45747387322679,63.48299282051281,33.0035,2.9265,-44.45747387322679,77.12257060864036,6.0,2022/12/16,0.4,深交所,可转债,null,null
123044.SZ,红相转债,2024/05/28,125.371,125.6,129.529,125.532,127.601,2.23,1.778720756793836,78,0.641095890411,1.7890410958904108,2.3510787533013064,-2.9653,100.9025669,26.6984331,26.45961735191496,3.7,27.027027027027028,128.1081081081081,-0.5071081081081081,-0.39584388185654,-13.9713,1.8827,0.5071081081081081,126.9621894109694,6.0,2020/03/12,0.5,深交所,可转债,null,null
123166.SZ,蒙泰转债,2024/05/28,112.942,113.21,116.233,113.14,114.8,1.858,1.6450921712029185,209,0.341917808219,4.4316939890710385,0.5226480836236933,1.2414,91.87823219,22.92176781,24.94798524486064,25.75,3.883495145631068,82.60194174757281,32.19805825242718,38.979783732957216,-51.2286,2.4984,-32.19805825242718,89.90371253199099,6.0,2022/11/02,0.4,深交所,可转债,null,null
128072.SZ,翔鹭转债,2024/05/28,113.66,113.6,116.965,113.5,115.499,1.839,1.6179834594404363,283,1.545205479452,1.2295081967213115,1.73161672395432,-2.5065,104.66524561,10.83375439,10.350861288157065,15.14,6.605019815059445,40.75297225891678,74.74602774108321,183.41245705024312,-20.5458,2.3086,-74.74602774108321,38.936489396651375,6.0,2019/08/20,0.4,深交所,可转债,null,null
123038.SZ,联得转债,2024/05/28,134.901,135.8,138.88,134.938,137.0,2.099,1.5559558491041579,156,0.891780821918,1.5765027322404372,1.5328467153284673,-10.5696,105.06823399,31.93176601,30.39145591144051,23.96,4.173622704507513,101.54424040066776,35.45575959933222,34.916563912864774,23.6404,2.5816,-35.45575959933222,96.64599522090793,6.0,2019/12/25,0.5,深交所,可转债,null,null
128044.SZ,岭南转债,2024/05/28,72.631,73.44,77.252,72.825,73.69,1.059,1.4580551004392064,289,1.578082191781,0.2131147540983606,9.499253630071923,212.106,102.01683948,-28.32683948,-27.766827147741,1.94,51.54639175257732,68.55670103092784,5.133298969072165,7.487669172932329,-6.1941,1.1801,-5.133298969072165,67.20135752134148,6.0,2018/08/14,0.3,深交所,可转债,null,null
123234.SZ,中能转债,2024/05/28,114.38,114.2,116.1,113.713,116.0,1.62,1.4163315264906453,170,0.092602739726,5.538251366120218,,0.5772,81.987966,34.012034,41.484178300020275,6.4,15.625,85.46875,30.53125,35.72212065813528,61.6439,2.339,-30.53125,104.24548158689532,6.0,2023/12/11,0.2,深交所,可转债,null,null
128108.SZ,蓝帆转债,2024/05/28,95.799,96.1,97.518,95.853,97.124,1.325,1.3831042077683484,1,0.004931506849,2.0,1.544417445739467,6.3812,104.92893008,-7.80493008,-7.43830140462631,12.5,8.0,45.04,52.084,115.63943161634104,-14.3298,0.631,-52.084,42.92429167595682,6.0,2020/05/28,0.4,深交所,可转债,null,null
111017.SH,蓝天转债,2024/05/28,152.0,152.103,156.487,152.089,154.026,2.026,1.3328947368421051,288,0.235890410959,5.215846994535519,0.1947723111682443,-5.5258,100.71784076,53.30815924,52.928218911114,9.28,10.775862068965516,146.76724137931035,7.258758620689655,4.945762114537445,11.6396,2.3745,-7.258758620689655,145.72119524389052,6.0,2023/08/15,0.3,上交所,可转债,null,null
123197.SZ,光力转债,2024/05/28,119.415,119.415,122.65,119.161,120.995,1.58,1.323116861365825,21,0.034520547945,4.9452054794520555,0.4958882598454481,0.0008,88.5574892,32.4375108,36.62876069887492,21.25,4.705882352941177,83.29411764705881,37.70088235294118,45.26235875706215,104.185,4.3953,-37.70088235294118,94.05654835012962,6.0,2023/05/08,0.4,深交所,可转债,null,null
123115.SZ,捷捷转债,2024/05/28,110.0,110.118,117.0,109.995,111.44,1.44,1.309090909090909,356,0.972602739726,3.030054644808743,0.8973438621679827,1.8046,104.7468985,6.6931015,6.389784896590518,28.78,3.4746351633078527,60.945100764419735,50.494899235580256,82.85309007981756,35.0448,3.3468,-50.494899235580256,58.18320316607726,6.0,2021/06/08,0.4,深交所,可转债,null,null
123049.SZ,维尔转债,2024/05/28,96.075,96.08,97.47,96.001,97.27,1.195,1.2438199323445225,46,0.315068493151,1.8767123287671232,2.5701655186594015,12.2396,107.81111024,-10.54111024,-9.777387707569536,5.15,19.417475728155335,63.106796116504846,34.16320388349514,54.13553846153847,17.1849,0.7127,-34.16320388349514,58.534594417979584,6.0,2020/04/13,0.5,深交所,可转债,null,null
113051.SH,节能转债,2024/05/28,119.345,119.32,121.0,119.089,120.762,1.417,1.1873140894046672,343,0.562191780822,3.0655737704918034,0.4968450340338848,-1.9256,106.10655942,14.65544058,13.81200244368455,3.52,28.409090909090907,95.17045454545455,25.591545454545454,26.890220895522386,12.5385,1.2835,-25.591545454545454,89.69328104282674,6.0,2021/06/21,0.2,上交所,可转债,null,null
123226.SZ,中富转债,2024/05/28,121.59,121.69,123.872,121.054,123.0,1.41,1.159634838391315,226,0.123287671233,5.385245901639344,0.1626016260162601,-0.5114,94.05737324,28.94262676,30.771247126101436,27.93,3.5803795202291444,107.76942355889724,15.230576441102755,14.132558139534884,116.0204,4.6503,-15.230576441102755,114.57838960047197,6.0,2023/10/16,0.2,深交所,可转债,null,null
123114.SZ,三角转债,2024/05/28,127.38,127.92,130.235,126.9,128.849,1.469,1.1532422672319045,4,0.016438356164,2.991780821917808,1.164153388850515,-2.6627,106.14614809,22.70285191,21.388295589163096,31.72,3.152585119798234,101.00882723833544,27.840172761664565,27.562118601747812,21.0459,3.1656,-27.840172761664565,95.16014387322969,6.0,2021/05/25,0.4,深交所,可转债,null,null
123141.SZ,宏丰转债,2024/05/28,114.556,114.758,117.98,114.379,115.859,1.303,1.1374349663046894,75,0.205479452055,3.7972602739726025,0.8631181004496845,1.0621,87.99409694,27.86490306,31.666786783436248,5.37,18.621973929236496,90.68901303538176,25.169986964618246,27.75417453798768,-41.4599,2.5869,-25.169986964618246,103.06261009442407,6.0,2022/03/15,0.5,深交所,可转债,null,null
123213.SZ,天源转债,2024/05/28,120.5,120.621,122.5,120.291,121.78,1.28,1.0622406639004147,306,0.250684931507,5.166666666666666,0.2463458696009196,-0.7366,94.21286385,27.56713615,29.260479963639277,10.3,9.70873786407767,104.66019417475728,17.119805825242718,16.35751391465677,42.5218,1.9032,-17.119805825242718,111.08906989749391,6.0,2023/07/28,0.3,深交所,可转债,null,null
113066.SH,平煤转债,2024/05/28,166.463,166.5,170.354,166.077,168.134,1.671,1.0038266761983143,74,0.081095890411,4.8,0.2379054801527353,-8.3959,99.23432119,68.89967881,69.43129955822495,8.08,12.376237623762377,166.08910891089107,2.0448910891089107,1.2312011922503725,11.2198,1.3069,-2.0448910891089107,167.37063036173433,6.0,2023/03/16,0.2,上交所,可转债,null,null
118038.SH,金宏转债,2024/05/28,112.157,112.134,114.034,111.642,113.272,1.115,0.9941421400358426,317,0.259726027397,5.136612021857923,0.2648492125150081,1.1679,96.92404923,16.34795077,16.866764131166708,27.12,3.687315634218289,66.00294985250737,47.269050147492635,71.61657206703912,28.5277,2.8293,-47.269050147492635,68.09759845658418,6.0,2023/07/17,0.3,上交所,可转债,null,null
113662.SH,豪能转债,2024/05/28,122.915,122.966,126.495,122.854,124.105,1.19,0.9681487206606192,186,0.202739726027,4.494535519125683,0.3223077232988195,-1.1919,97.97161386,26.13338614,26.674446924334863,12.61,7.930214115781126,99.92069785884217,24.184302141157808,24.20349603174603,15.5165,2.212,-24.184302141157808,101.98943747280452,6.0,2022/11/25,0.3,上交所,可转债,null,null
113039.SH,嘉泽转债,2024/05/28,128.898,128.898,131.147,128.503,130.124,1.226,0.95113966081708,279,1.142465753425,2.240437158469945,1.1527466109249638,-6.8574,105.80261209,24.32138791,22.98751177268784,3.28,30.48780487804878,112.5,17.624,15.665777777777777,11.3934,1.344,-17.624,106.330078036545,6.0,2020/08/24,0.3,上交所,可转债,null,null
123012.SZ,万顺转债,2024/05/28,118.397,118.396,121.716,117.419,119.5,1.103,0.9316114428575047,314,1.715068493151,0.1448087431693989,5.02092050209205,-78.0136,105.55696815,13.94303185,13.209011299174946,5.92,16.89189189189189,86.82432432432432,32.67567567567568,37.63424124513618,-66.8505,0.8626,-32.67567567567568,82.25352228849927,6.0,2018/07/20,0.4,深交所,可转债,null,null
127027.SZ,能化转债,2024/05/28,128.107,128.0,129.443,128.0,129.299,1.192,0.9304721834091813,171,0.698630136986,2.53551912568306,1.16010177959613,-5.1567,107.00646658,22.29253342,20.83288434099793,3.1,32.25806451612903,116.77419354838707,12.524806451612903,10.725662983425414,9.0278,1.1763,-12.524806451612903,109.1281651292397,6.0,2020/12/10,0.4,深交所,可转债,null,null
123090.SZ,三诺转债,2024/05/28,118.951,118.95,120.246,118.512,120.0,1.049,0.8818757303427461,160,0.653424657534,2.5655737704918034,1.25,-1.5702,108.65154232,11.34845768,10.44481968472806,34.81,2.8727377190462513,77.90864694053434,42.091353059465675,54.02654867256637,47.2675,5.1219,-42.091353059465675,71.70505386023711,6.0,2020/12/21,0.3,深交所,可转债,null,null
