代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率
128041.SZ,盛路转债,2024/05/21,244.0,245.5,281.699,239.688,270.5,26.5,10.86065573770492,310,1.693150684932,0.1557377049180327,,-380.9903,109.0907122,161.4092878,147.9587808576063,6.75,14.814814814814817,95.4074074074074,175.0925925925926,183.52096273291923,42.8105,1.8217,-175.0925925925926,87.45694796867171,6.0,2018/07/17,0.5,深交所,可转债,,,0.0
123153.SZ,英力转债,2024/05/21,108.24,108.8,119.8,108.8,116.251,8.011,7.401145602365114,306,0.501369863014,4.166666666666666,0.5161245924766238,1.0102,93.24632529,23.00467471,24.6708646570838,19.24,5.197505197505198,82.43243243243244,33.81856756756757,41.02580327868853,144.6987,2.0636,-33.81856756756757,88.40287504742315,6.0,2022/07/21,0.4,深交所,可转债,,,0.3983
123012.SZ,万顺转债,2024/05/21,120.542,122.3,139.8,121.905,128.71,8.168,6.77606145575816,307,1.676712328767,0.1639344262295081,4.66164245202393,-107.6304,105.46779102,23.24220898,22.03725777815196,5.92,16.89189189189189,94.5945945945946,34.115405405405404,36.064857142857136,-72.8332,0.9398,-34.115405405405404,89.69050520519247,6.0,2018/07/20,0.4,深交所,可转债,,,1.6705
123106.SZ,正丹转债,2024/05/21,341.6,344.999,386.391,344.98,364.0,22.4,6.557377049180328,59,0.242465753425,0.0464480874316939,0.084675598374228,-1555.3894,100.12515038,263.87484962,263.5450220234665,7.4,13.513513513513512,363.6486486486487,0.3513513513513514,0.0966183574879227,57.9746,8.9407,-0.3513513513513514,363.1941098400462,6.0,2021/03/24,0.4,深交所,可转债,,,0.0001
123031.SZ,晶瑞转债,2024/05/21,324.0,358.0,375.998,326.057,340.5,16.5,5.092592592592593,267,1.311780821918,1.2732240437158469,0.5286343612334801,-58.3163,104.92335103,235.57664897,224.5226126095069,3.86,25.906735751295336,184.4559585492228,156.0440414507772,84.59691011235955,-209.0283,2.9198,-156.0440414507772,175.80067424312688,6.0,2019/08/29,0.4,深交所,可转债,,,0.0
117205.SZ,23希望E1,2024/05/21,100.4055,105.237,105.24,105.237,105.24,4.8345,4.814975275258826,61,0.250684931507,1.8356164383561644,1.4253135689851768,3.0875,107.2372187,-1.9972187,-1.8624305294482613,14.45,6.920415224913495,73.35640138408304,31.88359861591696,43.46396226415094,-6.2274,2.4753,-31.88359861591696,68.40572916134671,3.0,2023/03/22,1.5,深交所,可交换债券(私募),,,0.0
123044.SZ,红相转债,2024/05/21,127.971,127.587,135.049,127.587,133.2,5.229,4.086082002953794,71,0.583561643836,1.808219178082192,2.252252252252252,-5.242,100.63144109,32.56855891,32.3641980649688,3.7,27.027027027027028,132.16216216216216,1.037837837837838,0.7852760736196318,-14.4134,1.9423,-1.037837837837838,131.33287244089308,6.0,2020/03/12,0.5,深交所,可转债,,,0.0001
118046.SH,诺泰转债,2024/05/21,142.435,141.815,149.68,141.815,147.537,5.102,3.581984764980517,159,0.086575342466,5.5683060109289615,0.1355592156543782,-3.7085,81.06100637,66.47599363,82.00736285776266,42.73,2.340276152586005,140.32295810905686,7.214041890943132,5.141027518345564,48.18,6.0604,-7.214041890943132,173.1078411098893,6.0,2023/12/15,0.2,上交所,可转债,,,0.327
117208.SZ,23焦煤EB,2024/05/21,106.5,110.1,110.1,109.9,110.0,3.5,3.286384976525821,300,0.008191780822,2.183060109289617,0.009090909090909,-2.313,99.64614983,10.35385017,10.390617387288971,10.62,9.416195856873824,106.87382297551788,3.126177024482109,2.9251101321585904,16.9531,1.6588,-3.126177024482109,107.25333909824772,3.0,2023/07/25,0.01,深交所,可交换债券(私募),,,0.0587
123085.SZ,万顺转2,2024/05/21,110.0,109.998,118.0,109.998,113.607,3.607,3.279090909090909,163,0.665753424658,2.557377049180328,1.3203411761599195,-0.8126,100.86679697,12.74020303,12.63072032889992,6.2,16.129032258064516,90.32258064516128,23.284419354838708,25.779178571428567,-72.8332,0.9398,-23.284419354838708,89.54639520478202,6.0,2020/12/11,0.4,深交所,可转债,,,0.2622
