代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率
123061.SZ,航新转债,2024/10/23,126.57,126.57,151.884,126.4,151.884,25.314,20.0,94,0.643835616438,1.7452054794520548,1.6459929946538148,-12.5519,106.23558126853,45.64841873146999,42.969048774802864,14.82,6.747638326585696,131.8488529014845,20.03514709851552,15.195541453428865,145.5249,6.2853,-20.03514709851552,124.1098804441162,6.0,2020/07/22,0.5,深交所,可转债,A,2.493111,0.4173
123050.SZ,聚飞转债,2024/10/23,147.792,146.498,172.773,143.033,167.668,19.876,13.448630507740608,193,1.321917808219,1.473972602739726,1.491041820740988,-20.3061,115.09729182885,52.57070817115,45.67501748809416,4.77,20.964360587002098,173.16561844863733,-5.497618448637317,-3.1747748184019366,37.1919,3.6025,5.497618448637317,150.45151427727342,6.0,2020/04/14,0.4,深交所,可转债,AA-,1.81453,0.0001
113686.SH,泰瑞转债,2024/10/23,222.01,222.001,250.68,220.001,246.887,24.877,11.205351110310346,114,0.093698630137,5.69041095890411,0.121513080883157,-12.0292,97.337941074476,149.54905892552398,153.63902017518512,8.29,12.062726176115802,99.51749095295536,147.36950904704463,148.08402787878788,27.3564,1.7463,-147.36950904704463,102.2391575724945,6.0,2024/07/02,0.3,上交所,可转债,AA-,3.378,0.0
113546.SH,迪贝转债,2024/10/23,135.284,135.72,151.4,135.5,150.076,14.792,10.934035066970225,1,0.008219178082,1.0,1.3326581198859244,-23.3722,109.27559780879,40.80040219121,37.33715761738717,11.93,8.382229673093041,121.45850796311818,28.617492036881806,23.561537612146306,25.5103,2.3799,-28.617492036881806,111.14879295892372,6.0,2019/10/23,0.5,上交所,可转债,A+,2.0119,0.6478
117222.SZ,24广州数字科技EB,2024/10/23,102.6,111.552,111.552,111.542,111.547,8.947,8.72027290448343,181,0.148767123288,2.506849315068493,0.2689449290433628,-2.11,99.560153091017,11.986846908982995,12.0398036130225,14.32,6.983240223463687,84.21787709497207,27.329122905027933,32.4505008291874,30.0527,2.4569,-27.329122905027933,84.58994334609031,3.0,2024/04/24,0.3,深交所,可交换债券(私募),,30.0,0.3081
118045.SH,盟升转债,2024/10/23,149.184,148.75,172.88,147.796,156.664,7.48,5.013942513942514,42,0.04602739726,4.887671232876712,0.2553234948679977,-5.9916,87.748333441871,68.91566655812899,78.53786374618986,21.1,4.739336492890995,161.27962085308056,-4.615620853080569,-2.8618748163385246,-63.4075,3.3499,4.615620853080569,183.79793043012089,6.0,2023/09/12,0.2,上交所,可转债,A+,2.32805,0.14
118023.SH,广大转债,2024/10/23,81.271,81.771,85.582,80.601,85.273,4.002,4.924265728242546,11,0.030136986301,3.9726027397260273,1.1727041384729047,8.9891,103.63559951367,-18.36259951367001,-17.718428416335737,33.01,3.029385034837928,41.04816722205392,44.22483277794608,107.73887306273063,33.9291,0.8758,-44.22483277794608,39.60817268842016,6.0,2022/10/13,0.3,上交所,可转债,AA-,15.49952,0.0
118008.SH,海优转债,2024/10/23,82.444,82.999,93.485,82.08,86.487,4.043,4.903934792101305,123,0.269589041096,3.6657534246575345,0.9249945078451096,9.4377,97.577782579111,-11.090782579111009,-11.366094090239422,109.82,0.9105809506465125,37.75268621380441,48.73431378619559,129.08833429811867,-12.6022,1.875,-48.73431378619559,38.68983821516593,6.0,2022/06/23,0.3,上交所,可转债,A+,6.93952,0.0
118020.SH,芳源转债,2024/10/23,79.066,79.6,84.366,79.111,82.902,3.836,4.851642931222017,31,0.101917808219,3.9178082191780814,1.4474922197293187,11.8896,87.752785324298,-4.850785324298002,-5.527785022858825,18.63,5.367686527106817,26.1406333870102,56.7613666129898,217.13845174537988,-18.7671,3.2885,-56.7613666129898,29.78895004916964,6.0,2022/09/23,0.5,上交所,可转债,A-,6.41811,0.0
127099.SZ,盛航转债,2024/10/23,127.24,126.999,133.998,126.96,133.4,6.16,4.84124489154354,323,0.264657534247,5.120218579234972,0.224887556221889,-2.0033,99.698320566395,33.70167943360501,33.80365811795302,15.6,6.41025641025641,125.57692307692308,7.823076923076923,6.229709035222052,17.1164,1.9515,-7.823076923076923,125.9569091670847,6.0,2023/12/06,0.3,深交所,可转债,AA-,7.399749,0.0924
127055.SZ,精装转债,2024/10/23,127.999,128.562,137.888,127.891,134.0,6.001,4.688317877483418,245,0.668493150685,3.333333333333333,0.746268656716418,-3.4429,106.62981605167,27.370183948329995,25.6684152348787,18.5,5.405405405405404,134.97297297297297,-0.972972972972973,-0.7208650380456548,-49.7827,3.0022,0.972972972972973,126.58089263472856,6.0,2022/02/22,0.3,深交所,可转债,AA-,4.965978,0.0001
123067.SZ,斯莱转债,2024/10/23,126.21,126.21,134.722,125.6,132.12,5.91,4.682671737580224,37,0.253424657534,1.9013698630136984,1.8922191946715108,-6.045,110.51616972127,21.60383027873,19.54811710649805,9.56,10.460251046025103,120.5020920502092,11.617907949790796,9.64125,205.3964,3.367,-11.617907949790796,109.0357115652166,6.0,2020/09/17,0.4,深交所,可转债,AA-,2.390162,0.0001
123127.SZ,耐普转债,2024/10/23,171.538,175.0,196.308,175.0,179.077,7.539,4.394944560388952,361,1.084931506849,3.0163934426229506,0.6142609045271028,-13.901,98.035166968805,81.041833031195,82.66608354630812,17.24,5.800464037122969,183.584686774942,-4.5076867749419955,-2.4553718799368087,28.7429,3.4585,4.5076867749419955,187.264113941234,6.0,2021/10/29,0.4,深交所,可转债,A+,2.326864,0.0001
127061.SZ,美锦转债,2024/10/23,95.002,95.479,99.484,95.064,99.0,3.998,4.208332456158818,187,0.409863013699,3.4904109589041092,0.808080808080808,6.5267,108.88872738062,-9.888727380619995,-9.081497799174382,5.26,19.011406844106464,96.95817490494296,2.0418250950570345,2.1058823529411765,-16.2031,1.6136,-2.0418250950570345,89.04335392407164,6.0,2022/04/20,0.3,深交所,可转债,AA-,33.406955,0.0001
