代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率,发行人企业性质
123099.SZ,Z普转退,2025/03/12,83.224,97.0,99.869,94.104,97.39,14.166,17.02153225,32,0.175342465753,1.915068493150685,2.0535989321285557,11.6305,114.83047424523,-17.44047424523,-15.188018999193908,3.0,33.33333333,105.0,-7.61,-7.2476190476,-17.9903,0.6294,7.61,91.43914164785542,6.0,2021/02/09,0.4,深交所,可转债,B+,2.024739,0.0001,私营
123235.SZ,亿田转债,2025/03/12,162.169,164.169,182.27,164.169,181.99,19.821,12.22243462,82,0.112328767123,4.778082191780822,0.2747403703500192,-8.4745,101.03209941639,80.95790058361,80.13087033849813,28.61,3.49528137,170.954211814051,11.035788185949,6.4554058475,-460.2393,5.2129,-11.035788185949,169.20781890267028,6.0,2023/12/21,0.3,深交所,可转债,AA-,5.016324,0.2233,私营
111011.SH,冠盛转债,2025/03/12,233.837,234.77,258.904,234.037,257.635,23.798,10.1771747,69,0.151232876712,0.3808219178082191,0.1761013178089118,-18.5043,99.38235036443,158.25264963557,159.23617126709684,17.01,5.87889477,245.737801293357,11.897198706643,4.8414198565,25.8759,3.4348,-11.897198706643,247.26503286775676,6.0,2023/01/03,0.3,上交所,可转债,AA-,3.4275,0.2992,中外合资
123227.SZ,雅创转债,2025/03/12,148.6,148.006,168.5,148.006,163.5,14.9,10.0269179,144,0.197260273973,0.0547945205479452,0.136567383017052,-706.2994,99.957552070752,63.542447929248,63.5694318366974,34.81,2.87273772,165.096236713588,-1.596236713588,-0.9668522707,61.2519,5.298,1.596236713588,165.16634640745255,6.0,2023/10/20,0.3,深交所,可转债,A+,1.70008,0.0001,私营
113678.SH,中贝转债,2025/03/12,149.356,151.0,164.0,149.422,163.268,13.912,9.3146576,145,0.158904109589,4.605479452054794,0.2449959575667001,-6.4323,93.417525929876,69.850474070124,74.77234424144069,21.06,4.74833808,143.06742640076,20.20057359924,14.1196176568,67.8778,6.7119,-20.20057359924,153.1483787187361,6.0,2023/10/19,0.2,上交所,可转债,A+,5.11222,0.4163,私营
123186.SZ,志特转债,2025/03/12,147.792,150.7,166.061,147.722,161.4,13.608,9.20753491,347,0.475342465753,0.4082191780821917,0.3097893432465923,-7.0778,98.867119458452,62.532880541548,63.24942092383593,12.5,8.0,160.64,0.76,0.4731075697,86.2431,3.3911,-0.76,162.4807123742565,6.0,2023/03/31,0.3,深交所,可转债,A+,5.096258,0.0001,私营
123231.SZ,信测转债,2025/03/12,168.2,169.422,188.0,165.826,183.563,15.363,9.13376932,124,0.169863013699,4.663013698630137,0.2723860472971133,-8.848,101.47896642903,82.08403357097,80.88773118159024,25.76,3.88198758,191.304347826087,-7.741347826087,-4.0466136364,41.6498,7.193,7.741347826087,188.5162556911505,6.0,2023/11/09,0.2,深交所,可转债,AA-,3.248376,0.0001,私营
118016.SH,京源转债,2025/03/12,140.805,145.0,153.95,143.05,151.164,10.359,7.35698306,220,0.602739726027,3.4,0.6615331692731073,-6.5889,94.066445361768,57.097554638232,60.699173247848165,9.79,10.2145046,154.64759959142,-3.48359959142,-2.2526050198,-177.7491,3.0705,3.48359959142,164.4025124970592,6.0,2022/08/05,0.5,上交所,可转债,A,3.08835,0.0001,私营
127091.SZ,科数转债,2025/03/12,194.0,201.988,220.96,194.5,205.6,11.6,5.97938144,202,0.276712328767,0.0958904109589041,0.15724108523,-533.9911,100.11589743287,105.48410256713,105.3619907246594,27.65,3.61663653,209.475587703436,-3.875587703436,-1.8501381215,84.2234,6.0969,3.875587703436,209.2330919211848,6.0,2023/08/23,0.3,深交所,可转债,AA,2.951627,0.0001,私营
123245.SZ,集智转债,2025/03/12,197.0,196.0,214.178,196.0,208.0,11.0,5.58375635,211,0.231232876712,5.424657534246576,0.1923076923076923,-9.6505,80.013665681421,127.986334318579,159.9555941208392,23.54,4.24808836,200.934579439252,7.065420560748,3.5162790698,208.5547,5.5383,-7.065420560748,251.12532681515248,6.0,2024/08/14,0.4,深交所,可转债,A,1.588429,0.4706,私营
