代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率,发行人企业性质
404002.NQ,搜特退债,2024/05/10,1.374,0.0,0.0,0.0,22.981,21.607,1572.5618631732168,60,,,7.832557329968234,,109.3470266,-86.3660266,-78.98342486799729,1.1,90.9090909090909,,,,,,,,6.0,2020/03/11,0.4,代办转让,可转债,,,0.0,私营
404001.NQ,蓝盾退债,2024/05/10,6.527,0.0,0.0,0.0,21.028,14.501,222.16944997701853,272,,0.2595628415300546,38.04451207913258,,90.17238137,-69.14438137,-76.68022106046327,0.09,1111.1111111111113,,,,,,,,6.0,2018/08/13,0.4,代办转让,可转债,,,0.0001,私营
117194.SZ,21湘金EB,2024/05/10,106.5,125.1,125.1,125.0,125.05,18.55,17.417840375586852,146,0.357534246575,0.6038251366120218,5.5177928828468605,-24.4407,105.57503335,19.47496665,18.44656452575964,13.64,7.331378299120233,128.44574780058653,-3.3957478005865105,-2.6437214611872144,32.4191,3.311,3.3957478005865105,121.66299524127643,3.0,2021/12/15,0.1,深交所,可交换债券(私募),,,0.0001,地方国有企业
127096.SZ,泰坦转债,2024/05/10,147.0,148.588,172.849,148.588,168.0,21.0,14.285714285714285,199,0.271232876712,5.459016393442624,0.2976190476190476,-5.8901,73.7096341,94.2903659,127.92135933286364,13.81,7.24112961622013,71.83200579290369,96.1679942070963,133.8790322580645,26.098,1.5504,-96.1679942070963,97.45266907098063,6.0,2023/10/25,0.5,深交所,可转债,,,0.0,私营
117206.SZ,23绿能EB,2024/05/10,106.0015,117.361,117.361,117.351,117.356,11.3545,10.711640873006514,14,0.038356164384,1.964383561643836,0.8521081154776918,-5.5472,100.53789314,16.81810686,16.72812741021002,26.55,3.766478342749529,81.24293785310735,36.11306214689266,44.45070931849792,31.0743,4.4118,-36.11306214689266,80.80827568166339,3.0,2023/04/25,1.0,深交所,可交换债券(私募),,,0.498,私营
117197.SZ,22盛EB01,2024/05/10,100.04,108.64,108.64,108.64,108.64,8.6,8.59656137544982,291,0.317808219178,1.2076502732240435,0.3681885125184094,2.6169,109.59680264,-0.95680264,-0.873020578112004,67.96,1.4714537963507943,27.3984696880518,81.2415303119482,296.5184962406015,-29.8453,1.3535,-81.2415303119482,24.999333035334427,3.0,2022/07/22,0.2,深交所,可交换债券(私募),,,0.0,私营
123056.SZ,雪榕转债,2024/05/10,114.127,114.8,134.998,114.8,123.0,8.873,7.77467207584533,322,1.319178082192,2.1229508196721314,1.2195121951219512,-1.5789,109.67181697,13.32818303,12.152787651585854,4.2,23.809523809523807,114.04761904761904,8.952380952380953,7.849686847599166,113.9793,1.6041,-8.952380952380953,103.98990570094776,6.0,2020/06/24,0.4,深交所,可转债,,,0.0001,私营
113576.SH,起步转债,2024/05/10,112.121,114.0,124.179,113.59,120.652,8.531,7.6087441246510465,31,0.212328767123,1.917808219178082,2.072075058846932,-1.386,112.68422985,7.96777015,7.070883086840389,2.6,38.46153846153847,67.6923076923077,52.95969230769232,78.23590909090909,-65.0744,37.119,-52.95969230769232,60.07256541790856,6.0,2020/04/10,0.5,上交所,可转债,,,0.4432,私营
123089.SZ,九洲转2,2024/05/10,116.561,116.82,133.5,116.82,124.5,7.939,6.811025986393391,142,0.579452054795,2.614754098360656,1.2048192771084336,-1.7433,107.40747802,17.09252198,15.913716898573163,5.57,17.953321364452425,106.46319569120288,18.036804308797127,16.941821247892076,36.1961,1.2293,-18.036804308797127,99.12084116841352,6.0,2020/12/21,0.4,深交所,可转债,,,0.1699,私营
118019.SH,金盘转债,2024/05/10,147.472,148.45,159.873,148.45,157.128,9.656,6.547683628078551,238,0.324657534247,4.352459016393443,0.3182119036708925,-7.0801,102.51184813,54.61615187,53.27789213275985,34.37,2.909514111143439,158.56851905731742,-1.440519057317428,-0.9084521100917432,63.7949,7.4108,1.440519057317428,154.6831141471856,6.0,2022/09/16,0.3,上交所,可转债,,,0.0001,中外合资
127097.SZ,三羊转债,2024/05/10,133.196,133.196,142.19,129.18,140.078,6.882,5.166821826481276,198,0.161917808219,5.461748633879781,0.2141663930096089,-3.0397,80.95131749,59.12668251,73.03980261631193,37.65,2.6560424966799467,75.37848605577689,64.69951394422311,85.83286469344608,89.9376,2.7879,-64.69951394422311,93.11582367401056,6.0,2023/10/26,0.3,深交所,可转债,,,1.0486,私营
113598.SH,法兰转债,2024/05/10,130.249,129.65,137.48,129.5,136.151,5.902,4.531320777894648,285,1.167123287671,2.2240437158469946,1.1017179455163753,-5.9896,109.18795703,26.96304297,24.69415465168173,7.68,13.020833333333332,114.97395833333331,21.177041666666664,18.41898980747452,31.98,2.0997,-21.177041666666664,105.29912039818052,6.0,2020/07/31,0.4,上交所,可转债,,,0.2571,私营
127081.SZ,中旗转债,2024/05/10,146.05,146.1,156.6,140.26,151.172,5.122,3.5070181444710715,69,0.094520547945,4.813698630136986,0.3307490805175561,-5.4262,84.91193441,66.26006559,78.03386655880567,30.17,3.3145508783559827,90.05634736493205,61.115652635067946,67.8637924181082,55.1177,2.1408,-61.115652635067946,106.05852756821211,6.0,2023/03/03,0.3,深交所,可转债,,,1.0188,私营
113039.SH,嘉泽转债,2024/05/10,127.832,127.95,133.88,126.9,132.226,4.394,3.437323987733901,261,1.068493150685,2.289617486338797,1.1344213694734773,-7.3744,105.32657495,26.89942505,25.539067479189875,3.28,30.48780487804878,114.6341463414634,17.591853658536586,15.346085106382978,11.6095,1.3695,-17.591853658536586,108.83686894393162,6.0,2020/08/24,0.3,上交所,可转债,,,0.2576,私营
123118.SZ,惠城转债,2024/05/10,368.8,368.9,391.281,368.899,381.0,12.2,3.3080260303687634,309,1.012602739726,3.158469945355191,0.3149606299212598,-31.0071,99.34290101,281.65709899,283.52010674788727,15.93,6.277463904582548,376.5850596359071,4.414940364092907,1.1723620603433904,101.8492,6.4108,-4.414940364092907,379.07596396646346,6.0,2021/07/07,0.5,深交所,可转债,,,0.0001,私营
