代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额
404001.NQ,蓝盾退债,2024/06/07,30.702,0.0,0.0,0.0,69.545,38.843,126.51618787049703,300,,0.1830601092896174,11.503343159105617,,95.09687254,-25.55187254,-26.86930900829812,0.09,1111.1111111111113,,,,,,,,6.0,2018/08/13,0.4,代办转让,可转债,null,null
404003.NQ,鸿达退债,2024/06/07,12.956,0.0,0.0,0.0,27.935,14.979,115.6143871565298,175,,1.5245901639344261,10.739216037229282,,49.34607395,-21.41107395,-43.3896199557736,3.91,25.57544757033248,,,,,,,,6.0,2019/12/13,0.4,代办转让,可转债,null,null
123013.SZ,横河转债,2024/06/07,331.702,333.988,374.864,333.988,374.864,43.162,13.012282108639681,318,2.171232876712,0.133879781420765,2.667634128643988,-527.7573,109.25989064,265.60410936,243.09388175679032,8.8,11.363636363636363,90.79545454545455,284.0685454545454,312.86648310387983,54.6429,3.2652,-284.0685454545454,83.10044428345269,6.0,2018/07/26,0.5,深交所,可转债,null,null
113537.SH,文灿转债,2024/06/07,189.998,190.462,205.0,189.8,203.741,13.743,7.233234034042463,364,2.486301369863,1.0081967213114753,1.2270480659268383,-42.5908,113.99373236,89.74726764,78.73000188867576,18.98,5.268703898840885,155.32139093782928,48.419609062170714,31.173818860244236,31.3579,2.4126,-48.419609062170714,136.2543253231798,6.0,2019/06/06,0.5,上交所,可转债,null,null
117206.SZ,23绿能EB,2024/06/07,100.0,107.1,107.1,107.0,107.0,7.0,7.0,42,0.115068493151,1.8876712328767125,0.9345794392523364,-1.0562,100.96086147,6.03913853,5.98166303463496,26.55,3.766478342749529,88.54990583804143,18.450094161958567,20.83581454700128,33.8691,4.8086,-18.450094161958567,87.70716151659778,3.0,2023/04/25,1.0,深交所,可交换债券(私募),null,null
128044.SZ,岭南转债,2024/06/07,61.598,66.2,70.796,64.46,65.78,4.182,6.789181466930745,299,1.632876712329,0.1857923497267759,10.641532380662817,337.277,102.66387355,-36.88387355,-35.92682827424838,1.94,51.54639175257732,55.15463917525773,10.625360824742268,19.26467289719626,-4.9832,0.9494,-10.625360824742268,53.723512729525034,6.0,2018/08/14,0.3,深交所,可转债,null,null
110092.SH,三房转债,2024/06/07,63.658,66.3,68.97,65.348,67.868,4.21,6.613465707373779,154,0.209589041096,4.581967213114754,0.736724229386456,12.4402,95.76721168,-27.89921168,-29.13232116773268,3.02,33.11258278145696,50.662251655629134,17.20574834437086,33.96167320261438,-47.443,0.9515,-17.20574834437086,52.901458408242895,6.0,2023/01/06,0.3,上交所,可转债,null,null
117208.SZ,23焦煤EB,2024/06/07,106.71,109.5,114.8,109.5,112.15,5.44,5.097928966357417,317,0.008657534247,2.1366120218579234,0.0089166295140436,-3.2435,99.93917947,12.21082053,12.218251735462243,10.62,9.416195856873824,104.51977401129945,7.630225988700565,7.30027027027027,16.5797,1.6222,-7.630225988700565,104.5833821786324,3.0,2023/07/25,0.01,深交所,可交换债券(私募),null,null
113609.SH,永安转债,2024/06/07,106.122,106.114,111.868,105.55,111.059,4.937,4.6521927592770576,197,0.805479452055,2.46448087431694,1.3506334470866836,2.7145,108.27418094,2.78481906,2.572006581645909,14.77,6.770480704129993,72.98578199052132,38.07321800947867,52.165253246753245,-119.595,0.8366,-38.07321800947867,67.40829748780672,6.0,2020/11/24,0.4,上交所,可转债,null,null
123201.SZ,纽泰转债,2024/06/07,126.755,126.8,133.046,126.513,132.496,5.741,4.529209893100864,347,0.47397260274,5.054644808743169,0.3773698828643883,-1.7389,79.52236394,52.97363606,66.61476525014882,21.25,4.705882352941177,112.89411764705882,19.601882352941175,17.36306794497707,29.4751,3.0475,-19.601882352941175,141.96524355367248,6.0,2023/06/27,0.5,深交所,可转债,null,null
