代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率,发行人企业性质
404004.NQ,汇车退债,2025/04/16,41.815,0.0,0.0,0.0,50.259,8.444,20.19371039,224,1.188493150685,1.3397260273972602,3.5814480988479676,83.4444,102.15054608513,-51.89154608513,-50.79908828082498,0.24,416.66666667,,,,,,,,6.0,2020/08/18,0.2,代办转让,可转债,A,25.404081,0.0001,私营
127108.SZ,太能转债,2025/04/16,100.0,111.0,112.0,108.706,109.45,9.45,9.45,20,0.01095890411,5.947945205479452,0.1827318410232983,1.1604,102.9685248157,6.4814751843,6.294617890176615,5.67,17.6366843,76.543209876543,32.906790123457,42.9911290323,9.8792,0.7167,-32.906790123457,74.33651206865902,6.0,2025/03/28,0.2,深交所,可转债,AA+,29.5,0.1549,中央企业
123173.SZ,恒锋转债,2025/04/16,125.7,125.7,138.526,125.2,134.359,8.659,6.88862371,108,0.295890410959,3.706849315068493,0.7442746671231552,-2.9961,92.15323860658,42.20576139342,45.79954218820736,13.77,7.26216412,112.418300653595,21.940699346405,19.5170174419,-77.6084,4.8286,-21.940699346405,121.99061297620854,6.0,2022/12/30,0.5,深交所,可转债,A-,2.40868,0.4211,私营
123204.SZ,金丹转债,2025/04/16,125.479,125.769,134.391,125.5,128.576,3.097,2.46814208,278,0.304657534247,0.2356164383561644,0.3093953919690144,-1.7018,99.815253456764,28.760746543236,28.81397937409838,14.98,6.67556742,122.296395193591,6.279604806409,5.1347423581,26.0306,2.0391,-6.279604806409,122.52275174211216,6.0,2023/07/13,0.2,深交所,可转债,AA-,5.234556,0.0001,私营
128082.SZ,华锋转债,2025/04/16,147.08,147.48,152.293,146.568,150.6,3.52,2.39325537,134,1.027945205479,0.2657534246575342,1.171569430042364,-37.1904,99.459386124145,51.140613875855,51.41858990766482,8.7,11.49425287,125.51724137931,25.08275862069,19.9835164835,305.8817,2.5635,-25.08275862069,126.1994933516276,6.0,2019/12/04,0.6,深交所,可转债,A-,1.417515,0.7547,私营
123211.SZ,阳谷转债,2025/04/16,135.887,137.687,145.68,136.2,138.9,3.013,2.21728348,264,0.361643835616,4.279452054794521,0.3599712023038157,-3.4229,103.96555732425,34.93444267575,33.601938540853205,9.46,10.57082452,126.321353065539,12.578646934461,9.9576569038,27.9096,1.5595,-12.578646934461,121.50307882404292,6.0,2023/07/27,0.3,深交所,可转债,AA-,3.080953,0.1385,私营
123161.SZ,强联转债,2025/04/16,128.698,128.698,133.906,128.5,131.161,2.463,1.91378265,188,0.515068493151,3.4876712328767123,0.7624217564672425,-3.4521,107.91645931579,23.24454068421,21.53938410469044,21.89,4.56829603,120.374600274098,10.786399725902,8.9606941176,-196.4549,1.9527,-10.786399725902,111.54424546292093,6.0,2022/10/11,0.3,深交所,可转债,AA,12.098453,0.0001,私营
123061.SZ,航新转债,2025/04/16,129.25,131.77,137.423,130.187,131.552,2.302,1.78104449,269,1.842465753425,1.2657534246575342,1.9003891997081,-6.802,110.69304083955,20.85895916045,18.843966162863968,14.82,6.74763833,97.840755735493,33.711244264507,34.4552165517,140.3752,4.7409,-33.711244264507,88.38925644595268,6.0,2020/07/22,0.5,深交所,可转债,A-,1.675728,0.4834,私营
113677.SH,华懋转债,2025/04/16,121.424,121.2,123.72,120.91,123.3,1.876,1.54499934,215,0.294520547945,4.413698630136986,0.40551500405515,-1.2427,100.66769647157,22.63230352843,22.48219073416633,33.85,2.95420975,93.323485967504,29.976514032496,32.1210826211,39.7469,3.0437,-29.976514032496,92.70450128344784,6.0,2023/09/14,0.3,上交所,可转债,AA-,10.49962,0.2952,私营
111009.SH,盛泰转债,2025/04/16,105.33,105.329,108.999,105.1,106.904,1.574,1.49435109,161,0.441095890411,3.5616438356164384,0.935418693407169,1.9341,105.83962129388,1.06437870612,1.0056524136311755,10.61,9.42507069,59.660697455231,47.243302544769,79.1866413902,66.2843,1.4558,-47.243302544769,56.3689634617776,6.0,2022/11/07,0.3,上交所,可转债,AA,7.01143,0.1826,中外合资
127079.SZ,华亚转债,2025/04/16,132.872,132.701,138.183,132.0,134.402,1.53,1.15148414,122,0.334246575342,3.668493150684931,0.7440365470751923,-3.058,99.364975778029,35.037024221971,35.26093973015206,43.3,2.30946882,131.247113163972,3.154886836028,2.4037761746,61.2042,3.9138,-3.154886836028,132.0858905628522,6.0,2022/12/16,0.4,深交所,可转债,A+,3.399016,0.0001,私营
113042.SH,上银转债,2025/04/16,121.6,121.501,122.9,121.324,122.745,1.145,0.94161184,82,0.786301369863,1.7780821917808218,2.85143997718848,-3.42,111.85467059252,10.89032940748,9.736141861391582,9.09,11.00110011,113.971397139714,8.773602860286,7.6980743243,6.2766,0.6503,-8.773602860286,101.89238995205224,6.0,2021/01/22,0.3,上交所,可转债,AAA,199.98158,0.0001,地方国有企业
113030.SH,东风转债,2025/04/16,123.6,123.689,124.493,123.32,124.325,0.725,0.58656958,114,0.624657534247,0.6904109589041096,9.652121455861653,-14.3588,110.54756271013,13.77743728987,12.462904610566785,3.1,32.25806452,106.774193548387,17.550806451613,16.4373111782,-24.4452,1.1477,-17.550806451613,96.58665549087024,6.0,2019/12/23,0.4,上交所,可转债,AA,1.97272,0.2753,地方国有企业
