代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率
110097.SH,天润转债,2024/11/15,100.0,120.0,125.667,120.0,121.698,21.698,21.698,23,0.018904109589,5.93972602739726,0.2465118572203322,-0.9495,97.728429245591,23.96957075440899,24.52671237984762,8.3,12.048192771084336,114.4578313253012,7.240168674698795,6.325621052631578,102.4438,1.2833,-7.240168674698795,117.1182553621826,6.0,2024/10/24,0.3,上交所,可转债,AA,9.9,0.0748
128049.SZ,华源转债,2024/11/15,186.0,196.66,223.2,163.888,223.2,37.2,20.0,355,2.909589041096,0.0327868852459016,4.480286738351254,-1546.8637,109.84093077198,113.35906922802,103.2029394063888,7.37,13.568521031207599,156.98778833107193,66.21221166892809,42.17666378565255,50.4328,2.4818,-66.21221166892809,142.92284964059948,6.0,2018/11/26,0.5,深交所,可转债,AA-,0.426157,0.0
123241.SZ,欧通转债,2024/11/15,140.833,140.819,166.0,140.0,157.8,16.967,12.047602479532497,134,0.036712328767,5.635616438356164,0.0633713561470215,-5.4398,92.734975783113,65.06502421688701,70.16233483368777,44.56,2.2441651705565526,159.53770197486537,-1.73770197486535,-1.0892108594739065,34.4523,3.6891,1.73770197486535,172.03617149584363,6.0,2024/07/05,0.1,深交所,可转债,AA-,6.445265,0.0001
127033.SZ,中装转2,2024/11/15,73.97,73.748,84.2,73.74,80.664,6.694,9.049614708665677,214,0.879452054795,2.4164383561643836,1.8595656054745608,16.2736,73.555338187353,7.108661812647,9.664372413787982,5.14,19.455252918287936,67.12062256809338,13.543377431906613,20.177669565217393,-2.322,1.3736,-13.543377431906613,91.25187134226786,6.0,2021/04/16,0.3,深交所,可转债,BB,11.586428,0.366
123101.SZ,拓斯转债,2024/11/15,170.0,169.0,194.57,163.792,182.0,12.0,7.0588235294117645,251,1.031506849315,2.315068493150685,0.8241758241758241,-18.7775,107.40548888323,74.59451111677,69.45130262185043,12.8,7.8125,178.28125,3.71875,2.085889570552147,856.7637,4.4911,-3.71875,165.9889562942405,6.0,2021/03/10,0.3,深交所,可转债,AA,2.39745,0.0001
127051.SZ,博杰转债,2024/11/15,128.68,130.2,136.9,127.5,136.6,7.92,6.154802611128381,365,0.997260273973,3.0054644808743167,0.7320644216691068,-4.2898,108.54582152985,28.054178470149992,25.845470672894688,26.82,3.728560775540641,138.77703206562265,-2.1770320656226696,-1.5687264911337988,2516.7094,3.2902,2.1770320656226696,127.8511048234677,6.0,2021/11/17,0.4,深交所,可转债,AA-,5.238477,0.0001
127081.SZ,中旗转债,2024/11/15,119.967,119.968,128.999,119.59,126.602,6.635,5.530687605758249,258,0.353424657534,4.295890410958904,0.3949384685865942,-2.0358,90.725925665381,35.876074334619005,39.54335441772023,20.7,4.830917874396135,122.70531400966183,3.896685990338164,3.175645669291338,61.3004,1.9613,-3.896685990338164,135.2483461697911,6.0,2023/03/03,0.3,深交所,可转债,A+,4.732038,0.2012
123219.SZ,宇瞳转债,2024/11/15,137.631,138.576,158.756,138.0,145.1,7.469,5.42682971132957,97,0.132876712329,0.0928961748633879,0.1227306628399862,-332.3569,99.73785623217,45.36214376782999,45.48137034571496,12.45,8.032128514056225,144.97991967871485,0.1200803212851406,0.0828254847645429,36.5276,3.8034,-0.1200803212851406,145.36097441399812,6.0,2023/08/11,0.3,深交所,可转债,A+,1.526055,0.0001
128082.SZ,华锋转债,2024/11/15,147.95,152.076,162.0,148.601,154.99,7.04,4.758364312267657,348,2.186575342466,1.0519125683060109,1.483966707529518,-23.6075,106.75462845729,48.23537154271001,45.1834007009896,8.7,11.494252873563218,151.60919540229884,3.3808045977011494,2.2299469294920398,368.5332,3.0885,-3.3808045977011494,142.01650794274846,6.0,2019/12/04,0.6,深交所,可转债,A-,1.437621,0.0001
123242.SZ,赛龙转债,2024/11/15,174.9,174.026,184.215,172.879,183.0,8.1,4.631217838765009,131,0.107671232877,5.643835616438356,0.1639344262295081,-7.2079,86.610800710322,96.389199289678,111.2900452358832,36.81,2.7166530834012494,94.94702526487367,88.05297473512633,92.7390557939914,47.6586,2.0485,-88.05297473512633,109.6249249356705,6.0,2024/07/08,0.3,深交所,可转债,A+,2.5,0.0
