代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额
123127.SZ,耐普转债,2025/01/07,155.4330,155.3560,163.3240,154.9110,162.0750,6.6420,4.2732238300,71,0.350136986301,2.808219178082192,1.110596945858398900,-11.9362,99.247007571787,62.827992428212994,63.304671813675064,17.240,5.80046404,155.046403712297,7.028596287703,4.533221099900,26.3366,2.9575,-7.028596287703,156.2227491848048,6.0000,2021/10/29,0.4000,深交所,可转债,A+,1.848075
123250.SZ,嘉益转债,2025/01/07,121.5560,121.6600,126.6000,121.2900,126.5800,5.0240,4.1330744700,62,0.033972602740,5.832876712328767,0.158002844051192900,-1.0827,86.61496793123,39.96503206877,46.14102276237195,116.050,0.86169754,100.318828091340,26.261171908660,26.177710015500,17.0801,7.1997,-26.261171908660,115.82158429128613,6.0000,2024/11/07,0.2000,深交所,可转债,A+,3.979384
127019.SZ,国城转债,2025/01/07,113.1790,113.1740,117.8800,112.5000,117.7770,4.5980,4.0625911200,177,0.872876712329,1.5178082191780822,1.528311979418732000,-3.4081,107.2807183282,10.496281671800006,9.783940521062801,12.580,7.94912560,93.481717011129,24.295282988871,25.989341836700,190.8110,4.5431,-24.295282988871,87.1374823620623,6.0000,2020/07/15,0.3000,深交所,可转债,AA-,7.518131
113684.SH,湘泵转债,2025/01/07,131.4430,131.4410,137.4300,130.6480,136.6240,5.1810,3.9416324900,282,0.154520547945,5.23013698630137,0.146387164773392700,-2.8224,99.221795473499,37.402204526500995,37.695553026442354,16.590,6.02772755,119.770946353225,16.853053646775,14.071069954700,22.7874,2.4370,-16.853053646775,120.71031952371234,6.0000,2024/04/01,0.2000,上交所,可转债,AA-,3.76748
113667.SH,春23转债,2025/01/07,131.5330,131.2000,136.8000,129.2070,136.6580,5.1250,3.8963606100,297,0.406849315068,4.189041095890411,0.365876860483835600,-3.1142,105.25093896352,31.407061036479988,29.840171827223017,10.300,9.70873786,134.757281553398,1.900718446602,1.410475504300,32.4304,2.2288,-1.900718446602,128.03427967526724,6.0000,2023/03/17,0.3000,上交所,可转债,AA-,5.69969
118045.SH,盟升转债,2025/01/07,155.6840,155.4880,161.8800,155.3870,161.6540,5.9700,3.8346907800,118,0.129315068493,4.67945205479452,0.247442067625917100,-6.8873,90.780260066295,70.873739933705,78.07175247344227,21.100,4.73933649,134.834123222749,26.819876777251,19.891015817200,-28.2146,3.1052,-26.819876777251,148.5280204355907,6.0000,2023/09/12,0.2000,上交所,可转债,A+,1.23932
113669.SH,景23转债,2025/01/07,128.0790,128.5580,133.1030,127.6620,132.9100,4.8310,3.7718907900,279,0.382191780822,4.238356164383561,0.376194417274847600,-3.8710,103.18771258918,29.72228741082,28.804095628277942,24.710,4.04694456,114.083367057871,18.826632942129,16.502522171000,21.7997,2.4264,-18.826632942129,110.55906192248852,6.0000,2023/04/04,0.3000,上交所,可转债,AA,11.53566
123249.SZ,英搏转债,2025/01/07,140.6000,141.6000,146.2990,140.1450,145.7450,5.1450,3.6593172100,76,0.062465753425,5.794520547945205,0.205838965316134300,-4.0556,100.92649773349,44.81850226651001,44.40707175320727,17.460,5.72737686,134.478808705613,11.266191294387,8.377670357800,88.1007,3.1468,-11.266191294387,133.24430325594216,6.0000,2024/10/24,0.3000,深交所,可转债,AA,8.171597
113690.SH,豪24转债,2025/01/07,149.5830,149.8800,155.0150,148.1780,154.7320,5.1490,3.4422360800,77,0.042191780822,5.791780821917808,0.129255745417883800,-4.6615,96.821586907766,57.910413092233995,59.8114686422156,8.430,11.86239620,134.638196915777,20.093803084223,14.924296035200,22.4278,3.1264,-20.093803084223,139.05803572919723,6.0000,2024/10/23,0.2000,上交所,可转债,AA-,5.5
123203.SZ,明电转02,2025/01/07,132.5000,132.5000,137.1000,131.7020,137.0000,4.5000,3.3962264200,189,0.258904109589,4.484931506849315,0.364963503649635000,-2.4169,106.58355092691,30.416449073090007,28.537657836102852,11.910,8.39630563,113.602015113350,23.397984886650,20.596452328200,102.6497,2.4319,-23.397984886650,106.58494122723772,6.0000,2023/07/03,0.3000,深交所,可转债,AA-,1.471906
110052.SH,贵广转债,2025/01/07,124.4220,124.0500,135.5860,123.8180,128.5690,4.1470,3.3330118500,309,1.862465753425,0.15616438356164383,10.111302102373044800,-77.5428,112.70923880665,15.859761193349982,14.071394112204965,7.250,13.79310345,110.758620689655,17.810379310345,16.080354919100,-10.8468,3.0029,-17.810379310345,98.26933609201173,6.0000,2019/03/04,0.5000,上交所,可转债,AA+,1.67464
113549.SH,白电转债,2025/01/07,123.7070,124.1180,127.9800,123.7010,127.8190,4.1120,3.3239832800,54,0.295890410959,0.8547945205479452,7.823563007064677400,-16.3089,108.34210719451,19.476892805489996,17.977214316611466,7.730,12.93661061,112.936610608021,14.882389391979,13.177648339100,25.9501,1.5079,-14.882389391979,104.24073661892355,6.0000,2019/11/15,0.3000,上交所,可转债,AA,3.67154
123191.SZ,智尚转债,2025/01/07,119.5470,119.4180,123.7370,119.4180,123.4380,3.8910,3.2547868200,273,0.299178082192,4.254794520547946,0.324049320306550700,-1.4131,101.6563672703,21.781632729700007,21.426727429462005,9.350,10.69518717,108.770053475936,14.667946524064,13.485280236000,22.4040,1.9039,-14.667946524064,106.99777731258192,6.0000,2023/04/10,0.2000,深交所,可转债,AA-,6.443952
123087.SZ,明电转债,2025/01/07,132.5000,132.0000,136.8680,132.0000,136.8000,4.3000,3.2452830200,24,0.164383561644,1.936986301369863,1.827485380116959100,-7.6286,111.29687768984,25.50312231016001,22.914499345823177,11.910,8.39630563,113.602015113350,23.197984886650,20.420399113100,102.6497,2.4319,-23.197984886650,102.07116090887465,6.0000,2020/12/15,0.4000,深交所,可转债,AA-,1.654986
113569.SH,科达转债,2025/01/07,120.4940,120.4000,124.9430,120.4000,124.3560,3.8620,3.2051388500,305,1.671232876712,1.167123287671233,1.608285888899610800,-5.1620,108.18360850858,16.17239149142,14.949022050912061,6.360,15.72327044,98.584905660377,25.771094339623,26.141014354100,-7.1434,5.5617,-25.771094339623,91.12739630288657,6.0000,2020/03/09,0.4000,上交所,可转债,A,2.71974
127091.SZ,科数转债,2025/01/07,123.6000,123.8000,127.9760,122.9040,127.5000,3.9000,3.1553398100,138,0.189041095890,4.624657534246575,0.392156862745098000,-2.0968,104.89387798378,22.60612201622,21.551421732844734,27.650,3.61663653,107.956600361664,19.543399638336,18.103015075400,43.4059,3.1421,-19.543399638336,102.91982948552784,6.0000,2023/08/23,0.3000,深交所,可转债,AA,14.918954
123118.SZ,惠城转债,2025/01/07,893.0100,888.8000,930.8800,888.8000,920.5000,27.4900,3.0783529900,185,0.912328767123,2.495890410958904,0.195545898967952200,-56.3250,105.54101227967,814.95898772033,772.1727981543273,11.250,8.88888889,804.444444444444,116.055555555556,14.426795580100,306.3298,13.5106,-116.055555555556,762.210279273019,6.0000,2021/07/07,0.5000,深交所,可转债,A+,1.239156
118050.SH,航宇转债,2025/01/07,130.8310,131.2000,135.1290,130.5000,134.8000,3.9690,3.0336846800,140,0.076712328767,5.619178082191781,0.148367952522255200,-2.0929,99.27146020963,35.528539790370004,35.78927892804733,32.640,3.06372549,113.511029411765,21.288970588235,18.754979757100,27.8490,2.9758,-21.288970588235,114.34407147035563,6.0000,2024/08/21,0.2000,上交所,可转债,AA-,6.67
123141.SZ,宏丰转债,2025/01/07,116.1810,116.0080,119.6700,116.0080,119.6500,3.4690,2.9858582700,299,0.819178082192,3.1835616438356165,0.835770998746343500,0.2283,96.450645171377,23.199354828623,24.053084131683665,5.350,18.69158879,100.934579439252,18.715420560748,18.542129629600,-141.2781,2.9030,-18.715420560748,104.6489417047525,6.0000,2022/03/15,0.5000,深交所,可转债,A,3.20184
123243.SZ,严牌转债,2025/01/07,123.2000,125.2410,126.9000,124.5620,126.8580,3.6580,2.9691558400,182,0.099726027397,5.504109589041096,0.157656592410411600,-1.1879,88.370790915877,38.48720908412301,43.551957253342025,7.570,13.21003963,110.832232496697,16.025767503303,14.459482717500,30.8149,1.7828,-16.025767503303,125.41726892792187,6.0000,2024/07/10,0.2000,深交所,可转债,A+,4.678889
