代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率,发行人企业性质
127081.SZ,中旗转债,2024/03/05,190.5,190.68,213.53,190.6,204.5,14.0,7.349081364829395,3,0.004109589041,4.994520547945204,0.2444987775061124,-10.874,80.67890391,123.82109609,153.47394435121052,30.17,3.3145508783559827,102.35333112363274,102.14666887636724,99.79808937823832,40.4508,2.4771,-102.14666887636724,126.86504918040444,6.0,2023/03/03,0.3,深交所,可转债,,,0.0,私营
123227.SZ,雅创转债,2024/03/05,129.934,129.934,140.925,129.41,137.7,7.766,5.976880570135608,138,0.112602739726,5.6256830601092895,0.2178649237472766,-2.3403,79.02013403,58.67986597,74.25938552283674,53.34,1.8747656542932127,70.54743157105362,67.15256842894638,95.18782885995216,41.7104,3.0179,-67.15256842894638,89.27779285247766,6.0,2023/10/20,0.3,深交所,可转债,,,1.1639,私营
123018.SZ,溢利转债,2024/03/05,246.499,246.499,260.66,246.004,259.55,13.051,5.2945448054556,77,0.416438356164,0.7923497267759562,3.852822192255827,-72.7191,106.14078071,153.40921929,144.53372046428393,8.05,12.422360248447204,62.60869565217392,196.94130434782608,314.55902777777777,149.4752,0.9409,-196.94130434782608,58.9864661192145,6.0,2018/12/20,0.4,深交所,可转债,,,0.0,私营
110044.SH,广电转债,2024/03/05,176.451,175.7,195.296,174.408,184.984,8.533,4.835903451949833,253,1.380821917808,0.3114754098360655,,-133.6111,107.19717458,77.78682542,72.56424968733538,6.82,14.662756598240469,61.29032258064516,123.69367741935484,201.816,-42.2124,0.7995,-123.69367741935484,57.17531532037247,6.0,2018/06/27,0.4,上交所,可转债,,,0.0,地方国有企业
123230.SZ,金钟转债,2024/03/05,124.95,124.796,131.392,122.819,130.1,5.15,4.121648659463785,118,0.128219178082,5.680327868852459,0.3074558032282859,-1.2493,69.872453,60.227547,86.19641133824227,29.1,3.436426116838488,76.56357388316151,53.53642611683849,69.92414721723519,28.7725,2.6544,-53.53642611683849,109.57619289988504,6.0,2023/11/09,0.4,深交所,可转债,,,1.0249,私营
117205.SZ,23希望E1,2024/03/05,96.787,98.67,102.75,98.67,100.3913,3.6043,3.7239505305464577,350,1.434246575342,2.0464480874316937,1.494153377832541,5.3309,107.68434261,-7.29304261,-6.772611907390461,14.45,6.920415224913495,62.14532871972318,38.24597128027682,61.542793429844096,-7.9367,1.9277,-38.24597128027682,57.710645032950325,3.0,2023/03/22,1.5,深交所,可交换债券(私募),,,0.0,私营
128070.SZ,智能转债,2024/03/05,137.0,135.0,146.0,135.0,141.5,4.5,3.2846715328467155,248,1.353424657534,1.325136612021858,1.413427561837456,-15.2188,104.3517276,37.1482724,35.59909668424119,9.34,10.706638115631693,112.0985010706638,29.40149892933619,26.22827125119389,35.3302,3.3613,-29.40149892933619,107.42371367377709,6.0,2019/07/02,0.5,深交所,可转债,,,0.6221,私营
123192.SZ,科思转债,2024/03/05,143.712,143.933,156.417,143.269,148.15,4.438,3.0881206858160763,328,0.268767123288,5.10655737704918,0.2024974687816402,-4.0663,92.60668591,55.54331409,59.977650149342224,52.03,1.9219680953296168,137.95886988275993,10.191130117240052,7.387078573418779,17.0005,5.2098,-10.191130117240052,148.972904631136,6.0,2023/04/13,0.3,深交所,可转债,,,0.2669,私营
123226.SZ,中富转债,2024/03/05,128.9,128.01,132.31,127.021,132.295,3.395,2.633824670287044,142,0.077260273973,5.614754098360656,0.1511772931705657,-1.7913,88.51220556,43.78279444,49.46526206526493,36.44,2.74423710208562,85.2085620197585,47.086437980241485,55.26021900161031,140.545,4.8329,-47.086437980241485,96.26758420565844,6.0,2023/10/16,0.2,深交所,可转债,,,0.5983,中外合资
113615.SH,金诚转债,2024/03/05,353.167,354.0,371.602,353.201,361.756,8.589,2.4319939292176223,74,0.3,2.800546448087432,0.4146441247691814,-33.8215,107.08279097,254.67320903,237.8283258430839,12.43,8.045052292839902,366.8543845534996,-5.0983845534995975,-1.3897570175438596,29.0035,4.0494,5.0983845534995975,342.58948728398053,6.0,2020/12/23,0.4,上交所,可转债,,,0.0001,私营
