代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率
123156.SZ,博汇转债,2024/08/08,67.69,68.0,79.989,68.0,77.0,9.31,13.75387797311272,359,0.588493150685,4.021857923497268,0.7792207792207791,12.23,98.11450483,-21.11450483,-21.52026845223798,10.69,9.354536950420954,62.114125350795135,14.885874649204863,23.965361445783127,-4.0985,2.6743,-14.885874649204863,63.30779068642132,6.0,2022/08/16,0.4,深交所,可转债,,,0.0
127033.SZ,中装转2,2024/08/08,57.993,59.5,65.19,59.305,63.505,5.512,9.5045953822013,115,0.472602739726,2.6876712328767125,2.3620187386819933,25.3735,63.71430844,-0.20930844,-0.3285108873105113,5.14,19.455252918287936,35.60311284046693,27.901887159533075,78.36923497267759,-3.7111,0.5224,-27.901887159533075,55.87930515481386,6.0,2021/04/16,0.3,深交所,可转债,,,0.0
117222.SZ,24广州数字科技EB,2024/08/08,102.775,110.3,110.3,110.3,110.3,7.525,7.321819508635368,105,0.086301369863,2.7150684931506848,0.2719854941069809,-1.5212,100.381487,9.918513,9.880818960173404,14.32,6.983240223463687,66.6899441340782,43.61005586592179,65.39225130890053,23.9898,1.9204,-43.61005586592179,66.43649753273552,3.0,2024/04/24,0.3,深交所,可交换债券(私募),,,0.4214
128056.SZ,今飞转债,2024/08/08,124.8,126.9,129.5,124.629,129.5,4.7,3.766025641025641,163,1.109589041096,0.5573770491803278,11.583011583011585,-20.0886,111.98895831,17.51104169,15.63640019003227,4.64,21.55172413793104,81.03448275862068,48.46551724137931,59.80851063829788,22.1196,0.8457,-48.46551724137931,72.35935040515933,6.0,2019/02/27,0.6,深交所,可转债,,,0.9713
123192.SZ,科思转债,2024/08/08,139.944,140.58,148.178,139.778,144.2,4.256,3.0412164865946374,118,0.161643835616,4.67945205479452,0.3467406380027739,-3.915,104.12733615,40.07266385,38.48428792250439,25.24,3.961965134706815,133.47860538827257,10.721394611727415,8.032294449391511,13.0132,4.1319,-10.721394611727415,128.1878614430228,6.0,2023/04/13,0.3,深交所,可转债,,,0.0882
123199.SZ,山河转债,2024/08/08,108.02,107.78,111.999,107.776,111.0,2.98,2.7587483799296426,58,0.079452054795,4.843835616438356,0.4504504504504504,0.3763,87.62497493,23.37502507,26.676213132926257,13.6,7.352941176470589,82.57352941176471,28.426470588235293,34.425645592163846,13.2131,3.0678,-28.426470588235293,94.23515325137532,6.0,2023/06/12,0.2,深交所,可转债,,,0.3731
110060.SH,天路转债,2024/08/08,126.57,124.613,130.373,124.609,129.979,3.409,2.69337125701193,286,1.405479452055,1.221311475409836,1.3848390893913631,-11.7423,109.09582715,20.88317285,19.142045480151072,4.17,23.980815347721823,110.79136690647482,19.18763309352517,17.318707792207793,-20.2487,1.7542,-19.18763309352517,101.55417471114048,6.0,2019/10/25,0.4,上交所,可转债,,,0.2979
117205.SZ,23希望E1,2024/08/08,97.5,100.0,100.0,100.0,100.0,2.5,2.564102564102564,140,0.575342465753,1.6191780821917807,1.5,6.6344,108.12871793,-8.12871793,-7.517630917683072,14.45,6.920415224913495,67.05882352941175,32.94117647058824,49.122807017543856,-5.6927,2.2628,-32.94117647058824,62.01758867873018,3.0,2023/03/22,1.5,深交所,可交换债券(私募),,,0.0
127047.SZ,帝欧转债,2024/08/08,59.038,58.9,61.33,58.4,60.55,1.512,2.5610623666113352,289,0.78904109589,3.2131147540983607,1.6515276630883569,24.3246,95.09871368,-34.54871368,-36.32931755129077,13.34,7.496251874062968,25.187406296851574,35.36259370314843,140.39791666666667,-7.2455,0.7021,-35.36259370314843,26.485538365540144,6.0,2021/10/25,0.3,深交所,可转债,,,0.0
128091.SZ,新天转债,2024/08/08,143.399,143.0,160.562,142.222,146.809,3.41,2.377980320643798,223,1.398904109589,1.3934426229508197,1.5666614444618516,-16.1122,107.88190316,38.92709684,36.08306462879793,8.08,12.376237623762377,125.74257425742574,21.066425742574257,16.753614173228346,37.4199,2.3419,-21.066425742574257,116.55576197143697,6.0,2019/12/30,0.6,深交所,可转债,,,0.4252
110055.SH,伊力转债,2024/08/08,124.849,124.33,128.666,123.5,127.48,2.631,2.107345673573677,147,0.805479452055,0.6,,-22.8532,108.6868235,18.7931765,17.291126831027498,15.2,6.578947368421053,109.27631578947368,18.203684210526315,16.658398555087295,12.3301,1.9944,-18.203684210526315,100.54237696023353,6.0,2019/03/14,0.5,上交所,可转债,,,0.4072
123025.SZ,精测转债,2024/08/08,130.859,130.0,133.81,129.6,133.505,2.646,2.022023704903752,133,0.91095890411,0.6383561643835616,8.988427399722857,-25.2335,110.67083225,22.83416775,20.63250748708452,48.68,2.054231717337716,117.0912078882498,16.413792111750205,14.017954385964911,-244.6759,4.6831,-16.413792111750205,105.80132588480627,6.0,2019/03/29,0.5,深交所,可转债,,,0.3422
123056.SZ,雪榕转债,2024/08/08,84.48,84.211,87.699,84.028,86.169,1.689,1.9992897727272727,46,0.315068493151,1.8767123287671232,2.9012754006661328,18.2123,107.0779795,-20.9089795,-19.52687153571104,4.15,24.09638554216868,73.97590361445782,12.193096385542168,16.482524429967427,73.0545,1.0281,-12.193096385542168,69.08600998999783,6.0,2020/06/24,0.4,深交所,可转债,,,0.0
113687.SH,振华转债,2024/08/08,125.404,126.5,128.942,126.0,127.806,2.402,1.9154093968294472,28,0.015342465753,5.926027397260274,0.1564871758759369,-1.8348,100.6140694,27.1919306,27.02597237360126,11.64,8.591065292096221,110.4810996563574,17.32490034364261,15.681325038880248,19.1374,2.2753,-17.32490034364261,109.80680963924652,6.0,2024/07/12,0.2,上交所,可转债,,,0.165
113683.SH,伟24转债,2024/08/08,192.792,192.8,203.174,192.35,196.406,3.614,1.8745591103365284,134,0.073424657534,5.635616438356164,0.1018298829974644,-9.2207,101.36349544,95.04250456,93.76403620202544,18.03,5.546311702717693,101.55296727676097,94.85303272323904,93.40252211906062,10.9528,2.7026,-94.85303272323904,100.18692314815948,6.0,2024/03/28,0.2,上交所,可转债,,,1.5439
123178.SZ,花园转债,2024/08/08,120.43,125.2,127.393,122.4,122.6,2.17,1.8018766088184008,156,0.213698630137,4.575342465753425,0.4078303425774877,-0.476,104.46755338,18.13244662,17.35701280764502,13.56,7.374631268436578,121.68141592920352,0.9185840707964602,0.7549090909090909,24.4255,3.26,-0.9185840707964602,116.47771197109232,6.0,2023/03/06,0.3,深交所,可转债,,,0.0001
123018.SZ,溢利转债,2024/08/08,288.861,289.8,305.14,289.5,294.0,5.139,1.7790563627488651,233,1.271232876712,0.3661202185792349,3.4013605442176877,-170.9412,109.00760385,184.99239615,169.70595592997248,7.99,12.515644555694616,81.8523153942428,212.1476846057572,259.18348623853205,40.819,1.2222,-212.1476846057572,75.08862914450972,6.0,2018/12/20,0.4,深交所,可转债,,,0.0
