代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额
117196.SZ,22开山EB,2024/09/13,104.0,118.8,118.8,118.8,118.8,14.8,14.23076923076923,69,0.18904109589,0.8136986301369863,8.417508417508417,-9.2842,108.15192670148,10.648073298520004,9.84547721272754,15.8,6.329113924050633,47.531645569620245,71.26835443037976,149.9387483355526,21.0079,1.1603,-71.26835443037976,43.94895867256872,3.0,2022/07/05,1.0,深交所,可交换债券(私募),null,null
123248.SZ,恒辉转债,2024/09/13,113.3,114.0,127.347,113.6,118.39,5.09,4.492497793468667,24,0.013150684932,5.936986301369863,0.1689331869245713,-0.2743,96.412846909816,21.977153090184004,22.794838856632147,18.26,5.47645125958379,88.82803943044907,29.561960569550926,33.27998766954377,23.9817,2.0832,-29.561960569550926,92.13299085913135,6.0,2024/08/21,0.2,深交所,可转债,null,null
123234.SZ,中能转债,2024/09/13,102.6,105.5,108.9,104.4,105.05,2.45,2.3879142300194927,278,0.151780821918,5.243169398907104,,2.5631,90.991125123527,14.058874876472998,15.450819909509928,6.4,15.625,73.75,31.3,42.440677966101696,50.8795,2.0131,-31.3,81.05186071705242,6.0,2023/12/11,0.2,深交所,可转债,null,null
123245.SZ,集智转债,2024/09/13,121.0,121.499,129.233,119.365,123.848,2.848,2.353719008264463,31,0.03397260274,5.917808219178082,0.3229765519023318,-0.3854,78.991707867578,44.856292132422,56.7860771001676,23.54,4.248088360237893,78.88700084961766,44.96099915038233,56.99417985998923,97.9866,2.1265,-44.96099915038233,99.86744555753135,6.0,2024/08/14,0.4,深交所,可转债,null,null
123238.SZ,卡倍转02,2024/09/13,151.151,150.99,158.64,150.698,154.5,3.349,2.2156651295724146,247,0.134794520548,5.327868852459016,0.1294498381877022,-4.715,90.73505391771,63.76494608229,70.27597750712762,29.24,3.4199726402188784,135.46511627906975,19.03488372093023,14.051502145922745,27.2237,3.9699,-19.03488372093023,149.29744396462985,6.0,2024/01/11,0.2,深交所,可转债,null,null
123118.SZ,惠城转债,2024/09/13,526.879,529.9,554.0,516.0,536.995,10.116,1.9199854235982077,69,0.340273972603,2.813698630136986,0.335198651756534,-41.8052,103.93503077288,433.05996922712,416.6641083442285,11.29,8.857395925597874,458.99025686448175,78.00474313551814,16.994858162871477,144.4975,7.7653,-78.00474313551814,441.6126626906693,6.0,2021/07/07,0.5,深交所,可转债,null,null
123048.SZ,应急转债,2024/09/13,116.197,116.402,118.393,115.893,118.101,1.904,1.6385965214248217,157,0.774246575342,1.5726027397260272,1.5241191861203547,-4.5741,106.26744601928,11.833553980719998,11.135634123147222,7.06,14.164305949008497,97.02549575070819,21.075504249291782,21.721614598540143,-2582.647,2.7027,-21.075504249291782,91.3031218733769,6.0,2020/04/10,0.3,深交所,可转债,null,null
111017.SH,蓝天转债,2024/09/13,136.259,136.259,142.148,135.654,138.439,2.18,1.5998943189073749,30,0.041095890411,4.92054794520548,0.3611699015450848,-3.7954,102.3414430292,36.0975569708,35.27169043385549,9.28,10.775862068965516,140.40948275862067,-1.9704827586206897,-1.4033829623944745,13.456,2.6079,1.9704827586206897,137.19709103433215,6.0,2023/08/15,0.3,上交所,可转债,null,null
132026.SH,G三峡EB2,2024/09/13,122.189,122.201,124.495,122.0,124.072,1.883,1.5410552504726285,105,0.028767123288,2.7150684931506848,0.0805983622412792,-4.897,102.42554856703,21.64645143297,21.133839882540617,23.14,4.32152117545376,122.2990492653414,1.7729507346585998,1.4496848056537102,30.4713,3.573,-1.7729507346585998,119.40287455263729,5.0,2022/05/27,0.1,上交所,可交换债券(公募),null,null
113669.SH,景23转债,2024/09/13,121.57,121.59,124.447,121.079,123.025,1.455,1.1968413259850292,163,0.223287671233,4.556164383561644,0.406421459053038,-1.9219,101.4379481054,21.58705189460001,21.281041560668985,24.71,4.046944556859571,103.11614730878186,19.90885269121813,19.307211538461537,18.0975,2.6747,-19.90885269121813,101.65440965114765,6.0,2023/04/04,0.3,上交所,可转债,null,null
110083.SH,苏租转债,2024/09/13,138.97,138.52,142.251,138.52,140.562,1.592,1.1455709865438584,308,0.504657534247,3.16120218579235,0.426857899005421,-7.5842,102.97064083462,37.59135916538001,36.50687114374191,3.05,32.78688524590164,140.65573770491804,-0.0937377049180328,-0.0666433566433566,6.8804,1.0972,0.0937377049180328,136.59790457245347,6.0,2021/11/11,0.2,上交所,可转债,null,null
123207.SZ,冠中转债,2024/09/13,94.778,94.6,96.71,94.25,95.799,1.021,1.077254215113212,55,0.090410958904,4.852054794520548,0.6263113393667992,4.9807,85.079060965331,10.71993903466901,12.599973381273328,10.44,9.578544061302681,87.93103448275862,7.867965517241379,8.947882352941177,75.0284,1.505,-7.867965517241379,103.35214503435785,6.0,2023/07/21,0.4,深交所,可转债,null,null
