代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率
128090.SZ,汽模转2,2024/11/07,148.254,170.0,177.905,164.322,177.905,29.651,20.000134903611368,317,1.558356164384,1.1366120218579234,1.0117759478373287,-33.8678,108.07463733458,69.83036266542,64.61308997895362,4.2,23.809523809523807,145.95238095238096,31.95261904761905,21.89249592169657,47.9121,2.7338,-31.95261904761905,135.0477637972896,6.0,2019/12/27,0.3,深交所,可转债,AA-,3.077675,0.0
110060.SH,天路转债,2024/11/07,176.581,176.0,211.897,175.0,211.76,35.179,19.922301946415526,11,0.060273972603,0.9726027397260272,4.722327162825841,-49.408,107.58918651463,104.17081348537,96.82275408895748,4.17,23.980815347721823,195.68345323741008,16.076546762589928,8.215588235294117,-120.9948,2.8167,-16.076546762589928,181.88022381859076,6.0,2019/10/25,0.4,上交所,可转债,AA,2.07372,0.6758
123238.SZ,卡倍转02,2024/11/07,140.401,142.0,159.278,142.0,155.966,15.565,11.086103375332083,302,0.164931506849,5.1775956284153,0.1282330764397368,-5.0263,88.512710525929,67.45328947407101,76.20746113555204,29.24,3.4199726402188784,160.3625170998632,-4.396517099863201,-2.741611431008744,33.4148,5.0892,4.396517099863201,181.17456368358128,6.0,2024/01/11,0.2,深交所,可转债,A+,3.255241,0.0001
117190.SZ,21电投E1,2024/11/07,139.7132,154.712,154.712,154.712,154.712,14.9988,10.735420847851168,352,0.288493150685,0.040983606557377,4.0720823206991055,-766.6376,106.10788634838,48.60411365161998,45.80631593399188,5.32,18.79699248120301,158.2706766917293,-3.5586766917293238,-2.248475059382423,44.5526,2.2948,3.5586766917293238,149.16014458349045,3.0,2021/11/18,0.3,深交所,可交换债券(私募),,2.4710842896,0.0001
113600.SH,新星转债,2024/11/07,197.253,196.0,217.795,193.738,214.783,17.53,8.887063821589534,87,0.595890410959,0.0382513661202185,0.3188946550003119,-1384.979,100.51508665126,114.26791334873998,113.68235073526404,10.0,10.0,214.5,0.283,0.1319347319347319,-33.1496,2.927,-0.283,213.40080096057017,6.0,2020/08/13,0.4,上交所,可转债,A-,0.39867,0.0001
123208.SZ,孩王转债,2024/11/07,160.753,161.91,185.672,161.91,174.1,13.347,8.30279994774592,107,0.146575342466,0.0300546448087431,0.0920585712824468,-1409.2212,100.02749582307,74.07250417693,74.05214293073023,7.1,14.08450704225352,176.33802816901408,-2.2380281690140844,-1.2691693290734825,88.398,4.7461,2.2380281690140844,176.28955590463167,6.0,2023/07/24,0.3,深交所,可转债,AA,1.049472,0.0001
127053.SZ,豪美转债,2024/11/07,125.897,125.5,137.689,125.5,136.0,10.103,8.024813935200998,289,0.78904109589,3.2131147540983607,0.7352941176470588,-3.1195,110.24548415322,25.754515846779995,23.361061946978413,17.73,5.640157924421884,128.5391990975747,7.460800902425269,5.8043001316366825,24.668,2.2323,-7.460800902425269,116.59361840066845,6.0,2022/01/24,0.3,深交所,可转债,AA-,4.814454,0.0001
123213.SZ,天源转债,2024/11/07,168.597,170.151,181.497,152.24,181.497,12.9,7.651381697183224,103,0.141095890411,4.72054794520548,0.275486647162212,-9.0212,98.026773923835,83.47022607616502,85.15043669703938,7.24,13.812154696132596,179.6961325966851,1.8008674033149172,1.002173712528824,32.4951,3.1471,-1.8008674033149172,183.31331880441732,6.0,2023/07/28,0.3,深交所,可转债,AA-,6.658771,0.0001
123096.SZ,思创转债,2024/11/07,143.699,143.357,163.536,142.604,153.65,9.951,6.924891613720345,287,1.175342465753,0.040983606557377,0.8028679188916368,-832.3857,101.05064928717,52.59935071283,52.0524618929968,2.38,42.01680672268908,155.46218487394955,-1.81218487394958,-1.1656756756756756,-10.0676,7.16,1.81218487394958,153.84580502016428,6.0,2021/01/26,0.4,深交所,可转债,BB,0.482599,0.0001
123246.SZ,远信转债,2024/11/07,231.874,231.677,253.5,230.81,247.9,16.026,6.911512286845442,84,0.115068493151,5.772602739726027,0.2016942315449778,-11.4396,79.107001703632,168.792998296368,213.37301965853464,23.25,4.301075268817204,98.75268817204301,149.14731182795697,151.03114111498257,39.8154,3.0416,-149.14731182795697,124.8343206610358,6.0,2024/08/16,0.5,深交所,可转债,A,2.86467,0.0
110047.SH,山鹰转债,2024/11/07,127.904,127.1,138.512,126.52,136.374,8.47,6.62215411558669,353,2.893150684932,0.0382513661202185,,-448.0781,112.8093809233,23.5646190767,20.888882541356885,1.54,64.93506493506493,136.36363636363637,0.0103636363636364,0.0076,119.5731,0.8031,-0.0103636363636364,120.87969568448489,6.0,2018/11/21,0.4,上交所,可转债,AA,1.76983,0.0001
123170.SZ,南电转债,2024/11/07,157.018,157.773,188.422,157.0,166.0,8.982,5.720363270453069,350,0.382465753425,0.0300546448087431,0.2370136282836265,-1315.0051,100.26035537181,65.73964462819,65.56893239047295,27.04,3.6982248520710055,166.42011834319527,-0.4201183431952663,-0.2524444444444444,69.0184,10.0029,0.4201183431952663,165.9879597733675,6.0,2022/11/24,0.3,深交所,可转债,AA-,0.791484,0.0001
113588.SH,润达转债,2024/11/07,144.793,144.31,153.15,143.54,152.976,8.183,5.651516302583688,144,0.710136986301,1.6082191780821915,1.1766551615939755,-18.3248,106.67982158067,46.296178419330005,43.397315193596754,13.0,7.6923076923076925,150.3846153846154,2.5913846153846154,1.7231713554987211,174.1404,2.7665,-2.5913846153846154,140.96819169396187,6.0,2020/06/17,0.3,上交所,可转债,AA,2.96407,0.0001
123025.SZ,精测转债,2024/11/07,135.547,135.7,143.957,135.122,142.72,7.173,5.291891373471932,224,1.534246575342,0.3890410958904109,8.408071748878923,-55.3275,111.05123227771,31.66876772229,28.517259171960124,48.68,2.054231717337716,136.93508627773213,5.784913722267872,4.224566456645665,166.2426,5.5567,-5.784913722267872,123.30802951856796,6.0,2019/03/29,0.5,深交所,可转债,AA-,3.083485,0.0001
127014.SZ,北方转债,2024/11/07,146.58,148.7,154.583,146.0,154.2,7.62,5.198526401964797,15,0.082191780822,0.9616438356164384,6.485084306095979,-29.8074,107.7986545673,46.40134543269998,43.04445692662246,7.65,13.0718954248366,155.16339869281043,-0.9633986928104576,-0.6208930075821398,11.7791,1.3367,0.9633986928104576,143.93815889041554,6.0,2019/10/24,0.5,深交所,可转债,AA+,4.425762,0.0001
113060.SH,浙22转债,2024/11/07,131.287,130.006,139.7,129.6,137.797,6.51,4.958602146442527,147,0.241643835616,3.6,0.4354231224192108,-6.3585,100.70668151624,37.09031848376,36.83004734673816,10.05,9.950248756218905,141.29353233830844,-3.4965323383084574,-2.4746584507042253,46.3745,2.0976,3.4965323383084574,140.3020437283731,6.0,2022/06/14,0.2,上交所,可转债,AAA,34.44181,0.0001
110055.SH,伊力转债,2024/11/07,127.435,127.5,135.0,126.8,133.439,6.004,4.711421509004591,238,1.304109589041,0.3506849315068493,,-50.0887,109.15969282133,24.279307178669995,22.242007604775687,15.2,6.578947368421053,126.84210526315788,6.5968947368421045,5.200871369294606,28.3147,2.3724,-6.5968947368421045,116.19866452974549,6.0,2019/03/14,0.5,上交所,可转债,AA,2.42623,0.0001
123184.SZ,天阳转债,2024/11/07,138.9,137.2,145.0,137.2,145.0,6.1,4.391648668106552,230,0.252054794521,4.372602739726028,0.2758620689655172,-4.3067,102.13871091313,42.86128908687,41.963804617941534,11.8,8.47457627118644,147.1186440677966,-2.1186440677966103,-1.4400921658986177,70.0191,3.1653,2.1186440677966103,144.03808580756666,6.0,2023/03/23,0.3,深交所,可转债,AA-,3.425037,0.0001
123188.SZ,水羊转债,2024/11/07,118.88,119.471,125.23,118.249,124.094,5.214,4.385935397039031,218,0.358356164384,4.405479452054794,0.4835044401824423,-0.5655,94.049135128434,30.04486487156599,31.945923618049825,13.54,7.385524372230429,104.65288035450516,19.441119645494833,18.576764996471415,43.7392,2.7603,-19.441119645494833,111.27468658971785,6.0,2023/04/04,0.4,深交所,可转债,A+,6.948933,0.2954
127099.SZ,盛航转债,2024/11/07,138.4,139.321,144.53,136.0,144.2,5.8,4.190751445086705,338,0.27698630137,5.079234972677596,0.2080443828016643,-3.5366,99.347037014883,44.85296298511699,45.147761154062046,15.6,6.41025641025641,141.34615384615384,2.8538461538461535,2.019047619047619,21.5086,2.2288,-2.8538461538461535,142.27515796467992,6.0,2023/12/06,0.3,深交所,可转债,AA-,6.530714,0.0001
118026.SH,利元转债,2024/11/07,113.248,113.248,118.362,113.102,117.644,4.396,3.881746256004521,15,0.024657534247,3.9616438356164383,0.5100132603447689,-0.8465,90.746120633728,26.897879366272008,29.64080357202042,21.0,4.761904761904762,117.28571428571428,0.3582857142857143,0.3054811205846528,-4.4997,1.7461,-0.3582857142857143,129.24598149942534,6.0,2022/10/24,0.2,上交所,可转债,A+,8.09739,0.144
111004.SH,明新转债,2024/11/07,100.414,100.784,104.35,98.85,104.194,3.78,3.764415320572829,223,0.61095890411,3.391780821917808,0.9597481620822697,4.3488,106.61935894255,-2.425358942549991,-2.27478289740689,24.41,4.096681687832856,60.630888979926254,43.56311102007374,71.84969864864865,148.8824,1.4031,-43.56311102007374,56.86667935472786,6.0,2022/03/30,0.4,上交所,可转债,AA-,6.7293,0.0
123092.SZ,天壕转债,2024/11/07,124.549,124.549,130.483,123.95,129.19,4.641,3.7262442893961407,320,1.573150684932,2.128415300546448,1.3932966947906185,-3.7962,106.64145770845,22.548542291549992,21.144255504455,4.98,20.08032128514056,126.50602409638554,2.6839759036144577,2.1216190476190477,30.6567,1.3117,-2.6839759036144577,118.62743328419594,6.0,2020/12/24,0.5,深交所,可转债,A+,3.987252,0.0001
123172.SZ,漱玉转债,2024/11/07,114.517,114.0,128.0,111.96,118.657,4.14,3.615183771841735,329,0.449315068493,4.103825136612022,0.4213826407207328,-0.1381,101.76387882534,16.893121174659996,16.6003117900548,14.95,6.688963210702341,108.16053511705684,10.496464882943144,9.704523809523808,-372.6424,3.1465,-10.496464882943144,106.28578270163582,6.0,2022/12/15,0.3,深交所,可转债,AA-,7.998087,0.0969
118045.SH,盟升转债,2024/11/07,155.638,161.903,165.434,156.8,161.176,5.538,3.558256980942957,57,0.062465753425,4.846575342465753,0.2481759070829403,-6.5973,87.590281195521,73.58571880447899,84.0112827588934,21.1,4.739336492890995,155.1184834123223,6.057516587677725,3.905090131377941,-31.7497,3.4942,-6.057516587677725,177.0955422166796,6.0,2023/09/12,0.2,上交所,可转债,A+,1.24015,0.3238
123044.SZ,红相转债,2024/11/07,198.502,200.0,205.978,196.7,205.4,6.898,3.475027959416026,241,1.980821917808,0.0710382513661202,1.0644115724746837,-705.4341,101.55148859248,103.84851140752,102.26192924089752,3.7,27.027027027027028,205.94594594594597,-0.5459459459459459,-0.2650918635170603,-72.8576,3.4741,0.5459459459459459,202.7995343055921,6.0,2020/03/12,0.5,深交所,可转债,A-,0.423701,0.0001
128138.SZ,侨银转债,2024/11/07,115.984,118.002,119.98,117.999,119.96,3.976,3.4280590426265687,357,1.950684931507,2.027322404371585,1.6672224074691564,5.9584,125.95912824161,-5.999128241610009,-4.762757828954413,25.03,3.995205753096285,42.70874950059928,77.25125049940073,180.87921421889615,13.5117,1.848,-77.25125049940073,33.90683160229324,6.0,2020/11/17,0.4,深交所,可转债,AA-,4.198741,0.0
123080.SZ,海波转债,2024/11/07,130.3,130.767,138.257,130.45,134.65,4.35,3.338449731389102,342,1.681643835616,2.0683060109289615,1.336799108800594,-3.9912,111.27117828152,23.37882171848001,21.01067147804508,11.48,8.710801393728222,87.36933797909407,47.28066202090592,54.11585244267199,85.0901,1.9354,-47.28066202090592,78.51928893755988,6.0,2020/12/02,0.5,深交所,可转债,A+,1.48756,0.5416
123216.SZ,科顺转债,2024/11/07,106.463,105.75,110.0,105.29,110.0,3.537,3.322280980246658,96,0.131506849315,4.73972602739726,0.4545454545454545,1.8499,105.22673192428,4.773268075719997,4.536174400203541,7.02,14.245014245014245,89.03133903133903,20.968660968660966,23.552,41.2252,1.379,-20.968660968660966,84.60905076421551,6.0,2023/08/04,0.3,深交所,可转债,AA,21.978496,0.0838
128106.SZ,华统转债,2024/11/07,133.673,131.605,138.378,130.777,138.102,4.429,3.3133093444450266,212,1.045479452055,0.0928961748633879,0.8748744971703523,-286.792,101.01503209865,37.08696790135001,36.71430591155121,8.82,11.337868480725623,140.24943310657596,-2.147433106575964,-1.5311527890056589,107.7379,3.5501,2.147433106575964,138.84016090754704,6.0,2020/04/10,0.3,深交所,可转债,AA,1.842055,0.0001
127077.SZ,华宏转债,2024/11/07,106.28,106.28,109.98,105.28,109.78,3.5,3.2931878057960104,342,0.467123287671,4.0683060109289615,0.4554563672800145,2.3917,95.700021417533,14.079978582467009,14.712618005629247,11.14,8.97666068222621,75.94254937163375,33.83745062836625,44.55664302600473,1353.825,1.3741,-33.83745062836625,79.35478827146895,6.0,2022/12/02,0.3,深交所,可转债,A+,5.14896,0.3281
123240.SZ,楚天转债,2024/11/07,111.37,110.813,115.0,110.79,115.0,3.63,3.2594055849869803,282,0.23095890411,5.232240437158469,0.2608695652173913,0.0169,99.76547658567,15.23452341433,15.270335927526896,8.0,12.5,98.75,16.25,16.455696202531644,-18.6782,1.0389,-16.25,98.98213628559375,6.0,2024/01/31,0.3,深交所,可转债,AA,9.99986,0.136
113584.SH,家悦转债,2024/11/07,110.959,110.9,114.764,110.401,114.522,3.563,3.2110959904108722,156,0.769315068493,1.5753424657534245,1.5717504060355216,-1.5308,107.7264580897,6.7955419103000025,6.308145678234029,12.8,7.8125,92.8125,21.7095,23.390707070707073,40.3477,3.0086,-21.7095,86.15571480380272,6.0,2020/06/05,0.4,上交所,可转债,AA,6.44898,0.1895
128101.SZ,联创转债,2024/11/07,122.8,124.2,134.974,123.151,126.7,3.9,3.175895765472313,237,1.168767123288,1.3534246575342463,1.420678768745067,-8.9264,107.22521694931,19.474783050690007,18.16250281862016,13.69,7.304601899196493,82.24981738495251,44.45018261504748,54.04289520426288,-195.4061,4.4796,-44.45018261504748,76.70753179621504,6.0,2020/03/16,0.3,深交所,可转债,AA-,2.986355,0.6531
127075.SZ,百川转2,2024/11/07,110.286,111.005,113.911,110.8,113.7,3.414,3.0955878352646757,20,0.054794520548,3.947945205479452,0.8795074758135444,1.4682,96.142623158771,17.557376841229,18.26180341702821,8.18,12.224938875305623,109.53545232273838,4.164547677261614,3.802008928571429,38.8796,3.0271,-4.164547677261614,113.93016824790637,6.0,2022/10/19,0.3,深交所,可转债,A+,9.668064,0.0942
123178.SZ,花园转债,2024/11/07,122.7,128.0,128.798,125.01,126.483,3.783,3.0831295843520783,247,0.338356164384,4.326027397260273,0.3953100416656783,-1.2321,102.44219935731,24.04080064269,23.46767327674961,13.56,7.374631268436578,123.23008849557522,3.252911504424779,2.6397055655296233,28.2063,3.1502,-3.252911504424779,120.2923104625651,6.0,2023/03/06,0.3,深交所,可转债,AA-,11.760346,0.0001
123198.SZ,金埔转债,2024/11/07,118.329,118.329,122.624,118.028,121.96,3.631,3.068563074140743,153,0.251506849315,4.583561643835616,0.4919645785503443,-0.2311,92.589350078526,29.370649921474,31.72141277216488,7.6,13.157894736842104,123.02631578947368,-1.066315789473684,-0.8667379679144384,79.0236,1.4693,1.066315789473684,132.87307415500138,6.0,2023/06/08,0.3,深交所,可转债,A+,3.504942,0.0001
123059.SZ,银信转债,2024/11/07,132.004,131.5,136.048,130.011,136.0,3.996,3.0271809945153176,116,0.794520547945,1.684931506849315,1.8382352941176472,-7.0102,114.20348043942,21.796519560579995,19.08568764867206,9.25,10.81081081081081,138.7027027027027,-2.7027027027027026,-1.9485580670303972,79.154,3.5596,2.7027027027027026,121.45225536824027,6.0,2020/07/15,0.4,深交所,可转债,AA-,3.05455,0.0001
123205.SZ,大叶转债,2024/11/07,131.82,131.2,135.789,130.858,135.789,3.969,3.010923987255348,114,0.124931506849,0.0683060109289617,0.1113734372536287,-383.1766,99.82998601864,35.95901398135999,36.02025344834348,11.19,8.936550491510276,136.46112600536193,-0.6721260053619303,-0.4925402750491159,105.62,3.1587,0.6721260053619303,136.69352410795915,6.0,2023/07/17,0.2,深交所,可转债,A+,0.619557,0.0001
113660.SH,寿22转债,2024/11/07,108.396,108.397,112.02,108.397,111.632,3.236,2.9853500129156054,357,0.780273972603,4.027322404371585,0.716640389852372,1.2681,101.57234117282,10.059658827180002,9.903935176667847,37.11,2.6946914578280787,63.05578011317704,48.57621988682296,77.03690256410256,29.318,2.1455,-48.57621988682296,62.07967581045606,6.0,2022/11/17,0.5,上交所,可转债,AA-,3.97692,0.3659
123221.SZ,力诺转债,2024/11/07,121.03,121.029,125.21,120.298,124.6,3.57,2.949681897050318,77,0.105479452055,4.791780821917808,0.4012841091492776,-2.0915,85.32767044489,39.27232955510999,46.02531552818442,14.3,6.9930069930069925,109.16083916083916,15.43916083916084,14.143497757847532,51.4898,2.3283,-15.43916083916084,127.93134816840232,6.0,2023/08/23,0.3,深交所,可转债,A+,4.994163,0.3554
127094.SZ,红墙转债,2024/11/07,101.883,101.8,105.206,101.578,104.859,2.976,2.920997614911222,21,0.028767123288,4.9452054794520555,0.4768307918252129,2.9242,90.381755210696,14.477244789303995,16.017884091269256,10.74,9.310986964618248,83.33333333333333,21.525666666666663,25.8308,35.3447,1.1753,-21.525666666666663,92.2014992285428,6.0,2023/10/18,0.3,深交所,可转债,A+,3.159811,0.2444
127060.SZ,湘佳转债,2024/11/07,96.248,96.318,99.54,96.248,99.0,2.752,2.859280192835176,203,0.444931506849,3.4465753424657533,0.808080808080808,4.1441,93.805512715081,5.194487284919006,5.5375074817792616,30.26,3.3046926635822866,67.31658955717118,31.683410442828816,47.06627393225331,24.4881,1.8206,-31.683410442828816,71.76186943472544,6.0,2022/04/19,0.2,深交所,可转债,A+,6.399079,0.2574
123149.SZ,通裕转债,2024/11/07,118.53,118.146,124.399,117.98,121.893,3.363,2.837256390787142,141,0.386301369863,3.616438356164384,0.8203916549760855,-1.3143,105.99398465152,15.899015348480006,14.999922307621263,2.72,36.76470588235294,118.75,3.143,2.646736842105263,172.6352,1.8814,-3.143,112.03465969358392,6.0,2022/06/20,0.3,深交所,可转债,AA,14.842457,0.0001
123223.SZ,九典转02,2024/11/07,148.6,148.65,154.12,147.672,152.81,4.21,2.833109017496635,54,0.07397260274,4.854794520547944,0.3272037170342255,-5.1897,89.27962169859,63.53037830141,71.15887936430777,15.33,6.523157208088715,152.8375733855186,-0.027573385518591,-0.0180409731113956,19.1313,4.9645,0.027573385518591,171.18976366353976,6.0,2023/09/15,0.3,深交所,可转债,A+,2.614451,0.2056
123192.SZ,科思转债,2024/11/07,122.89,122.7,126.429,122.058,126.264,3.374,2.745544796159167,209,0.286301369863,4.4301369863013695,0.3959956915668757,-1.1635,101.94361069931,24.32038930069,23.85670777585535,24.64,4.058441558441558,113.43344155844156,12.83055844155844,11.311089803220035,13.8439,3.6226,-12.83055844155844,111.2707709490707,6.0,2023/04/13,0.3,深交所,可转债,AA-,7.186891,0.1369
113650.SH,博22转债,2024/11/07,104.44,104.264,107.697,104.262,107.228,2.788,2.6694752968211413,130,0.356164383562,3.6465753424657534,0.9325922333718804,3.0753,105.05468911911,2.17331088089,2.068742384669685,22.99,4.349717268377556,37.75554588951719,69.47245411048281,184.0059585253456,35.8508,0.9073,-69.47245411048281,35.93894399774037,6.0,2022/07/01,0.3,上交所,可转债,AA-,7.99875,0.3875
123063.SZ,大禹转债,2024/11/07,120.68,120.9,125.186,120.27,123.888,3.208,2.658269804441498,103,0.705479452055,1.7205479452054795,2.0179516983081487,-0.6605,115.96446898129,7.923531018710008,6.832723064500396,3.71,26.954177897574123,122.37196765498652,1.5160323450134772,1.2388722466960351,97.3323,2.0801,-1.5160323450134772,105.52539819307096,6.0,2020/07/28,0.4,深交所,可转债,AA-,6.342113,0.0001
118021.SH,新致转债,2024/11/07,142.707,142.9,146.558,140.921,146.449,3.742,2.6221558858360137,42,0.115068493151,3.887671232876712,0.6828315659376301,-5.7124,86.899280589081,59.54971941091901,68.52728700081035,10.6,9.433962264150944,147.16981132075472,-0.720811320754717,-0.4897820512820512,95.376,3.0141,0.720811320754717,169.35676604352324,6.0,2022/09/27,0.5,上交所,可转债,A,2.46774,0.2664
113534.SH,鼎胜转债,2024/11/07,130.558,130.7,134.08,129.331,133.958,3.4,2.6042065595367574,213,1.167123287671,0.4191780821917808,,-42.6662,108.7213837401,25.236616259900003,23.21219192742109,7.61,13.14060446780552,131.6688567674113,2.289143232588699,1.738560878243513,29.7576,1.3708,-2.289143232588699,121.10667859247228,6.0,2019/04/08,0.4,上交所,可转债,AA-,3.24863,0.0001
