代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率,发行人企业性质
404004.NQ,汇车退债,2025/01/09,40.409,0.0,0.0,0.0,51.488,11.079,27.41715954,127,,1.6054794520547944,3.4959602237414544,,100.13926340281,-48.65126340281,-48.5836042223622,0.57,175.43859649,,,,,,,0.0,6.0,2020/08/18,0.2,代办转让,可转债,A,27.101512,0.0,私营
123163.SZ,金沃转债,2025/01/09,155.666,156.0,181.418,150.15,175.336,19.67,12.63602842,88,0.241095890411,0.0191256830601092,0.1468804162153465,-2232.7449,100.17293661394,75.16306338606002,75.03330333195042,26.93,3.71333086,179.688080207947,-4.352080207947,-2.4220194255,195.8851,5.997,4.352080207947,179.3778701930774,6.0,2022/10/14,0.5,深交所,可转债,A,0.291903,0.0001,私营
117206.SZ,23绿能EB,2025/01/09,109.4,120.509,120.509,120.509,120.509,11.109,10.15447898,258,0.706849315068,1.2958904109589042,0.8298135408973604,-10.5596,102.49908299188,18.00991700812,17.570807935468796,26.2,3.81679389,95.725190839695,24.783809160305,25.8905821372,30.4983,5.0752,-24.783809160305,93.39126560505753,3.0,2023/04/25,1.0,深交所,可交换债券(私募),,20.5,0.44,私营
123251.SZ,华医转债,2025/01/09,100.0,111.0,111.76,108.11,108.666,8.666,8.666,18,0.009863013699,5.953424657534247,0.1840502088969871,1.6906,86.745749890895,21.920250109105,25.2695378582528,22.48,4.44839858,82.473309608541,26.192690391459,31.7589902913,74.7818,1.1016,-26.192690391459,95.07475549208154,6.0,2024/12/23,0.2,深交所,可转债,A+,7.5,0.317,私营
123099.SZ,普利转债,2025/01/09,56.32,56.32,64.977,54.0,60.643,4.323,7.67578125,336,1.376712328767,2.084699453551913,2.4734924063783126,40.818,96.691933319496,-36.048933319496,-37.282255180875,11.22,8.91265597,35.294117647059,25.348882352941,71.8218333333,-13.6539,0.6524,-25.348882352941,36.50161542477157,6.0,2021/02/09,0.4,深交所,可转债,BBB+,5.311128,0.0,私营
123228.SZ,震裕转债,2025/01/09,138.66,138.121,149.387,137.461,147.153,8.493,6.12505409,82,0.089863013699,4.778082191780822,0.2718259226791163,-4.2923,102.49626751839,44.65673248160999,43.56913043062532,54.54,1.83351669,146.681334800147,0.471665199853,0.32155775,37.3991,3.474,-0.471665199853,143.10895250290872,6.0,2023/10/20,0.2,深交所,可转债,AA-,9.394149,0.0001,私营
113686.SH,泰瑞转债,2025/01/09,152.239,149.0,164.279,149.0,161.148,8.909,5.85198274,192,0.157808219178,5.476712328767123,0.1861642713530419,-5.2813,100.25163404004,60.89636595996,60.74351460010945,8.29,12.06272618,97.587454764777,63.560545235223,65.131881335,40.6869,1.7129,-63.560545235223,97.34250787952348,6.0,2024/07/02,0.3,上交所,可转债,AA-,3.37798,0.739,私营
110095.SH,双良转债,2025/01/09,96.81,96.836,102.8,96.836,102.282,5.472,5.65230865,155,0.212328767123,4.578082191780822,0.4888445669814826,2.6048,104.1505232856,-1.8685232856000056,-1.7940603913013178,7.2,13.88888889,77.777777777778,24.504222222222,31.5054285714,-5.8753,1.9645,-24.504222222222,74.67824003581522,6.0,2023/08/08,0.2,上交所,可转债,AA,25.77528,0.0,私营
123067.SZ,斯莱转债,2025/01/09,128.332,132.333,140.4,132.0,135.16,6.828,5.32057476,115,0.787671232877,1.6876712328767125,1.8496596626220767,-8.0553,112.10908777942,23.050912220580003,20.561145110674502,9.56,10.46025105,118.514644351464,16.645355648536,14.0449779347,-348.2887,3.3621,-16.645355648536,105.71368182448084,6.0,2020/09/17,0.4,深交所,可转债,AA-,2.367398,0.1587,中外合资
123072.SZ,乐歌转债,2025/01/09,127.501,127.6,134.0,127.013,134.0,6.499,5.09721492,81,0.776712328767,1.7808219178082192,2.611940298507463,-4.5478,113.3011990602,20.698800939799995,18.26882778954719,33.23,3.00932892,46.494131808607,87.505868191393,188.2084142395,14.901,1.6831,-87.505868191393,41.03586916490037,6.0,2020/10/21,0.5,深交所,可转债,A+,1.418398,0.0,私营
113690.SH,豪24转债,2025/01/09,162.082,162.6,172.87,162.043,168.906,6.824,4.21021458,79,0.043287671233,5.786301369863014,0.1184090559245971,-6.1172,96.903510423684,72.00248957631601,74.30328298892877,8.43,11.8623962,162.989323843416,5.916676156584,3.6301004367,27.1505,3.7848,-5.916676156584,168.19754323738113,6.0,2024/10/23,0.2,上交所,可转债,AA-,5.5,0.1387,私营
127037.SZ,银轮转债,2025/01/09,186.1,185.462,197.446,185.462,193.873,7.773,4.17678667,217,0.891780821918,2.4082191780821915,0.7737023721714731,-20.2606,108.16216102029,85.71083897970999,79.24290544050022,10.51,9.51474786,187.44053282588,6.43246717412,3.4317375635,20.4096,2.7105,-6.43246717412,173.2958467709593,6.0,2021/06/07,0.3,深交所,可转债,AA,5.06062,0.0001,私营
113685.SH,升24转债,2025/01/09,118.38,118.0,123.258,117.708,123.222,4.842,4.09021794,210,0.115068493151,5.427397260273972,0.1623086786450472,-1.0431,97.252929802385,25.969070197615,26.702609628710785,12.89,7.7579519,108.99922420481,14.22277579519,13.048511032,30.448,2.0701,-14.22277579519,112.07808795713726,6.0,2024/06/14,0.2,上交所,可转债,AA-,27.99758,0.1747,私营
128066.SZ,亚泰转债,2025/01/09,117.577,117.3,122.47,116.7,122.3,4.723,4.01694209,268,2.202739726027,0.2684931506849315,9.8119378577269,-31.3674,111.27945323277,11.020546767230002,9.903487523593109,8.39,11.91895113,114.541120381406,7.758879618594,6.7738813736,20.7649,2.7006,-7.758879618594,102.93105964657587,6.0,2019/04/17,0.5,深交所,可转债,AA-,4.473289,0.0001,中外合资
118020.SH,芳源转债,2025/01/09,84.813,85.0,87.769,84.965,87.732,2.919,3.44168936,109,0.358356164384,3.704109589041096,1.367801942278758,10.8764,91.076601599092,-3.3446015990920017,-3.6722951234110894,18.63,5.36768653,25.228126677402,62.503873322598,247.7547148936,-15.1524,3.3961,-62.503873322598,27.69989902395909,6.0,2022/09/23,0.5,上交所,可转债,A-,6.41811,0.0,私营
113669.SH,景23转债,2025/01/09,132.675,133.405,159.21,133.405,137.048,4.373,3.29602412,281,0.384931506849,4.232876712328767,0.364835678010624,-4.5827,103.13379347983,33.91420652017,32.88369929571401,24.71,4.04694456,122.339133953865,14.708866046135,12.023026133,23.3773,2.602,-14.708866046135,118.62177257912172,6.0,2023/04/04,0.3,上交所,可转债,AA,11.53566,0.1793,中外合资
128130.SZ,景兴转债,2025/01/09,119.165,118.5,123.747,118.47,122.9,3.735,3.13430957,132,0.65095890411,1.641095890410959,1.4646053702196908,-5.6572,108.39479280412,14.505207195880004,13.381830271212689,3.39,29.49852507,101.769911504425,21.130088495575,20.7626086957,64.8106,0.793,-21.130088495575,93.88819229382466,6.0,2020/08/31,0.3,深交所,可转债,AA,7.573588,0.2423,私营
118045.SH,盟升转债,2025/01/09,159.772,159.443,167.118,158.646,164.658,4.886,3.0581078,120,0.131506849315,4.673972602739726,0.2429277654289497,-7.266,90.79856717144,73.85943282855999,81.34427131333842,21.1,4.73933649,138.293838862559,26.364161137441,19.0638725154,-28.9385,3.1848,-26.364161137441,152.30839337083535,6.0,2023/09/12,0.2,上交所,可转债,A+,1.23932,0.5117,私营
123242.SZ,赛龙转债,2025/01/09,142.98,143.2,148.799,142.0,147.2,4.22,2.95146174,186,0.152876712329,5.493150684931507,0.203804347826087,-3.5962,89.976540046339,57.22345995366099,63.598200068807074,36.81,2.71665308,88.345558272209,58.854441727791,66.6184501845,44.345,1.906,-58.854441727791,98.18732552586484,6.0,2024/07/08,0.3,深交所,可转债,A+,2.5,0.8055,私营
118008.SH,海优转债,2025/01/09,95.225,95.225,98.999,95.03,97.986,2.761,2.89944867,201,0.440547945205,3.452054794520548,0.816443165350152,6.0693,100.3172407078,-2.331240707799992,-2.323868451077453,69.98,1.42897971,44.298370963132,53.687629036868,121.1954929032,-7.8584,1.4931,-53.687629036868,44.15828291386374,6.0,2022/06/23,0.3,上交所,可转债,A+,6.9394,0.0,私营
