代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率,发行人企业性质
118052.SH,浩瀚转债,2025/04/07,100.0,130.0,138.0,116.44,117.532,17.532,17.532,26,0.014246575342,5.931506849315069,0.1701664227614607,0.3417,86.411783123499,31.120216876501,36.013858008258254,24.38,4.10172272,73.3798195242,44.1521804758,60.1693773058,57.5733,2.7125,-44.1521804758,84.91876555692198,6.0,2025/03/13,0.2,上交所,可转债,A+,3.5429,0.5298,私营
123189.SZ,晓鸣转债,2025/04/07,116.5,119.3,139.0,118.88,123.0,6.5,5.57939914,2,0.00602739726,3.997260273972602,0.8943089430894309,-0.968,88.659335658575,34.340664341425,38.73327505370679,19.54,5.11770727,114.431934493347,8.568065506653,7.4874776386,-368.3767,6.4977,-8.568065506653,129.06924425197778,6.0,2023/04/06,0.3,深交所,可转债,A,3.288762,0.2783,私营
113565.SH,宏辉转债,2025/04/07,119.286,120.5,129.474,119.74,120.714,1.428,1.19712288,41,0.33698630137,0.8904109589041096,9.940851931010489,-8.1072,107.40540282289,13.30859717711,12.390994146780203,5.85,17.09401709,98.461538461538,22.252461538462,22.60015625,126.9141,2.8954,-22.252461538462,91.67279845679616,6.0,2020/02/26,0.4,上交所,可转债,A+,2.24634,0.3633,私营
110059.SH,浦发转债,2025/04/07,108.949,108.898,109.015,108.8,108.971,0.022,0.02019293,162,1.775342465753,0.5589041095890411,9.176753448165107,1.6895,108.91446178473,0.05653821527,0.0519106593775839,12.92,7.73993808,74.69040247678,34.28059752322,45.8969243523,6.2587,0.4333,-34.28059752322,68.57712121316447,6.0,2019/10/25,0.2,上交所,可转债,AAA,499.9856,0.1734,地方国有企业
117205.SZ,23希望E1,2025/04/07,108.1609,108.1609,108.1609,108.1609,108.1609,0.0,0.0,17,0.069863013699,0.9561643835616438,9.245485198440472,1.7096,108.00594463187,0.15495536813,0.1434692957486307,13.0,7.69230769,78.461538461538,29.699361538462,37.852127451,225.9163,2.165,-29.699361538462,72.64557402740019,3.0,2023/03/22,1.5,深交所,可交换债券(私募),,57.745,0.1291,私营
123099.SZ,Z普转退,2025/04/07,93.549,93.549,93.549,93.549,93.549,0.0,0.0,58,0.317808219178,1.8438356164383565,2.1379170274401647,14.6102,85.565521300965,7.983478699035,9.330251925836116,3.0,33.33333333,83.0,10.549,12.7096385542,-10.667,0.5096,-10.549,97.00168799072569,6.0,2021/02/09,0.4,深交所,可转债,B+,2.022669,0.2887,私营
117219.SZ,24船材EB,2025/04/07,99.435,99.435,99.435,99.435,99.435,0.0,0.0,88,0.002410958904,1.7616438356164383,0.0100568210388696,2.0296,99.501352662362,-0.066352662362,-0.0666851862679239,21.53,4.64468184,48.397584765444,51.037415234556,105.4544673704,18.3104,1.2576,-51.037415234556,48.64012746607733,3.0,2024/01/08,0.01,深交所,可交换债券(私募),,2.0,0.0,中央企业
117221.SZ,24恒健EB,2025/04/07,108.375,108.375,108.375,108.375,108.375,0.0,0.0,348,0.009534246575,2.0493150684931507,0.0092272202998847,-1.7517,100.33961450435,8.03538549565,8.008188525880417,4.16,24.03846154,81.971153846154,26.403846153846,32.211143695,15.924,1.4417,-26.403846153846,81.69371015731811,3.0,2024/04/23,0.01,深交所,可交换债券(私募),,20.0,0.2825,地方国有企业
123100.SZ,朗科转债,2025/04/07,115.59,115.59,115.59,115.59,115.59,0.0,0.0,58,0.317808219178,0.0054794520547945,0.2796848094410215,-2410.3956,100.29909377443,15.29090622557,15.245308457082215,9.88,10.12145749,90.789473684211,24.800526315789,27.3165217391,44.9002,2.6731,-24.800526315789,90.51873777483384,6.0,2021/02/09,0.4,深交所,可转债,AA-,0.021786,0.3641,私营
117200.SZ,22船材EB,2025/04/07,102.5,102.5,102.5,102.5,102.5,0.0,0.0,124,0.101917808219,0.663013698630137,4.195121951219512,2.4962,103.00618426802,-0.50618426802,-0.4914115318580472,32.19,3.10655483,32.370301335819,70.129698664181,216.6482725528,18.3104,1.2576,-70.129698664181,31.425590187470814,3.0,2022/12/01,0.3,深交所,可交换债券(私募),,6.0,0.0,中央企业
