代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额
404001.NQ,蓝盾退债,2024/05/17,21.028,0.0,0.0,0.0,62.779,41.751,198.54955297698308,279,,0.2404371584699453,12.743114735819303,,91.37906563,-28.60006563,-31.298268846174892,0.09,1111.1111111111113,,,,,,,,6.0,2018/08/13,0.4,代办转让,可转债,null,null
123143.SZ,胜蓝转债,2024/05/17,131.294,130.9,155.6,130.51,153.204,21.91,16.687738967508036,48,0.131506849315,3.871232876712329,0.6527244719459021,-6.9408,99.54416173,53.65983827,53.90556044416248,23.27,4.297378599054577,141.2118607649334,11.992139235066608,8.492303104077905,56.4482,4.4944,-11.992139235066608,141.8585061251019,6.0,2022/03/31,0.4,深交所,可转债,null,null
113561.SH,正裕转债,2024/05/17,157.412,158.199,175.0,152.6,170.327,12.915,8.204584148603663,139,0.831780821918,1.6229508196721312,1.291633152700394,-22.0376,103.85333526,66.47366474,64.00725077685868,9.88,10.121457489878543,98.78542510121456,71.54157489878543,72.4211844262295,35.2579,1.8798,-71.54157489878543,95.12012768189125,6.0,2019/12/31,0.5,上交所,可转债,null,null
117192.SZ,21甘电E1,2024/05/17,123.7457,131.0,134.0,131.0,133.3447,9.599,7.757037214222394,176,0.004794520548,0.5218579234972677,4.5071157683807455,-39.2868,104.89153483,28.45316517,27.12627402784664,5.54,18.050541516245488,132.49097472924188,0.8537252707581227,0.6443648501362397,57.026,1.3423,-0.8537252707581227,126.31236156852208,3.0,2021/11/22,0.01,深交所,可交换债券(私募),null,null
117208.SZ,23焦煤EB,2024/05/17,102.1246,109.0,109.01,109.0,109.005,6.8804,6.737260170419272,296,0.008082191781,2.1939890710382515,0.0091738911059125,-1.8961,99.57411966,9.43088034,9.471216388557725,10.62,9.416195856873824,101.69491525423727,7.310084745762712,7.18825,16.1316,1.5784,-7.310084745762712,102.12986627597496,3.0,2023/07/25,0.01,深交所,可交换债券(私募),null,null
123209.SZ,聚隆转债,2024/05/17,135.909,136.5,157.8,134.021,144.444,8.535,6.279937310994857,297,0.243287671233,5.191256830601093,0.2076929467475284,-3.7633,84.65558897,59.78841103,70.62547406195193,18.27,5.4734537493158175,142.63820470717022,1.805795292829776,1.2659969301611664,30.7273,3.1726,-1.805795292829776,168.49236588232577,6.0,2023/07/26,0.3,深交所,可转债,null,null
123031.SZ,晶瑞转债,2024/05/17,255.007,255.45,276.249,255.253,270.0,14.993,5.879446446568132,263,1.292054794521,1.2841530054644807,0.6666666666666666,-49.6346,104.83635192,165.16364808,157.5442535486502,3.86,25.906735751295336,186.78756476683935,83.21243523316062,44.54923717059639,-211.6706,2.8379,-83.21243523316062,178.1706071853548,6.0,2019/08/29,0.4,深交所,可转债,null,null
123227.SZ,雅创转债,2024/05/17,118.571,118.51,128.8,118.17,124.0,5.429,4.57869124828162,211,0.172602739726,5.4262295081967205,0.2419354838709677,-0.4896,83.646338,40.353662,48.24319027570579,53.34,1.8747656542932132,75.08436445444319,48.91563554555681,65.14756554307117,30.2547,3.1592,-48.91563554555681,89.76407843992308,6.0,2023/10/20,0.3,深交所,可转债,null,null
127080.SZ,声迅转债,2024/05/17,156.868,162.497,168.7,156.5,163.8,6.932,4.419001963434225,140,0.228493150685,4.620218579234972,0.3663003663003663,-6.514,89.98290716,73.81709284,82.03457208683497,29.14,3.431708991077557,96.91146190803022,66.8885380919698,69.02025495750708,-54.5161,3.1989,-66.8885380919698,107.69985652465132,6.0,2022/12/30,0.3,深交所,可转债,null,null
123130.SZ,设研转债,2024/05/17,119.9,124.99,130.0,121.16,124.52,4.62,3.853211009174312,189,0.515068493151,3.486338797814208,0.8030838419530999,-1.9767,106.6739115,17.8460885,16.729571691012755,8.76,11.415525114155251,111.5296803652968,12.990319634703196,11.647410440122824,-22.9692,1.1214,-12.990319634703196,104.55197413970969,6.0,2021/11/11,0.3,深交所,可转债,null,null
127085.SZ,韵达转债,2024/05/17,110.32,110.358,114.85,110.353,114.45,4.13,3.743654822335025,37,0.040547945205,4.901369863013699,0.3494975972040192,-0.392,99.35433546,15.09566454,15.193765294799343,12.1,8.264462809917354,76.36363636363635,38.08636363636364,49.875,16.2365,1.3673,-38.08636363636364,76.85989344106711,6.0,2023/04/11,0.2,深交所,可转债,null,null
123233.SZ,凯盛转债,2024/05/17,116.232,115.945,121.6,115.58,120.4,4.168,3.585931585105651,171,0.093150684932,5.53551912568306,0.1661129568106312,-0.0763,92.36551851,28.03448149,30.351674458434218,20.11,4.972650422675286,86.97165589259075,33.428344107409245,38.435906232132645,71.5706,4.8006,-33.428344107409245,94.16030710981688,6.0,2023/11/29,0.2,深交所,可转债,null,null
123121.SZ,帝尔转债,2024/05/17,112.592,112.95,122.33,112.76,116.619,4.027,3.576630666477192,287,0.783561643836,3.2185792349726774,0.8574932043663553,0.9123,105.91273703,10.70626297,10.10856981910252,74.38,1.3444474321054047,72.10271578381285,44.516284216187145,61.740093604325935,27.1052,4.86,-44.516284216187145,68.07747378239277,6.0,2021/08/05,0.4,深交所,可转债,null,null
127075.SZ,百川转2,2024/05/17,114.436,115.0,124.0,114.98,118.5,4.064,3.551330001048621,212,0.28904109589,4.423497267759562,0.4219409282700421,0.4448,100.5908617,17.9091383,17.803941627830792,10.31,9.699321047526672,112.2211445198836,6.278855480116392,5.595073465859983,47.9668,4.0896,-6.278855480116392,111.56196758167707,6.0,2022/10/19,0.3,深交所,可转债,null,null
123197.SZ,光力转债,2024/05/17,114.79,114.79,124.601,114.79,118.7,3.91,3.406220054011673,10,0.016438356164,4.975342465753425,0.5054759898904801,0.3944,87.96414842,30.73585158,34.94133932070413,21.25,4.705882352941177,78.4,40.3,51.4030612244898,98.0634,4.1371,-40.3,89.12721990516599,6.0,2023/05/08,0.4,深交所,可转债,null,null
123096.SZ,思创转债,2024/05/17,96.013,96.105,105.16,96.03,99.1,3.087,3.215189609740348,113,0.460273972603,2.6939890710382515,1.513622603430878,8.1733,66.06794391,33.03205609,49.99710015949246,3.57,28.01120448179272,91.31652661064425,7.783473389355742,8.52361963190184,-10.8949,7.5688,-7.783473389355742,138.21608666229835,6.0,2021/01/26,0.4,深交所,可转债,null,null
113575.SH,东时转债,2024/05/17,136.969,139.0,143.888,139.0,140.721,3.752,2.73930597434456,39,0.213698630137,1.895890410958904,1.4212519808699484,-12.2863,102.41825966,38.30274034,37.3983511018,12.15,8.23045267489712,18.02469135802469,122.6963086419753,680.712397260274,-11.2406,0.8917,-122.6963086419753,17.59909943584438,6.0,2020/04/09,0.4,上交所,可转债,null,null
123025.SZ,精测转债,2024/05/17,135.45,135.0,139.01,134.5,139.01,3.56,2.62827611664821,50,0.342465753425,0.8657534246575342,8.632472483993956,-22.4432,108.82517376,30.18482624,27.736988784018646,48.79,2.0496003279360524,121.27485140397621,17.735148596023777,14.623929356092614,-258.342,4.5307,-17.735148596023777,111.44007145941472,6.0,2019/03/29,0.5,深交所,可转债,null,null
123119.SZ,康泰转2,2024/05/17,117.79,119.222,121.499,119.2,120.608,2.818,2.3923932422107135,308,0.841095890411,3.16120218579235,0.829132395860971,-1.1683,107.6774323,12.9305677,12.00861445504584,24.4,4.098360655737705,81.39344262295083,39.21455737704918,48.17901309164149,102.569,2.4348,-39.21455737704918,75.59006644603171,6.0,2021/07/15,0.3,深交所,可转债,null,null
123232.SZ,金现转债,2024/05/17,117.564,117.89,121.91,117.01,120.279,2.715,2.3093804225783403,173,0.141369863014,5.530054644808743,0.2494200982715187,0.0949,82.4948996,37.7841004,45.80174117819037,9.39,10.649627263045792,69.96805111821087,50.31094888178914,71.90560273972602,-48.5645,2.3807,-50.31094888178914,84.81500245163139,6.0,2023/11/27,0.3,深交所,可转债,null,null
123216.SZ,科顺转债,2024/05/17,106.973,106.973,111.153,106.31,109.382,2.409,2.2519701233021414,288,0.235890410959,5.215846994535519,0.2742681611234023,1.8428,104.58408179,4.79791821,4.587618046534078,10.26,9.746588693957117,60.23391812865497,49.148081871345035,81.59535922330097,34.4934,1.4235,-49.148081871345035,57.59377249168941,6.0,2023/08/04,0.3,深交所,可转债,null,null
113027.SH,华钰转债,2024/05/17,157.486,158.6,165.3,157.2,160.949,3.463,2.198925618785162,339,1.666849315068,1.0765027322404372,1.1183666875842657,-29.0243,102.85264169,58.09635831,56.48504244072178,7.26,13.774104683195592,158.95316804407713,1.9958319559228648,1.2556100519930675,59.5162,3.175,-1.9958319559228648,154.54456534346028,6.0,2019/06/13,0.3,上交所,可转债,null,null
